LSOA11CD,IMD2019OverallScore,IMD2019IncomeScore,IMD2019EmploymentScore,IMD2019EducationScore,IMD2019HealthScore,IMD2019CrimeScore,IMD2019HousingServicesBarriersScore,IMD2019LivingEnvironmentScore,IMD2019IDACIScore,IMD2019IDAOPIScore,IMD2019ChildrenScore,IMD2019AdultScore,IMD2019GeographicalBarriersScore,IMD2019WiderBarriersScore,IMD2019IndoorsScore,IMD2019OutdoorsScore
E01000001,6.208,0.007,0.01,0.024,-1.654,-2.012,29.472,31.873,0.006,0.012,-2.107,0.032,-0.43,3.587,0.006,1.503
E01000002,5.143,0.034,0.027,0.063,-1.115,-2.343,24.412,23.084,0.037,0.03,-1.907,0.034,-1.06,3.231,-0.41,1.196
E01000003,19.402,0.086,0.086,5.804,-0.102,-1.032,40.103,40.535,0.052,0.128,-0.292,0.142,-0.691,5.173,-0.054,2.207
E01000005,28.652,0.211,0.136,22.26,-0.121,-1.317,39.9,28.979,0.209,0.322,0.338,0.321,-1.167,5.361,-0.604,1.769
E01000006,19.837,0.117,0.059,14.798,-0.359,-0.147,45.171,26.888,0.155,0.162,-0.366,0.325,-0.4,5.59,0.11,0.969
E01000007,31.576,0.207,0.107,11.385,-0.027,0.846,50.42,25.995,0.253,0.371,-0.133,0.251,-0.951,6.897,-0.28,1.324
E01000008,37.596,0.265,0.151,25.506,0.25,0.353,45.413,30.233,0.298,0.468,0.129,0.384,-0.498,5.736,-0.587,1.84
E01000009,32.844,0.187,0.109,15.713,0.454,0.895,48.119,28.601,0.194,0.383,0.101,0.277,-1.424,6.643,-0.107,1.37
E01000010,32.437,0.169,0.073,11.762,-0.002,1.214,50.58,47.932,0.22,0.519,0.022,0.228,-1.162,7.211,0.931,1.271
E01000011,30.679,0.167,0.081,22.519,-0.137,0.526,52.948,39.857,0.189,0.362,0.273,0.334,-0.337,6.689,0.652,1.195
E01000012,34.714,0.239,0.096,19.774,-0.056,0.542,56.507,36.881,0.299,0.331,0.378,0.283,-0.12,6.974,0.433,1.331
E01000013,38.997,0.213,0.145,24.003,0.67,1.199,45.252,30.424,0.243,0.265,-0.257,0.41,-0.733,5.916,0.345,0.931
E01000014,35.67,0.201,0.135,31.501,0.35,0.825,46.135,25.122,0.203,0.28,0.142,0.438,-0.465,5.82,-0.041,1.004
E01000015,33.632,0.216,0.123,26.013,0.025,0.372,50.4,25.696,0.25,0.31,0.11,0.391,-0.591,6.581,0.196,0.715
E01000016,32.839,0.199,0.122,28.996,0.373,0.528,43.772,24.95,0.251,0.267,-0.18,0.448,-0.7,5.68,0.103,0.799
E01000017,39.004,0.25,0.169,22.899,0.694,0.317,45.929,27.688,0.318,0.293,-0.3,0.403,-0.761,6.045,0.28,0.773
E01000018,33.406,0.212,0.136,26.358,0.273,0.457,43.512,25.659,0.284,0.236,-0.126,0.419,-0.946,5.803,0.149,0.797
E01000019,33.62,0.194,0.138,26.111,0.477,0.645,41.248,26.826,0.196,0.289,-0.049,0.41,-1.027,5.506,0.102,0.973
E01000020,36.035,0.216,0.131,24.184,0.76,0.651,43.518,30.078,0.231,0.338,-0.046,0.391,-0.91,5.783,0.343,0.899
E01000021,38.888,0.23,0.136,31.637,0.418,0.559,45.544,44.214,0.291,0.352,0.451,0.401,-1.36,6.238,0.895,1.042
E01000022,34.413,0.195,0.139,27.111,0.427,0.506,44.277,30.435,0.248,0.231,0.122,0.401,-0.623,5.695,0.397,0.84
E01000023,36.877,0.228,0.108,22.994,0.033,1.286,45.846,39.968,0.322,0.321,0.246,0.343,-0.788,6.047,0.832,0.809
E01000024,29.339,0.155,0.1,29.298,0.263,0.244,45.704,29.869,0.156,0.269,0.329,0.395,-0.575,5.852,0.37,0.836
E01000025,36.702,0.219,0.138,25.691,0.395,0.837,47.029,28.042,0.278,0.286,-0.258,0.424,-0.448,5.916,0.227,0.894
E01000027,37.347,0.216,0.146,38.122,0.148,1.042,44.976,20.329,0.276,0.231,0.592,0.44,-0.478,5.66,-0.08,0.597
E01000028,40.078,0.26,0.155,27.699,1.138,-0.111,48.625,16.282,0.269,0.431,0.165,0.401,-0.427,6.135,-0.402,0.551
E01000029,22.503,0.113,0.075,17.349,-0.28,0.35,47.51,21.974,0.126,0.145,-0.189,0.337,0.44,4.609,-0.021,0.684
E01000030,38.415,0.264,0.162,38.753,0.016,0.499,44.592,20.993,0.344,0.253,0.698,0.429,-1.396,6.084,-0.05,0.624
