LSOA21CD,Rate_PHE212,Rate_PHE219,Rate_PHE241,Rate_PHE247,Rate_PHE253,Rate_PHE258,Rate_PHE262,Rate_PHE273,Rate_PHE276,Rate_PHE280,Rate_PHE294,Rate_PHE848,Rate_PHE90443,Rate_PHE90581,Rate_PHE91280,Rate_PHE92588
E01000001,111.07,983.6,281.3,38.16,69.84,245.2,71.38,185.64,226.31,152.86,23.12,566.7,60.3,81.87,1040.2,422
E01000002,109.56,973.6,280.7,37.97,70.89,241.2,70.57,182.95,223.53,150.54,22.79,568.1,59.45,81.88,1054,422.8
E01000003,109.95,974.7,287,37.88,74.97,244,70.51,183.53,224.3,150.47,23.81,589.2,60.45,85.03,1079.5,431.7
E01000005,70.73,718.4,668.5,18.47,67.04,206.3,39.99,154.25,99.18,46.96,12.19,690.9,22.25,123.34,1807,537.8
E01000006,66.13,906.2,820,20.56,80.24,135.1,33.37,165.33,103.19,50.26,10.86,443.4,24.59,68.57,1209.1,848.5
E01000007,40.92,681.9,588.4,15.56,61.7,93.6,20.39,110.24,71.62,36.96,10.48,333.3,18.28,56.49,1075.7,722.1
E01000008,44.72,771.9,671,17.45,73.22,100.7,21.09,122.98,76.31,41.44,10.98,372.4,19.57,63.69,1240.6,789.3
E01000009,53.66,824.2,770.3,16.55,71.39,117.9,29.46,147.66,87.28,39.9,11.42,397.8,18.22,64.07,1123.4,792.2
E01000011,51.86,883.6,802,18.76,68.17,119.3,30.24,155.61,98.87,42.8,16.81,450.1,18.97,74.29,1237.9,948.4
E01000012,43.67,743.3,673.8,16.89,65.14,116.7,22.05,125.2,75.45,39.33,12.06,374.2,19.68,62.3,1149.8,784.4
E01000013,81.45,1127.4,700.7,33.96,156.93,217.3,39,155.95,151.2,80.81,14.72,577.5,36.47,76.49,1975.1,1421.3
E01000014,82.76,1121.8,708,35.42,160,219.3,38.81,156.39,150.1,78.69,14.22,579.4,37.61,75.67,1976.8,1450.6
E01000015,90.02,1169.9,701.3,37.96,155.6,241.9,41.42,164.33,156.96,90.52,21.02,610.8,34.63,77.52,1954.4,1317.1
