LSOA21CD,AllAgesVBHealthPercent,AllAgesVB.BhealthPercent
E01000001,0.75,1.97
E01000002,0.58,2.31
E01000003,0.43,3.16
E01000005,1.45,7.18
E01000006,0.54,3.41
E01000007,1.41,3.37
E01000008,0.84,4.35
E01000009,0.78,4.99
E01000011,0.71,4.35
E01000012,0.68,3.54
E01000013,1.12,5.93
E01000014,0.91,4.63
E01000015,0.7,4.01
E01000016,1.13,4.75
E01000017,1.51,6.55
E01000018,1.3,5.8
E01000019,0.84,4.83
E01000020,1.78,8.22
E01000021,1.06,5.48
E01000022,0.95,5.16
E01000024,1.21,5.12
E01000025,1.2,5.63
E01000027,1.97,6.72
E01000028,1.82,6.28
E01000029,1.32,5.16
E01000030,1.6,5.77
E01000031,0.96,4.63
E01000032,1.44,5.2
E01000033,1.56,7.13
E01000034,1.27,6.67
E01000035,0.54,6.83
E01000036,1.16,4.69
E01000037,0.47,3.3
E01000038,0.87,5.01
E01000039,0.68,4.17
E01000040,1.22,5.22
E01000041,0.81,4.13
E01000042,1.7,5.69
E01000043,0.78,5.2
E01000044,1.96,5.38
E01000045,1.28,5.11
E01000046,1.89,6.49
E01000049,0.86,4.97
E01000050,1.31,4.4
E01000051,0.18,1
E01000052,0.93,4.43
E01000053,1.55,6.18
E01000054,1.02,4.87
E01000055,1.23,4.69
E01000056,1.12,5.82
E01000057,1.03,5.1
E01000058,1.22,5.76
E01000059,0.94,4.79
E01000060,1.28,5.73
E01000061,1.82,6.13
E01000062,0.99,4.64
E01000063,1.63,5.39
E01000064,2.09,6.53
E01000065,2.42,7.67
E01000066,0.92,4.56
E01000067,0.94,3.89
E01000068,0.89,4.07
E01000069,0.72,2.81
E01000070,1.01,4.3
E01000071,0.81,3.61
E01000072,1.63,5.59
E01000073,1.08,5.19
E01000074,1.25,6.26
E01000075,1.06,5.14
E01000076,1.71,6.71
E01000077,1.16,5.88
E01000078,1.53,7
E01000079,1.05,6.06
E01000080,1.13,6.42
E01000081,1.52,5.11
E01000082,0.78,4.55
E01000083,1.67,5.99
E01000084,1.18,5.08
E01000085,1.22,4.92
E01000086,1.24,5.46
E01000087,1.04,4.89
E01000088,0.96,4.81
E01000089,0.27,2.9
E01000090,1.05,3.34
E01000091,1.48,6.56
E01000093,2.1,6.47
E01000094,0.73,3.29
E01000095,0.98,3.6
E01000096,1.14,4.7
E01000097,2.17,6.83
E01000098,1.55,5.79
E01000099,0.94,3.63
E01000100,2.06,6.18
E01000101,1.7,5.58
E01000102,1.35,6.17
E01000103,1.18,4.57
E01000104,0.78,4.7
E01000105,1.37,5.92
E01000106,1.22,5.07
E01000107,1.06,5.04
E01000108,0.68,4.07
E01000110,0.51,3.5
E01000111,0.97,4.13
E01000112,0.51,3.25
E01000113,1.05,3.86
E01000114,0.5,2.98
E01000115,0.86,3.37
E01000116,0.8,3.67
E01000117,1.73,4.95
E01000118,0.54,2.2
E01000119,1.11,3.79
E01000120,0.74,3.61
E01000121,1.69,7.79
E01000122,0.73,3.11
E01000123,0.57,2.72
E01000124,0.91,3.8
E01000126,1.06,5.1
E01000127,1.86,5.97
E01000128,0.78,3.9
E01000129,1.31,5.24
E01000130,2.07,5.48
E01000131,0.59,3.96
E01000132,0.68,4.46
E01000133,2.25,6.38
E01000134,0.66,3.56
E01000135,0.59,3.53
E01000136,1.01,2.76
E01000137,1.45,5.91
E01000138,1.3,5.07
E01000139,1.15,3.68
E01000140,0.51,3.48
E01000141,1.5,4.94
E01000142,1.56,5
E01000143,2.15,5.8
E01000144,1.93,5.23
E01000145,0.74,4.46
E01000146,1.39,4.27
E01000147,0.78,3.08
E01000150,0.89,3.86
E01000151,1.51,5.29
E01000152,0.56,2.93
E01000153,1.3,5.86
E01000154,1.51,5.43
E01000156,0.4,2.67
E01000157,1.07,3.48
E01000158,1.3,4.44
E01000159,0.95,3.86
E01000160,0.46,2.51
E01000161,0.88,4.47
E01000162,2.18,6.85
E01000163,1.89,6.32
E01000164,1.11,5.2
E01000165,0.83,3.42
E01000166,1.73,5.18
E01000167,1.29,5.54
E01000168,0.86,4.35
E01000169,1.17,4.66
E01000170,1.15,4.14
E01000171,1.09,3.84
E01000172,0.65,3.14
E01000173,0.71,3.49
E01000174,0.68,4.66
E01000175,0.39,2.36
E01000176,2.56,7.21
E01000177,0.48,2.35
E01000178,0.78,3.71
E01000179,0.56,1.84
E01000180,1.05,4.76
E01000181,0.65,2.25
E01000182,0.74,3.4
E01000183,2.96,6.77
E01000184,1.07,5.24
