MSOA21CD,Percent65plus,Percent75plus,Percent85plus
E02000001,14.06,5.77,1.41
E02000002,11.21,6.03,1.91
E02000003,11.01,5.22,1.43
E02000004,15.05,7.67,2.61
E02000005,7.97,3.55,0.96
E02000007,9.62,4.26,1.31
E02000008,9.13,3.75,1.03
E02000009,7.04,2.89,1.14
E02000010,8.76,3.76,1.03
E02000011,12.7,6.45,2.21
E02000012,10.36,4.59,1.46
E02000013,9.78,3.61,1.03
E02000014,10.5,4.44,1.27
E02000015,8.84,3.68,1
E02000016,3.41,1.25,0.23
E02000017,8.34,3.26,0.93
E02000018,8.23,3.31,0.84
E02000019,8.7,3.4,0.92
E02000020,6.77,3.14,0.92
E02000021,9.89,4.2,1.36
E02000022,3.63,1.18,0.3
E02000023,4.91,1.98,0.67
E02000024,20.15,9.56,3.28
E02000025,15.71,6.83,2.07
E02000026,19.13,9.14,2.87
E02000027,15.93,7.41,2.11
E02000028,16.48,7.99,2.66
E02000029,12.08,5.14,1.35
E02000030,21.25,10.15,3.4
E02000031,19.18,10.12,3.96
E02000032,19.28,9.3,2.71
E02000033,14.72,6.67,2.25
E02000034,16.45,7.68,2.41
E02000035,17.74,9.06,3.41
E02000036,14.76,6.94,2.23
E02000037,16.81,7.49,2.44
E02000038,15.34,6.78,2.44
E02000039,16.38,7.74,2.18
E02000040,14.55,6.97,2.18
E02000041,15.21,6.95,2.67
E02000042,14.78,7.48,2.54
E02000043,16.48,7.46,2.5
E02000044,10.33,4.02,0.94
E02000045,11.84,4.93,1.42
E02000046,12.72,6,1.72
E02000047,10.85,4.53,1.57
E02000048,17.03,8.38,2.61
E02000049,7.24,2.81,0.54
E02000050,13.81,6.19,1.46
E02000051,19.19,9.87,3.4
E02000052,13.88,6.58,1.54
E02000054,13.08,5.16,1.49
E02000055,11.59,5.71,2.08
E02000056,20.25,10.67,3.44
E02000057,11.36,5.43,1.73
E02000058,17.74,9.2,2.96
E02000059,11,4.76,1.38
E02000060,13.67,7.14,3.06
E02000061,15.71,7.74,3.16
E02000062,9.49,3.62,1.05
E02000063,12.53,5.34,1.61
E02000064,11.32,5.43,1.48
E02000065,7.64,2.64,0.57
E02000066,11.08,4.37,0.89
E02000067,10.69,4.51,1.21
E02000068,9.89,4.66,1.47
E02000069,16.46,7.93,2.41
E02000070,19.76,9.72,2.91
E02000071,15.14,6.45,1.62
E02000072,7.88,3.38,1
E02000073,19.42,9.31,2.65
E02000074,13.86,6.08,1.59
E02000075,23.69,11.39,3.45
E02000077,16.74,8.23,2.53
E02000078,19.07,9.1,2.6
E02000079,19.44,10.94,4.23
E02000080,17.28,7.92,2.43
E02000081,19.5,9.8,3.28
E02000082,16.62,7.63,2.52
E02000083,13.14,6.03,1.51
E02000084,18.85,8.56,2.29
E02000085,17.62,8.25,2.44
E02000086,19.79,8.92,2.2
E02000087,20.94,11.28,3.47
E02000088,19.16,9.81,2.53
E02000089,20.38,10.49,3.38
E02000090,19.55,10.84,3.92
E02000091,22.26,12.03,4.33
E02000092,17.09,8.11,2.41
E02000093,14.06,6.28,1.64
E02000094,11.87,5.38,1.63
E02000095,15.01,6.47,1.88
E02000096,21.2,9.83,2.77
E02000097,13.8,6.49,1.97
E02000098,16.38,8.01,3.1
E02000099,10.5,4.57,1.42
E02000100,18.25,8.69,2.52
E02000101,13.23,6.08,1.93
E02000102,10.63,5.06,1.3
E02000103,11.9,5.76,1.67
E02000104,15.23,7.66,2.41
E02000105,11.1,4.77,1.3
E02000106,11.59,4.97,1.41
E02000107,10.64,4.26,1.16
E02000108,11.93,5.13,1.31
E02000110,13.42,6.03,1.65
E02000111,11.08,4.49,1.45
E02000112,10.53,4.99,1.72
E02000113,10.55,4.25,1.15
E02000114,9.77,4,1.46
E02000115,11.88,5.23,1.62
E02000116,8.35,3.65,0.88
E02000117,9.64,4.29,1.26
E02000118,10.67,4.26,1.24
E02000119,8.28,3.81,1.2
E02000120,9.7,4.23,1.11
E02000121,9.61,4.31,1.13
E02000122,14.15,6.27,2.09
E02000123,9.5,4.17,1.1
E02000124,11.29,4.14,1.07
E02000125,11.99,5.45,1.69
E02000126,8.96,3.92,0.99
E02000127,12.76,5.8,1.77
E02000128,17.07,7.89,2.22
E02000130,13.88,6.11,1.51
E02000131,6.75,2.48,0.64
E02000132,14.96,6.87,2.27
E02000133,20.59,10.79,4.07
E02000134,13.17,5.95,1.83
E02000135,10.21,4.43,1.61
E02000136,22.28,13.16,5.01
E02000137,19.91,10.22,3.61
E02000138,23.59,13.02,4.41
E02000139,11.99,4.68,1.27
E02000140,11.87,5.22,1.5
E02000141,11.97,5.24,1.4
E02000142,16.82,7.96,2.54
E02000144,13.58,6.79,2.03
E02000145,12.8,5.8,1.42
E02000146,14.84,8.14,3.29
E02000147,21.31,9.97,3.08
E02000148,22.25,11.04,3.06
E02000149,15.09,6.98,2.23
E02000150,16.83,7.96,2.64
E02000151,22.51,11.49,3.05
E02000152,13.84,6.75,2.6
E02000153,18.67,8.47,2.49
E02000154,19.3,9.44,2.83
E02000155,23.9,12.62,3.68
E02000156,23.67,12.36,4.51
E02000157,22.92,12.17,4.1
E02000158,20.19,10.63,3.44
E02000159,23.25,10.83,3.47
E02000160,21.04,10,3.29
E02000161,19.64,9.45,2.72
E02000162,24.39,13.42,4.83
E02000163,22.64,10.95,3.29
E02000165,18.48,7.49,1.69
E02000166,18.42,8.01,2.04
E02000167,18.37,9.4,2.58
E02000168,13.44,5.69,1.56
E02000169,15.72,8.24,2.16
E02000170,12.2,5.38,1.29
E02000171,14.4,6.18,1.68
E02000172,10.72,4.77,1.39
E02000173,12.29,6.41,1.78
E02000174,10.98,4.66,0.99
E02000175,9.17,3.7,0.76
E02000176,12.61,5.94,1.83
E02000177,12.29,5.89,1.91
E02000178,9.44,3.75,0.93
E02000179,13.71,6.47,2.02
E02000180,9.95,4.16,1
E02000181,9.94,4.32,1.28
E02000182,11.7,6.13,2.3
E02000183,15.81,7.5,1.91
E02000184,7.94,3.28,0.85
E02000185,12.57,5.4,1.49
E02000186,10.25,4.66,1.27
E02000187,8.69,3.43,0.85
E02000188,8.99,3.91,1.21
E02000191,8.28,4.03,1.16
E02000192,11.46,4.43,1.19
E02000193,12.45,5.27,1.39
E02000194,11.82,4.98,1.54
E02000195,16.28,7.85,2.36
E02000196,15.78,7.58,2.58
E02000197,13.72,6.34,1.74
E02000198,9.15,3.75,0.95
E02000199,11.28,4.24,1.08
E02000200,11.34,5.63,1.95
E02000201,9.41,3.99,1.09
E02000202,13.03,5.6,1.55
E02000203,11.54,5.02,1.47
E02000204,12.69,5.69,1.52
E02000206,9.75,4.28,1.37
E02000207,9.45,3.76,0.82
E02000208,7.22,2.99,0.87
E02000209,9.04,3.76,1.05
E02000210,10.24,4.06,1.08
E02000211,21.38,10.42,2.83
E02000212,8.24,3.18,0.81
E02000213,6.85,2.85,0.7
E02000214,18.38,7.79,2.16
E02000215,11.04,5.06,1.45
E02000216,17.63,9.64,3.23
E02000217,7.19,3.04,0.65
E02000218,15.31,6.54,1.92
E02000219,26.63,13.54,4.22
E02000221,11.13,5.2,1.9
E02000222,12.5,5.54,1.51
E02000223,8.94,4.25,1.02
E02000224,11.4,4.6,1.04
E02000225,14.07,5.88,1.44
E02000226,23.01,10.85,3.14
E02000227,17.99,7.36,2.07
E02000228,24.4,11.77,3.93
E02000229,13.07,6.06,1.94
E02000230,18.15,8.9,2.97
E02000231,21.2,9.94,3.46
E02000232,23.4,10.8,3.52
E02000233,15.74,7.51,2.78
E02000234,15.71,7.27,2.03
E02000235,19.47,9.19,2.69
E02000236,15.43,6.35,1.53
E02000237,23.51,11.85,3.58
E02000238,10.21,4.27,1
E02000239,15.16,6.78,1.89
E02000240,11.5,4.5,1.24
E02000241,11.85,5.07,1.62
E02000242,13.46,5.53,1.53
E02000243,14.08,6.5,2.01
E02000244,12.57,5.57,1.51
E02000245,8.64,3.57,1.02
E02000246,10.41,4.48,1.11
E02000247,11.83,5.79,1.9
E02000248,12.9,5.68,1.7
E02000249,13.62,6.98,2.05
E02000250,19.34,8.33,2.61
E02000251,13.9,5.87,1.64
E02000252,8.52,4.02,1.53
E02000253,13.4,6.03,1.63
E02000254,13.95,6.19,1.67
E02000255,14.21,6.36,1.76
E02000256,12.69,5.79,1.84
E02000258,11.02,4.81,1.45
E02000259,12.85,5.65,1.66
E02000260,14.35,6.37,1.77
E02000261,9.66,4.28,1.16
E02000262,9.99,4.38,1.28
E02000263,11.2,5.09,1.34
E02000264,14.02,6.7,1.99
E02000265,10.94,4.71,1.1
E02000266,10.1,4.06,1.22
E02000267,10.74,4.06,1.04
E02000268,14.82,6.02,1.75
E02000269,13.43,5.93,1.85
E02000270,8.09,3.48,0.99
E02000271,13.54,5.5,1.35
E02000272,17.24,7.9,2.15
E02000275,13.86,5.74,1.79
E02000276,11.35,5.29,1.42
E02000277,12.76,6.42,2.21
E02000278,11.18,5.32,1.43
E02000279,7.71,2.97,0.71
E02000280,16.83,8,2.56
E02000281,11.57,5.13,1.5
E02000282,8.83,3.75,0.99
E02000283,11.16,5.24,1.31
E02000284,14.92,6.91,2
E02000285,18.77,8.41,2.8
E02000286,20.84,10.71,3.81
E02000287,22.75,12.15,3.89
E02000288,9.04,4.42,1.18
E02000289,20.12,9.81,3.1
E02000290,8.44,3.61,0.96
E02000291,14.53,7.34,2.83
E02000292,12.91,5.97,1.54
E02000293,22.94,11.65,3.72
E02000294,13.06,5.9,1.4
E02000295,16.33,8.48,2.91
E02000296,15.37,8.55,2.77
E02000297,21.12,9.6,2.94
E02000298,19.08,8.47,2.41
E02000299,11.24,5.15,1.44
E02000300,11.16,5.02,1.3
E02000301,10.32,4.31,1.24
E02000302,16.78,7.67,2.19
E02000303,11.16,4.83,1.55
E02000304,20.75,10.21,3.32
E02000305,14.21,6.4,2.16
E02000306,9.59,4.1,1.02
E02000307,12.96,5.53,1.52
E02000308,12.15,5.73,1.58
