TwCty11CD,Age65plus,Age75plus,Age85plus,MeanAge,MedianAge
E34000055,0.232483017,0.115243931,0.033965132,43.1,44
E34000181,0.158076272,0.071163608,0.017782767,39.4,40
E34000214,0.113824057,0.054802513,0.013105925,33.4,31
E34000231,0.297910025,0.162283032,0.055614594,47.7,50
E34000313,0.19455978,0.098277046,0.027985746,42.2,43
E34000327,0.133131171,0.057838098,0.014200658,36.7,36
E34000403,0.242797398,0.127904275,0.044086896,44.5,46
E34000473,0.139788098,0.057833243,0.016960509,37.8,38
E34000490,0.23177876,0.112060219,0.034593356,44.1,46
E34000499,0.232711252,0.114895302,0.031434087,43.8,46
E34000527,0.146530983,0.065751588,0.022324774,38.3,37
E34000567,0.203508942,0.102990355,0.031842195,42.3,45
E34000574,0.190058987,0.082191187,0.022380291,42.2,43
E34000597,0.131749316,0.064189415,0.019321898,35.8,30
E34000628,0.241841686,0.119605882,0.026780753,45,47
E34000633,0.231780858,0.120704884,0.036618213,43.9,45
E34000692,0.168072358,0.082318818,0.025913063,40,41
E34000755,0.228262502,0.117685338,0.036592081,42.6,44
E34001039,0.191949027,0.089624035,0.027005359,41.4,42
E34001068,0.251278167,0.109022912,0.028403711,45.2,47
E34001267,0.172600868,0.080212185,0.02399132,40.1,40
E34001445,0.167365378,0.076617275,0.021467293,40.2,41
E34001461,0.165521978,0.083398744,0.024430926,39.7,38
E34001481,0.267246299,0.134042767,0.035449327,46.4,49
E34001504,0.199881942,0.100213413,0.02778913,42,43
E34001711,0.133146572,0.066361858,0.017680639,38,39
E34001715,0.225271048,0.113862491,0.036318208,43.9,46
E34001958,0.178764143,0.077806789,0.019181897,41,42
E34001962,0.16761314,0.08393762,0.026712389,39.4,39
E34002041,0.192013792,0.092815208,0.028422328,41.8,43
E34002053,0.199387746,0.09602485,0.030162517,41.2,41
E34002061,0.217422008,0.105470859,0.028455116,42.2,43
E34002074,0.162671737,0.074345858,0.018827499,39.7,40
E34002141,0.171518898,0.082381473,0.02410056,39.8,40
E34002180,0.196096884,0.100203081,0.031849027,42,42
E34002257,0.120524711,0.056147387,0.016877637,36.2,35
E34002470,0.145223464,0.071424581,0.021117318,38.5,39
E34002554,0.172804061,0.072774934,0.019514834,40.1,41
E34002689,0.170736404,0.079918348,0.017986443,40.1,42
E34002733,0.190437084,0.085378836,0.024181038,41.4,42
E34002816,0.206914919,0.102755315,0.033557697,41.4,41
E34002820,0.181036045,0.088196333,0.027734784,40.6,41
E34003078,0.181576365,0.082481195,0.023699989,40.9,42
E34003354,0.145880595,0.066454936,0.018842243,39,39
E34003462,0.21187744,0.101423558,0.025750227,41.8,43
E34003511,0.164583333,0.083564815,0.025661376,39.2,40
E34003525,0.167587667,0.079378196,0.024092341,39.7,40
E34003679,0.279298884,0.141786025,0.044729762,45.4,47
E34003710,0.16641047,0.085292021,0.028613876,39.5,38
E34003723,0.202994881,0.093093437,0.027733211,42.7,44
E34003761,0.247484175,0.127576692,0.039360493,45,47
E34003904,0.207871372,0.111444852,0.035602279,42.4,43
E34003928,0.224026283,0.119369584,0.043614894,44,45
E34004134,0.150874397,0.07062597,0.01961265,38.2,38
E34004138,0.179109202,0.08808501,0.026362198,40.6,41
E34004143,0.141948214,0.063383401,0.01687271,37.1,36
E34004154,0.263176019,0.135712609,0.043891367,45.2,46
E34004181,0.175230392,0.080996265,0.021945236,41.1,42
E34004190,0.176283914,0.088723014,0.021230948,40.5,41
E34004192,0.162321667,0.078647611,0.022343924,38.8,38
E34004193,0.179399582,0.085066405,0.026561899,41.6,42
E34004210,0.211031261,0.108084801,0.035285663,42.9,43
E34004217,0.165986617,0.080920516,0.022914967,40,41
E34004218,0.203938204,0.103551982,0.030327973,41.5,41
E34004222,0.148057525,0.068011585,0.018076501,39.4,40
E34004246,0.178108242,0.09428365,0.030198152,40.6,41
E34004251,0.153339861,0.067202156,0.018282806,39.1,39
