BUA22CD,ResPop65plus,ResPop75plus,ResPop85plus
E63000001,27.5,12.6,3.8
E63000015,28.1,13.1,4
E63000021,26.5,12.2,3
E63000037,25.8,11.2,2.8
E63000040,20,8.3,1.9
E63000041,28.7,14.1,4.6
E63000042,25.4,12.4,3.2
E63000048,22.1,9.9,2.8
E63000050,19.8,8.3,2.2
E63000053,23.4,9.2,2.1
E63000056,23.5,10.4,2.3
E63000061,23.5,10.9,3.2
E63000062,25.9,12.6,4.2
E63000064,31.9,16.8,5.6
E63000066,21,8.1,1.9
E63000067,16.1,6.8,2
E63000072,18.4,8.4,2.7
E63000073,21.1,9.6,2.8
E63000076,18.3,7.4,1.9
E63000077,14.7,6.6,2
E63000078,20.6,10.3,3.3
E63000087,20.8,9.4,2.6
E63000090,16.8,7.2,2.3
E63000093,21.8,10.3,2.8
E63000094,20.8,8.8,2.2
E63000097,28.8,14.1,4.6
E63000098,21.3,9.2,2.3
E63000099,21.6,10.7,3
E63000100,22.8,10.9,3
E63000102,27.3,12.9,3.6
E63000103,19,7.4,1.9
E63000104,25.3,12,3.9
E63000106,27.8,13.1,3.7
E63000111,18.2,8.4,2.5
E63000120,25.9,12,2.9
E63000124,22.3,8.4,1.9
E63000125,19.9,9.1,2.6
E63000130,20.4,9.7,2.7
E63000133,19,8.7,2.5
E63000148,22.7,11.1,2.6
E63000151,19.2,8.5,2.3
E63000153,19.7,8.7,2.3
E63000155,20.4,8.9,2.2
E63000158,24.8,12.2,3.4
E63000161,18.9,8.5,2.3
E63000165,16.1,5.9,1.7
E63000166,21.8,10.5,2.9
E63000168,20.4,9.2,2.7
E63000170,26,12.8,3.6
E63000175,19.1,8.2,1.8
E63000176,24.9,12.3,3.2
E63000177,20.4,9.6,2.5
E63000187,21.6,10.1,3.6
E63000190,17.4,8.1,2.1
E63000191,17.1,6.9,1.3
E63000197,20.8,10.1,2.8
E63000199,18.9,8.6,2.2
E63000203,19.7,8.5,2.1
E63000214,17.1,7.2,1.8
E63000221,23,10.6,2.7
E63000228,21.3,9.3,2
E63000231,21.7,9.3,2.5
E63000232,20.2,8.1,2.2
E63000242,19.7,8.6,2.4
E63000244,24.1,10.2,2.3
E63000254,24.2,11.2,2.6
E63000255,27.9,13.5,4.3
E63000257,23.2,11.8,3.9
E63000267,21.4,9.4,2.7
E63000268,19.8,8.7,2.3
E63000278,20.8,8.5,2.5
E63000283,21.2,9.6,2.7
E63000288,20.6,9.6,2.6
E63000298,21.1,9.5,2.6
E63000300,32.6,16.9,4.2
E63000306,31.9,16.5,4.8
E63000311,18.9,8.3,2.3
E63000312,23.8,10.6,2.2
E63000316,19.8,8.6,2
E63000317,21.1,8.2,1.7
E63000323,18.6,7.6,2.1
E63000324,17,7.3,2
E63000326,21.2,9.5,2.5
