BUA22CD,BUSA22NM,ResPop65plus,ResPop75plus,ResPop85plus
E63000001,Berwick-upon-Tweed,27.5,12.6,3.8
E63000015,Alnwick,28.1,13.1,4
E63000021,Amble,26.5,12.2,3
E63000037,Newbiggin-by-the-Sea,25.8,11.2,2.8
E63000040,Ashington (Northumberland),20,8.3,1.9
E63000041,Morpeth,28.7,14.1,4.6
E63000042,Stakeford,25.4,12.4,3.2
E63000048,Bedlington,22.1,9.9,2.8
E63000050,Blyth (Northumberland),19.8,8.3,2.2
E63000053,Cramlington,23.4,9.2,2.1
E63000056,Seaton Delaval,23.5,10.4,2.3
E63000061,Whitley Bay,23.5,10.9,3.2
E63000062,Wideopen,25.9,12.6,4.2
E63000064,Ponteland,31.9,16.8,5.6
E63000066,Killingworth,21,8.1,1.9
E63000067,Shiremoor,16.1,6.8,2
E63000072,Longbenton,18.4,8.4,2.7
E63000073,Tynemouth,21.1,9.6,2.8
E63000076,Wallsend,18.3,7.4,1.9
E63000077,Newcastle upon Tyne,14.7,6.6,2
E63000078,Throckley,20.6,10.3,3.3
E63000087,South Shields,20.8,9.4,2.6
E63000090,Hebburn,16.8,7.2,2.3
E63000093,Ryton,21.8,10.3,2.8
E63000094,Jarrow,20.8,8.8,2.2
E63000097,Hexham,28.8,14.1,4.6
E63000098,Prudhoe,21.3,9.2,2.3
E63000099,Blaydon,21.6,10.7,3
E63000100,Crawcrook and Greenside,22.8,10.9,3
E63000102,Whitburn (South Tyneside),27.3,12.9,3.6
E63000103,Boldon Colliery,19,7.4,1.9
E63000104,East Boldon and West Boldon,25.3,12,3.9
E63000106,Whickham,27.8,13.1,3.7
E63000111,Gateshead,18.2,8.4,2.5
E63000120,Rowlands Gill,25.9,12,2.9
E63000124,Washington,22.3,8.4,1.9
E63000125,Sunderland,19.9,9.1,2.6
E63000130,Birtley,20.4,9.7,2.7
E63000133,Carlisle,19,8.7,2.5
E63000148,Pelton and Ouston,22.7,11.1,2.6
E63000151,Shiney Row and Penshaw,19.2,8.5,2.3
E63000153,Stanley (County Durham),19.7,8.7,2.3
E63000155,Annfield Plain,20.4,8.9,2.2
E63000158,Chester-le-Street,24.8,12.2,3.4
E63000161,Consett,18.9,8.5,2.3
E63000165,Fence Houses,16.1,5.9,1.7
E63000166,Houghton-le-Spring,21.8,10.5,2.9
E63000168,Seaham,20.4,9.2,2.7
E63000170,Wigton,26,12.8,3.6
E63000175,Sacriston,19.1,8.2,1.8
E63000176,Hetton-le-Hole,24.9,12.3,3.2
E63000177,Murton (County Durham),20.4,9.6,2.5
E63000187,Easington (County Durham),21.6,10.1,3.6
E63000190,Durham,17.4,8.1,2.1
E63000191,Ushaw Moor and Bearpark,17.1,6.9,1.3
E63000197,Horden,20.8,10.1,2.8
E63000199,Peterlee,18.9,8.6,2.2
E63000203,Brandon (County Durham),19.7,8.5,2.1
E63000214,Wingate,17.1,7.2,1.8
E63000221,Maryport,23,10.6,2.7
E63000228,Crook,21.3,9.3,2
E63000231,Willington (County Durham),21.7,9.3,2.5
E63000232,Spennymoor,20.2,8.1,2.2
E63000242,Hartlepool,19.7,8.6,2.4
E63000244,Ferryhill,24.1,10.2,2.3
E63000254,Seaton (Allerdale),24.2,11.2,2.6
E63000255,Cockermouth,27.9,13.5,4.3
E63000257,Penrith,23.2,11.8,3.9
E63000267,Bishop Auckland,21.4,9.4,2.7
E63000268,Workington,19.8,8.7,2.3
E63000278,Shildon,20.8,8.5,2.5
E63000283,Newton Aycliffe,21.2,9.6,2.7
E63000288,Redcar,20.6,9.6,2.6
E63000298,Billingham,21.1,9.5,2.6
E63000300,Marske-by-the-Sea,32.6,16.9,4.2
E63000306,Saltburn-by-the-Sea,31.9,16.5,4.8
E63000311,Stockton-on-Tees,18.9,8.3,2.3
E63000312,Brotton,23.8,10.6,2.2
E63000316,Eston,19.8,8.6,2
E63000317,Skelton (Redcar and Cleveland),21.1,8.2,1.7
E63000323,Thornaby-on-Tees,18.6,7.6,2.1
E63000324,Middlesbrough,17,7.3,2
E63000326,Whitehaven,21.2,9.5,2.5
E63000329,Barnard Castle,29.8,15.3,5.2
E63000336,Guisborough,27.4,12.6,3.5
E63000338,Cleator Moor,20.6,9.2,2.4
E63000339,Darlington,19.8,9.1,2.6
E63000343,Egglescliffe,23.4,11.1,2.9
E63000346,Ingleby Barwick,10.7,3.7,0.9
E63000349,Yarm,24.2,10.5,2.5
E63000353,Egremont,22.3,10.1,2.4
E63000356,Whitby,27.2,12.1,3.4
E63000382,Richmond,28.6,13.9,3.6
E63000390,Catterick Garrison,8.3,3.6,1
E63000396,Northallerton,25.5,12.3,4
E63000400,Kendal,23.7,11.3,3.5
E63000425,Scarborough,23.7,11,3.2
E63000436,Pickering,34,17,4.9
E63000449,Thirsk,24.4,12.1,3.6
E63000454,Filey,37.6,19.1,5.3
E63000458,Millom,22.4,10.5,2.5
E63000474,Ulverston,25.8,12.2,3.1
E63000498,Dalton-in-Furness,21.8,10.6,2.6
E63000508,Malton,22.6,12.2,3.9
E63000510,Ripon,24.7,12.8,4.1
E63000512,Norton-on-Derwent,21.4,9.8,3
E63000517,Carnforth,23.4,11,3.1
E63000520,Easingwold,31.1,16.1,4.6
E63000521,Barrow-in-Furness,21.4,9.7,2.4
E63000530,Bridlington,31.6,15.1,4
E63000536,Bolton-le-Sands,31.8,15,4.3
E63000551,Morecambe,24.6,12.4,3.8
E63000558,Heysham,21.5,10.2,2.8
E63000560,Lancaster,14.4,6.2,1.8
E63000563,Strensall,19.2,8.7,2.3
E63000581,Haxby,32.9,16.2,5.2
E63000582,Driffield,27.7,13.8,4.1
E63000586,Knaresborough,25.1,12.1,3.5
E63000598,Huntington (York),26.9,13.8,3.9
E63000601,Harrogate,20.9,10.2,3.3
E63000615,York,15.9,7.4,2.2
E63000617,Skipton,23.7,10.9,3
E63000629,Pocklington,23.9,11.3,3
E63000631,Wetherby,30.5,16.1,4.7
E63000639,Ilkley,29.8,16.7,6.1
E63000642,Hornsea,34.3,16,4.1
E63000649,Barnoldswick,21,8.9,2.4
E63000651,Fleetwood,22.8,10.7,3
E63000655,Silsden,25.7,11.6,3.6
E63000657,Burley in Wharfedale,22.7,10.5,3.2
E63000660,Garstang,39.1,21,6
E63000661,Otley (Leeds),25.6,12.1,3.3
E63000667,Boston Spa,27.5,14.2,3.5
E63000675,Steeton,19.7,8.9,2.6
E63000681,Menston,22.3,10.8,3.5
E63000687,Cleveleys,33.1,16.4,4.7
E63000694,Tadcaster,25.3,12.3,3.3
E63000699,Thornton (Wyre),26.1,12.7,3.2
E63000702,Guiseley,21.7,10.5,3.4
E63000707,Market Weighton,22.8,10.4,2.9
E63000708,Clitheroe,21.8,10.6,3.2
E63000710,Yeadon,22,9.9,2.7
E63000713,Keighley,15.1,6.5,1.9
E63000719,Colne,19.7,8.6,2.6
E63000724,Poulton-le-Fylde,29.1,15.1,4.8
E63000725,Barrowford,25.3,11.7,3.1
E63000726,Beverley,25.3,12.1,3.7
E63000727,Bingley,23.4,11,3.6
E63000731,Rawdon,18.4,8.3,2.3
E63000733,Baildon,25.4,11.6,3.2
E63000746,Nelson (Pendle),12.4,5.4,1.6
E63000748,Haworth,21.6,9.1,2.8
E63000751,Shipley (Bradford),16.1,7.2,2.4
E63000752,Longridge (Ribble Valley),23.5,10.9,2.9
E63000768,Brierfield,16.2,7.5,2
E63000784,Leeds,12.6,5.6,1.7
E63000789,Pudsey,18.2,8.6,2.7
E63000792,Blackpool,21,9.9,2.7
E63000793,Padiham,18.8,8.2,2.1
E63000799,Cottingham,29.9,15,4.6
E63000800,Burnley,17.3,7.6,2
E63000801,Garforth,25.2,12.8,3.5
E63000803,Bradford,11.5,4.9,1.5
E63000804,Sherburn in Elmet,16.8,7.4,2.4
E63000806,Thornton (Bradford),19.6,8,1.7
E63000807,Fulwood,21.9,11,3.4
E63000811,Great Harwood,20.7,9.7,2.3
E63000813,Cottam (Preston),9.4,3.4,0.9
E63000814,Selby,17.3,8.1,2.4
E63000817,Kirkham,20.9,10.1,2.7
E63000824,Clayton-le-Moors,19.6,7.8,2.1
E63000825,Kingston upon Hull,15.4,6.5,1.9
E63000830,Preston (Preston),11.3,4.8,1.4
E63000837,Kippax,22.6,10.7,2.6
E63000841,Rishton,20.3,9.4,2
E63000843,Queensbury,17,6.9,1.8
E63000846,Willerby and Anlaby,27.4,14.1,4.4
E63000851,Allerton Bywater,17.7,8.6,2.3
E63000852,Church,16,6.9,1.8
E63000853,Gildersome,21.8,10.6,3
E63000854,Drighlington,22.1,9.7,2
E63000855,Lytham St Anne's,32.3,16.6,5.3
E63000856,Hedon,28.7,13.2,3.9
E63000857,Gomersal and Birkenshaw,21,10.1,2.8
E63000859,Rothwell (Leeds),20.6,10,2.7
E63000864,Accrington,15,6.8,1.9
E63000867,Withernsea,30.6,12.6,3
E63000869,Blackburn (Blackburn with Darwen),13.4,5.8,1.6
E63000873,Morley (Leeds),16.3,7,1.8
E63000874,Penwortham,23.4,10.8,3
E63000875,Hebden Bridge,19.4,6.8,2
E63000878,Oswaldtwistle,22.8,10.4,2.6
E63000879,Shelf and Northowram,24.3,10.9,2.7
E63000887,Hessle,20.8,10.1,3.3
E63000891,Brough (East Riding of Yorkshire),17.7,8.7,2.4
E63000893,Bamber Bridge,19.7,8.8,2.3
E63000900,Halifax,16.3,7.4,2.1
E63000904,East Ardsley,19.3,8.5,2.2
E63000906,Cleckheaton,19.5,8.7,2.3
E63000910,Castleford,15.9,6.9,1.7
E63000916,Batley,14.4,6,1.5
E63000918,Longton,28.4,13.9,3.8
E63000926,Todmorden,20.1,8.5,2.5
E63000927,Heckmondwike,15,6.9,2
E63000930,Goole,17.9,8.3,2.5
E63000932,Liversedge,20,8.6,2.1
E63000934,Normanton (Wakefield),18.6,8.2,2.1
E63000936,Rawtenstall,19.3,8,2.2
E63000937,Brighouse,22.5,10.5,2.8
E63000939,Knottingley,17.4,7.9,2.3
E63000945,Darwen,18.2,7.6,2
E63000947,Leyland,20.4,8.9,2.3
E63000948,Bacup,17.2,6.8,1.4
E63000949,Tarleton and Hesketh Bank,25.7,11.7,2.7
E63000956,Barton-upon-Humber,22.4,9.6,2.6
E63000957,Pontefract,18.8,8.7,2.3
E63000959,Haslingden,20.6,9.4,2.6
E63000967,Elland,19.8,9,2.4
E63000970,Dewsbury,12.8,5.6,1.6
E63000971,Wakefield,17.2,7.6,2
E63000975,Featherstone (Wakefield),18.6,8.7,2
E63000979,Ossett,22.7,10,2.4
E63000980,Mirfield,24.2,11.9,3.1
E63000984,Euxton,15.1,6.6,1.7
E63000998,Crofton,21.2,9,1.6
E63001000,Horbury,22.1,10.2,3
E63001007,Whitworth,20.5,9.1,2.2
E63001008,Chorley,19.5,8.8,2.2
E63001017,Huddersfield,16.1,7.5,2.2
E63001020,Crigglestone and Durkar,22.1,9.2,2.1
E63001022,Littleborough,22.5,9.9,2.5
