LSOA21CD,PCTvacantDwellings,PCT2ndHomes,PCTunavailable,HHperDwelling,PCTDetached,PCTSemiDetached,PCTTerrace,PCTFlats,PCTOwnerHH,PCTPrivateRentHH,PCTSocRentHH,PCTCaravan,PCT_HH_TooFewBeds,PCTHHNoCH
E01000001,16.68,6.02,22.71,0.776645042,0,0.36,1.55,95.94,57.95,39.43,2.63,0,3.1,2.62
E01000002,24.62,5.52,30.14,0.699490662,0.12,0.24,3.52,93.21,52.66,44.07,3.27,0,2.79,1.94
E01000003,18.37,1.95,20.33,0.795152463,0.1,0,0,97.74,37.24,33,29.75,0,4.92,3.53
E01000005,21.04,0,21.04,0.776699029,0,0,0.42,95.41,8.58,21.76,69.67,0,15.66,1.25
E01000006,4.3,0,4.3,0.953528399,6.14,15.88,51.08,21.84,49.55,46.47,3.98,0.18,24.14,2.71
E01000007,6.63,0,6.63,0.929017161,1.26,3.95,12.85,78.84,26.64,35.38,37.98,0.59,19.56,3.1
E01000008,0,0,0,0.983842011,1.09,2,3.99,89.66,16.06,27.37,56.57,0.18,27.37,2.74
E01000009,7.65,0,7.65,0.918960245,4.66,8.15,38.44,41.26,33.44,47.16,19.4,0,25.12,2.83
E01000011,6.86,0,6.86,0.92745098,10.15,20.08,46.93,7.4,41.86,52.22,5.92,0,23.47,3.81
E01000012,5.42,0,5.42,0.942238267,1.66,8.95,16.75,70.97,28.77,42.71,28.52,0,27.84,3.71
E01000013,4.55,1.52,6.07,0.939301973,7.78,24.47,59.81,4.05,41.36,28.11,30.53,0,16.96,1.62
E01000014,3.79,0,3.79,0.960606061,5.2,20,60.63,9.76,45.58,20.66,33.75,0,15.62,2.36
E01000015,2.34,0,2.34,0.976608187,3.47,19.76,45.87,28.98,42.33,26.62,31.06,0,20.65,2.16
E01000016,2.34,0,2.34,0.978159126,7.79,21.62,63.75,2.7,50.32,17.68,32.01,0.16,16.27,1.27
E01000017,4.02,0,4.02,0.961414791,6.55,23.87,59.66,6.05,46.9,17.59,35.51,0,16.42,2.51
E01000018,1.52,0,1.52,0.98173516,5.58,26.36,65.12,1.09,42.64,19.07,38.29,0,14.73,1.09
E01000019,3.88,0,3.88,0.968932039,6.19,32.93,52.89,4.59,46.31,28.94,24.75,0,19.8,2.61
E01000020,2.2,0,2.2,0.975036711,5.42,34.64,43.67,11.75,45.63,22.89,31.48,0.15,18.4,1.51
E01000021,0,0,0,0.988294314,7.59,32.38,34.57,13.15,36.38,36.72,26.9,0,17.09,2.37
E01000022,2.04,0,2.04,0.975560081,4.6,42.26,48.74,3.14,52.82,22.34,24.84,0,16.74,1.04
E01000024,4.19,0,4.19,0.962264151,4.36,37.47,54.03,1.74,49.46,18.95,31.59,0.22,18.91,1.96
E01000025,2.11,0,2.11,0.977464789,5.62,20.46,61.24,10.81,40.8,18.39,40.8,0.14,17,1.59
E01000027,2.93,0,2.93,0.970674487,5.58,30.17,39.52,22.93,40.57,13.88,45.55,0,17.22,1.81
E01000028,3.13,0,3.13,0.971830986,4.84,13.87,31.94,47.9,31.08,18.04,50.89,0,17.85,2.1
E01000029,2.86,0,2.86,0.974248927,6.77,50.81,26.8,14.87,75.95,16.72,7.33,0,8.08,2.05
E01000030,2.69,0,2.69,0.973147154,1.76,16.85,18.5,60.46,29.39,12.04,58.56,0.11,20.88,2.65
E01000031,3.24,0,3.24,0.964343598,5.37,34.06,41.78,15.1,70.08,23.53,6.39,0,9.75,0.51
E01000032,4.61,0,4.61,0.95256917,2.91,39.61,21.05,27.01,52.01,33.47,14.52,0.14,13.97,1.67
E01000033,0,0,0,0.987477639,2.9,30.8,33.7,32.07,38.63,12.45,48.92,0.18,14.16,1.81
E01000034,2.82,0,2.82,0.967984934,7.41,50.49,28.07,10.53,46.38,14.87,38.75,0,11.28,0.78
E01000035,4.76,0,4.76,0.944444444,4.19,16.61,44.8,29.19,50.25,29.24,20.5,0,15.46,2.52
E01000036,5.06,0,5.06,0.953441296,6.37,38,45.01,5.73,66.67,28.66,4.67,0,14.29,1.49
E01000037,2.49,0,2.49,0.976782753,3.06,39.46,49.83,6.29,79.97,16.81,3.23,0,5.94,1.19
E01000038,2.58,0,2.58,0.969072165,1.78,41.74,43.34,10.48,73.5,14.13,12.37,0,7.45,0.89
E01000039,4.46,0,4.46,0.955357143,5.17,26.65,47.18,18.5,67.76,19,13.24,0.78,8.92,0.93
E01000040,3.68,0,3.68,0.964705882,7.48,20.46,37.1,28.85,33.23,25.61,41.16,0,21.19,2.44
E01000041,2.44,0,2.44,0.980456026,6.31,24.25,64.62,2.82,47.6,21.49,30.91,0.17,17.94,1.99
E01000042,2.24,0,2.24,0.97761194,3.66,16.01,39.79,39.48,34.82,21.47,43.71,0.15,18.87,1.83
E01000043,3.11,0,3.11,0.973084886,4.03,51.8,26.96,14.23,51.28,18.94,29.79,0,17.45,2.97
E01000044,3.64,0,3.64,0.96069869,8.91,21.45,51.36,13.14,44.78,36.76,18.46,0.15,17.73,2.58
E01000045,4.14,0,4.14,0.955298013,6.07,19.76,56.85,14.9,43.43,22.32,34.26,0,17.5,1.73
E01000046,3.65,0,3.65,0.964963504,4.84,23.3,58.09,11.5,43.81,19.64,36.56,0,16.04,1.97
E01000049,8.7,0,8.7,0.909810127,2.78,11.81,19.44,64.76,22.09,16.52,61.39,0,36.24,2.77
E01000050,3.81,0,3.81,0.96042618,6.15,14.2,41.96,34.23,45.96,30.74,23.3,0,21.43,2.86
E01000051,2.26,0,2.26,0.977426637,0.7,3.02,4.41,90.95,40.51,14.81,44.68,0,16.78,2.31
