LSOA21CD,IMD2019OwnerOccAffordability,IMD2019PrivateRentAffordability,IMD2019HousingAffordability,PercentIMD2019PoorHousing
E01000001,0.919,0.559,1.923,22.6
E01000002,0.919,0.473,1.586,14.2
E01000003,0.922,0.774,3.063,14.7
E01000005,0.926,0.797,3.383,11.6
E01000006,0.95,0.782,3.515,14.6
E01000007,0.922,0.786,3.183,12.5
E01000008,0.92,0.763,2.932,9.9
E01000009,0.954,0.838,4.768,13.5
E01000011,0.952,0.83,4.264,22.6
E01000012,0.955,0.837,4.814,13.9
E01000013,0.954,0.837,4.616,18.9
E01000014,0.954,0.831,4.483,16.6
E01000015,0.954,0.839,4.861,19.3
E01000016,0.954,0.832,4.538,16.9
E01000017,0.954,0.838,4.865,19.8
E01000018,0.954,0.834,4.642,19
E01000019,0.953,0.829,4.352,17.2
E01000020,0.954,0.827,4.363,20.2
E01000021,0.954,0.838,4.874,17.3
E01000022,0.954,0.827,4.351,21.3
E01000024,0.954,0.83,4.428,21.3
E01000025,0.954,0.832,4.602,18.8
E01000027,0.954,0.834,4.562,13.7
E01000028,0.955,0.838,4.961,15.4
E01000029,0.938,0.727,2.911,16.2
E01000030,0.955,0.839,5.012,14.1
E01000031,0.928,0.686,2.59,17
E01000032,0.948,0.778,3.454,24
E01000033,0.891,0.826,3.437,15.8
E01000034,0.884,0.802,3.021,16
E01000035,0.93,0.757,3.031,16.6
E01000036,0.886,0.637,1.945,17.5
E01000037,0.805,0.561,1.262,16.5
E01000038,0.858,0.683,2.031,18.2
E01000039,0.852,0.662,1.913,15.5
E01000040,0.955,0.842,5.149,14.5
E01000041,0.952,0.816,4.107,19.6
E01000042,0.955,0.833,4.857,15
E01000043,0.953,0.828,4.287,18.1
E01000044,0.952,0.814,4.085,20.5
E01000045,0.954,0.836,4.603,16.3
E01000046,0.953,0.824,4.283,18.5
E01000049,0.956,0.83,4.912,10.9
E01000050,0.954,0.836,4.767,14.3
E01000051,0.924,0.754,2.937,13.4
E01000052,0.953,0.834,4.471,18.8
E01000053,0.954,0.842,5.177,12.2
E01000054,0.954,0.825,4.306,18.9
E01000055,0.952,0.815,4.085,18.4
E01000056,0.954,0.838,4.72,14.5
E01000057,0.954,0.834,4.58,18.7
E01000058,0.954,0.831,4.53,18.2
E01000059,0.954,0.833,4.582,18.2
E01000060,0.954,0.841,5.03,16.4
E01000061,0.923,0.75,2.88,13
E01000062,0.953,0.821,4.203,16.3
E01000063,0.954,0.827,4.341,19.6
E01000064,0.954,0.827,4.35,21
E01000065,0.955,0.844,5.51,17.2
E01000066,0.951,0.809,3.984,13.6
E01000067,0.949,0.794,3.651,14.7
E01000068,0.94,0.72,2.928,17.5
E01000069,0.918,0.642,2.23,18.3
E01000070,0.933,0.698,2.692,15.5
E01000071,0.948,0.776,3.433,16.7
E01000072,0.955,0.837,4.866,18.9
E01000073,0.954,0.831,4.547,18.2
E01000074,0.954,0.84,4.897,18.7
E01000075,0.953,0.826,4.309,17.3
E01000076,0.954,0.838,4.657,17.4
E01000077,0.954,0.837,4.638,21.1
E01000078,0.954,0.84,4.941,19.2
E01000079,0.954,0.838,4.747,19.2
E01000080,0.954,0.837,4.651,17.6
E01000081,0.954,0.825,4.329,19.9
E01000082,0.954,0.839,4.843,18.7
E01000083,0.954,0.834,4.555,19.4
E01000084,0.954,0.836,4.597,16
E01000085,0.954,0.839,4.951,17
E01000086,0.953,0.822,4.217,16.9
E01000087,0.954,0.834,4.524,18.6
E01000088,0.953,0.812,4.074,17.2
E01000089,0.95,0.791,3.618,18
E01000090,0.951,0.798,3.731,17.8
E01000091,0.955,0.838,4.954,13.5
E01000093,0.956,0.84,5.375,24
E01000094,0.954,0.822,4.359,11.2
E01000095,0.952,0.809,4.008,12.8
E01000096,0.955,0.829,4.76,16.7
E01000097,0.954,0.84,4.941,18.9
E01000098,0.953,0.836,4.523,20.5
E01000099,0.955,0.841,5.141,19.8
E01000100,0.954,0.829,4.427,18.8
E01000101,0.954,0.827,4.381,16.8
E01000102,0.954,0.832,4.61,19.5
E01000103,0.954,0.841,5.073,13.6
E01000104,0.955,0.843,5.382,14.4
E01000105,0.955,0.842,5.391,16.2
E01000106,0.956,0.843,5.579,12.8
E01000107,0.943,0.761,3.236,15.1
E01000108,0.952,0.8,3.805,16
E01000110,0.919,0.651,2.282,16.5
E01000111,0.954,0.824,4.305,15.1
E01000112,0.951,0.787,3.598,20.2
E01000113,0.949,0.766,3.354,15.5
E01000114,0.95,0.789,3.597,21
E01000115,0.819,0.564,1.354,19.3
E01000116,0.83,0.599,1.549,17.5
E01000117,0.834,0.655,1.799,17.2
E01000118,0.927,0.627,2.348,19.6
E01000119,0.921,0.616,2.213,20.6
E01000120,0.825,0.584,1.466,16.8
