LSOA21CD,SMEDebt
E01000001,2663.41
E01000002,7445.47
E01000003,10208.87
E01000005,24426.61
E01000006,1851.15
E01000007,2981.61
E01000008,3163.46
E01000009,2796.11
E01000011,3197.08
E01000012,3563.61
E01000013,1628.76
E01000014,1200.49
E01000015,2553.28
E01000016,2180.62
E01000017,1251.14
E01000018,2393.49
E01000019,1616.13
E01000020,1363.16
E01000021,1769.77
E01000022,1674.41
E01000024,1686.3
E01000025,1425.39
E01000027,1368.28
E01000028,1369.08
E01000029,1686.67
E01000030,1528.44
E01000031,2110.11
E01000032,2140.38
E01000033,1751.07
E01000034,1596.4
E01000035,1773
E01000036,2265.67
E01000037,1656.79
E01000038,1399.33
E01000039,1571.77
E01000040,1616.26
E01000041,1066.87
E01000042,1921.6
E01000043,1648.57
E01000044,1895.72
E01000045,1182.9
E01000046,1074.87
E01000049,2058.67
E01000050,1957.71
E01000051,1835.55
E01000052,1730.5
E01000053,1992.13
E01000054,2218.94
E01000055,1361.4
E01000056,2033.76
E01000057,1323.26
E01000058,1931.07
E01000059,1959.4
E01000060,1547.01
E01000061,2159.36
E01000062,1762.74
E01000063,1406.51
E01000064,1551.29
E01000065,1063.77
E01000066,1513.3
E01000067,1753.51
E01000068,1516.64
E01000069,1417.62
E01000070,2165.68
E01000071,1680.2
E01000072,1416.26
E01000073,1580
E01000074,1574.53
E01000075,970
E01000076,1041.07
E01000077,1535.11
E01000078,1297.7
E01000079,1237.35
E01000080,1101.14
E01000081,1150.02
E01000082,1392.05
E01000083,1345.15
E01000084,1789.38
E01000085,1716.16
E01000086,1928.84
E01000087,1549.69
E01000088,1549.13
E01000089,1616.22
E01000090,1730.62
E01000091,3776.96
E01000093,3586.99
E01000094,3674.68
E01000095,2889.59
E01000096,3067.21
E01000097,2952.71
E01000098,1935.58
E01000099,2447.19
E01000100,1371.41
E01000101,1295.25
E01000102,1128.09
E01000103,1445.85
E01000104,2171.42
E01000105,2015.31
E01000106,1978.54
E01000107,2381.29
E01000108,2324.91
E01000110,1982.28
E01000111,2714.06
E01000112,2543.68
E01000113,2054.16
E01000114,3538.8
E01000115,5450.26
E01000116,4037.87
E01000117,2912.07
E01000118,3932.27
E01000119,6060.75
E01000120,5983.6
E01000121,5730.22
E01000122,5725.04
E01000123,6066.12
E01000124,5877.05
E01000126,1074.6
E01000127,1568.16
E01000128,1700.83
E01000129,1735.64
E01000130,1226.15
E01000131,1115.74
E01000132,1634.39
E01000133,1689.56
E01000134,1552.71
E01000135,10021.62
E01000136,9737.46
E01000137,5358.63
E01000138,4700
E01000139,5223.87
E01000140,7232.34
E01000141,3422.43
E01000142,5300.46
E01000143,4458.09
E01000144,22179.85
E01000145,12670.48
E01000146,12799.89
E01000147,3963.71
E01000150,4288.64
E01000151,1319.27
E01000152,1133.03
E01000153,1900.83
E01000154,937.2
E01000156,1521.93
E01000157,1647.4
E01000158,1430.94
E01000159,2540.5
E01000160,1894.87
E01000161,1705.2
E01000162,4518.23
E01000163,1578.59
E01000164,1643.3
E01000165,1486.79
E01000166,4688.29
E01000167,4630.88
E01000168,4671.43
E01000169,4835.72
E01000170,3801.74
E01000171,4068.8
E01000172,3478.69
E01000173,3346.23
E01000174,3380.01
E01000175,2334.39
E01000176,2194.3
E01000177,2294.66
E01000178,1752.07
E01000179,2473.86
E01000180,2951.79
E01000181,1594.77
E01000182,2083.04
E01000183,3793.44
E01000184,1629.03
E01000185,1470.91
E01000186,2871.56
E01000187,3131.23
E01000188,4239.39
E01000189,2817.55
E01000190,7663.32
E01000191,3055.68
E01000192,7327.1
E01000193,9999.26
E01000194,7195.8
E01000195,3398.73
E01000196,8186.77
E01000197,7085.62
E01000198,6959.31
E01000199,10403.59
E01000200,9906.53
E01000201,8295.11
E01000202,7989.01
E01000203,8228.69
E01000204,12835.06
E01000205,2698.5
E01000206,5099
E01000207,3711.9
E01000208,3465.56
E01000209,5183.22
E01000210,3475.88
E01000211,12980.58
E01000212,10122.65
E01000213,3228.09
E01000214,10554.02
E01000215,19521.97
E01000216,52262.36
E01000217,61287.68
E01000218,12197.1
E01000219,9721.46
E01000220,11008.5
E01000221,3015.3
E01000222,2366.25
E01000223,2501.5
E01000224,2426.36
E01000225,54074.92
E01000226,1757.25
E01000227,1743.97
E01000228,8201.87
E01000229,2979.23
E01000230,2825.4
E01000231,10302.36
E01000232,4213.73
E01000233,7887.96
E01000234,13071.2
E01000235,2944.47
E01000236,10644.14
E01000237,8083.97
E01000238,9498.11
E01000239,8748.67
E01000240,8293.93
E01000241,7789.82
E01000242,6451.12
E01000243,6581.85
E01000244,8732.4
E01000245,8126.94
E01000246,6767.09
E01000247,7326.83
E01000248,10495.94
E01000249,9549.07
E01000250,7606
E01000251,5287.51
E01000252,6372.33
E01000253,3168.32
E01000254,9936.23
E01000255,4971.27
E01000256,5879.89
E01000257,5275.62
E01000258,4993.49
E01000259,5657.96
E01000260,6201.04
E01000261,4656.96
E01000263,5807.92
E01000264,9520.99
E01000265,3059.96
E01000266,2632.01
E01000267,2809.3
E01000268,2987.03
E01000269,2657.31
E01000270,2551.37
E01000271,3836.03
E01000272,4665.03
E01000273,4107.69
E01000274,2892.95
E01000275,2472.85
E01000276,2772.8
E01000277,6918.62
E01000278,3587.98
E01000279,11654.45
E01000280,10877.7
E01000281,3537.94
E01000282,6016.02
E01000283,9644.82
E01000284,3652.02
E01000285,790.6
E01000286,1643.56
E01000287,870.14
E01000288,888.04
E01000289,944.8
E01000290,1633.86
E01000291,970.91
E01000292,2105.49
E01000293,2119.69
E01000294,1881.03
E01000295,6641.58
E01000296,15073.73
E01000297,6841.19
E01000298,10552.08
E01000299,5702.19
E01000300,5449.31
E01000301,11406.4
E01000302,9149.85
E01000303,18700.38
E01000304,15996.08
E01000305,9963
E01000306,2889.67
E01000307,3552.25
E01000308,9180.81
E01000309,7798.32
E01000310,3408.12
E01000311,11378.91
E01000312,9904.53
E01000313,8498.43
E01000314,3284.15
E01000315,4803.71
E01000316,5575.36
E01000317,5771.8
E01000318,5229.76
E01000319,7443.94
E01000320,7014.61
E01000321,5257.55
E01000322,7650.79
E01000323,6898.06
E01000324,7406.01
E01000325,658.85
E01000326,772.29
E01000327,714.37
E01000328,949.57
E01000329,1037.5
E01000330,799.39
E01000331,1936.96
E01000332,1819.2
E01000333,1997.18
E01000334,1776.85
E01000335,1893.31
E01000336,2251.45
E01000337,2167.06
E01000338,2001.85
E01000339,1263.41
E01000340,1213.73
E01000341,1248.43
E01000342,1357.84
E01000343,1340.91
E01000344,1241.85
E01000345,1250.08
E01000346,1306.51
E01000347,1198.88
E01000348,2944.14
E01000349,2252.93
E01000350,1248.89
E01000351,2195.8
E01000352,1808.41
E01000353,716.93
E01000354,903.52
E01000355,767.1
E01000356,973.71
E01000357,1035.49
E01000358,952.04
E01000359,731.02
E01000360,2133.62
E01000361,3085.5
E01000362,1669.26
E01000363,2794.09
E01000364,2128.32
E01000365,1212.46
E01000366,1242.43
E01000367,1339.9
E01000368,952.62
E01000369,1116.46
E01000370,833.98
E01000371,681.63
E01000372,1251.15
E01000373,1636.3
E01000374,2978.24
E01000375,2417.11
E01000376,2636.38
E01000377,2471.83
E01000379,1454.6
E01000380,2376.15
E01000381,2095.35
E01000382,1698.56
E01000383,3905.09
E01000384,2730.67
E01000385,4654.61
E01000386,3570.88
E01000387,1664.55
E01000388,909.59
E01000389,3059.62
E01000390,2497.39
E01000391,999.71
E01000392,912.49
E01000393,788.08
E01000394,1328.3
E01000395,1080.98
E01000396,892.69
E01000398,1395.91
E01000399,1341.31
E01000400,1397.91
E01000401,1371.29
E01000402,1777.86
E01000403,1407.57
E01000404,1697.35
E01000405,1624.85
E01000406,1553.31
E01000407,1178.94
E01000408,1996.68
E01000409,955.82
E01000410,969.31
E01000411,939.05
E01000412,1154.52
E01000413,1235.91
E01000414,1283.36
E01000415,899.02
E01000416,1185.15
E01000417,970.78
E01000418,1860.72
E01000419,687.34
E01000420,1433.94
E01000421,666.19
E01000422,1509.56
E01000423,2144.47
E01000424,4595.04
E01000425,4726.22
E01000426,3800.77
E01000427,3115.26
E01000428,2825.91
E01000429,1558.27
E01000430,1449.89
E01000431,1696.85
E01000433,1586.72
E01000434,1576.6
E01000435,1267.35
E01000436,764.72
E01000437,1423.06
E01000438,1502.33
E01000439,1369.49
E01000440,1124.33
E01000441,1416.62
E01000442,1241.46
E01000443,2761.69
E01000444,6439.34
E01000445,2785.42
E01000446,2976.77
E01000447,2499.46
E01000448,2637.98
E01000449,2066.31
E01000450,786.06
E01000451,697.68
E01000452,709.37
E01000453,702.16
E01000454,836.4
E01000455,752.64
E01000456,748.64
E01000457,2658.98
E01000458,1472.7
E01000459,1816.12
E01000460,1247.71
E01000461,1367.27
E01000462,1757
E01000463,1335.49
E01000464,1698.48
E01000465,1601.15
E01000466,1701.9
E01000467,1474.21
E01000468,1456.57
E01000469,1363.54
E01000470,1221.94
E01000471,3285.23
E01000472,3193.42
E01000473,2862.72
E01000474,2932.6
E01000475,3736.16
E01000476,2673.79
E01000477,3793.76
E01000478,3347.59
E01000479,2785.59
E01000480,2280.04
E01000481,2281.8
E01000483,2509.05
E01000484,2700.16
E01000485,2717.53
E01000486,2232.43
E01000487,2709.88
E01000488,4529.51
E01000489,2515.2
E01000490,3236.82
E01000491,3131.82
E01000492,2485.17
E01000493,2390.08
E01000494,2134.21
E01000495,2147.7
E01000497,3020.8
E01000498,3216.31
E01000499,3530.29
E01000501,3386.39
E01000502,3404.81
E01000503,3896.07
E01000504,1455.27
E01000505,2380.69
