MSOA21CD,SMEDebt,TotBusper10kPop,CentralGovBusper10kPop,LocalGovBusper10kPop,PrivateSectorBusper10kPop,NonProfitBusper10kPop,Turnover_0_50k,Turnover_50k_100k,Turnover_100k_200k,Turnover_200k_500k,Turnover_500k_1m,Turnover_1m_5m,Turnover_5mplus,Employs_0_4,Employs_5_9,Employs_10_19,Employs_20plus,Employs_0_49,Employs_50_249,Employs_250plus,Education,Finance_Insurance,Manufacturing_Production,Property_BusinessServices,PubAdmin_OtherServices,Retail,Transport,Wholesale
E02000001,34808.82,1007.1776,11.5768,0,995.6008,11.5768,21.4286,25,28.5714,10.7143,3.5714,7.1429,0,77.0115,12.6437,5.7471,4.5977,98.8506,1.1494,0,1.1494,2.2989,1.1494,0,0,1.1494,1.1494,1.1494
E02000002,1493.52,286.8983,0,15.9388,286.8983,31.8776,12.5,31.25,37.5,6.25,6.25,0,0,77.7778,11.1111,11.1111,0,100,0,0,0,0,0,0,0,5.5556,5.5556,0
E02000003,2273.15,4273.03,9.249,0,4263.781,64.7429,75.8929,6.9196,7.3661,3.125,2.2321,2.6786,1.5625,90.4762,4.329,2.381,2.8139,98.9177,1.0823,0,0.4329,0.6494,2.8139,1.0823,0,1.2987,2.8139,2.1645
E02000004,1558.78,469.8229,0,9.0351,451.7528,9.0351,12.2449,28.5714,38.7755,10.2041,4.0816,4.0816,0,86.5385,3.8462,3.8462,3.8462,98.0769,0,0,1.9231,0,1.9231,1.9231,0,1.9231,1.9231,1.9231
E02000005,2273.42,471.6981,0,13.8735,443.9512,13.8735,19.3548,22.5806,38.7097,9.6774,3.2258,6.4516,0,82.3529,8.8235,2.9412,5.8824,97.0588,0,0,5.8824,0,0,2.9412,0,2.9412,0,0
E02000007,1737.99,297.2437,0,0,288.2364,18.0148,20,23.3333,30,13.3333,10,3.3333,0,75.7576,9.0909,6.0606,6.0606,96.9697,3.0303,0,3.0303,0,0,3.0303,0,3.0303,3.0303,0
E02000008,1210.33,301.6023,9.4251,0,301.6023,9.4251,19.3548,32.2581,29.0323,12.9032,6.4516,0,0,87.5,6.25,3.125,3.125,100,0,0,3.125,0,3.125,0,0,3.125,0,3.125
E02000009,1590.81,598.3482,0,8.4274,581.4933,16.8549,10.6061,24.2424,36.3636,15.1515,7.5758,4.5455,0,84.507,7.0423,2.8169,4.2254,97.1831,1.4085,0,1.4085,1.4085,1.4085,2.8169,0,4.2254,1.4085,1.4085
E02000010,1967.49,1891.6155,12.7812,25.5624,1853.272,12.7812,29.5775,19.0141,26.7606,13.3803,7.0423,3.5211,0.7042,85.8108,9.4595,2.7027,1.3514,99.3243,0,0,1.3514,0.6757,4.0541,1.3514,0.6757,2.7027,1.3514,2.027
E02000011,2181.08,486.3813,0,0,486.3813,13.8966,12.1212,24.2424,45.4545,12.1212,6.0606,3.0303,0,88.5714,5.7143,5.7143,0,100,0,0,0,0,2.8571,2.8571,0,5.7143,2.8571,0
E02000012,1697.38,199.2599,0,0,185.027,14.2328,10,20,50,10,10,0,0,64.2857,14.2857,14.2857,7.1429,92.8571,0,0,7.1429,0,0,0,0,7.1429,0,0
E02000013,1273.13,552.1956,0,13.1475,539.0481,0,20.5128,23.0769,35.8974,10.2564,7.6923,2.5641,0,83.3333,4.7619,4.7619,4.7619,100,2.381,0,2.381,0,2.381,0,0,4.7619,2.381,2.381
E02000014,1691.95,413.0606,9.8348,19.6696,383.5563,29.5043,17.6471,23.5294,35.2941,14.7059,2.9412,5.8824,0,76.1905,11.9048,4.7619,4.7619,95.2381,2.381,0,0,0,2.381,0,2.381,4.7619,4.7619,0
E02000015,1917.35,532.9949,0,25.3807,507.6142,25.3807,10.8108,18.9189,40.5405,16.2162,8.1081,5.4054,2.7027,71.4286,14.2857,7.1429,7.1429,97.619,2.381,0,2.381,0,2.381,2.381,0,7.1429,0,0
E02000016,2942.33,402.7543,0,0,402.7543,19.4881,17.2414,27.5862,32.7586,13.7931,3.4483,3.4483,0,87.0968,6.4516,3.2258,1.6129,100,0,0,1.6129,1.6129,1.6129,3.2258,0,3.2258,1.6129,1.6129
E02000017,2223.73,522.8137,0,9.5057,522.8137,9.5057,17.3077,26.9231,40.3846,9.6154,1.9231,1.9231,0,92.7273,3.6364,3.6364,0,100,0,0,1.8182,0,1.8182,0,0,5.4545,3.6364,1.8182
