OA21CD,SMEDebt
E00000001,0
E00000003,0
E00000005,0
E00000007,19484.51
E00000010,9780.35
E00000013,0
E00000018,495.77
E00000019,7037.69
E00000020,0
E00000021,21127.13
E00000022,7691.05
E00000023,7581.19
E00000024,47602.97
E00000025,86101.03
E00000028,78005.82
E00000029,42998.26
E00000030,20102.02
E00000031,12011.76
E00000032,15608.15
E00000037,3074.81
E00000038,3329.25
E00000039,3198.64
E00000040,3556.74
E00000041,3293.5
E00000042,2623.56
E00000043,3003.98
E00000045,4206.51
E00000046,3457.11
E00000048,3325.54
E00000049,1701.42
E00000050,2898.64
E00000051,2924.44
E00000052,3719.65
E00000053,2102.19
E00000054,2163.24
E00000055,1660.48
E00000056,3409.91
E00000057,3309.62
E00000059,2053.56
E00000060,1838.88
E00000061,2695.96
E00000063,2043.91
E00000064,3028.17
E00000066,2859.63
E00000067,3709.58
E00000068,3770.95
E00000069,3297.31
E00000070,2335.04
E00000071,2344.34
E00000072,802.7
E00000073,2398.98
E00000074,1759.45
E00000075,1166.75
E00000076,2474.83
E00000077,981.76
E00000078,1021.64
E00000079,2159.95
E00000080,2504
E00000081,2074.16
E00000082,2489.89
E00000083,2445.88
E00000084,2470.9
E00000085,1102.99
E00000086,1148.79
E00000087,1508.06
E00000088,2278.46
E00000089,2651.3
E00000090,1246.21
E00000091,2878.21
E00000092,1199.49
E00000093,2060.46
E00000094,2365.91
E00000095,2448.3
E00000096,1188.34
E00000097,1184.85
E00000098,1193.59
E00000099,956.91
E00000100,2196.2
E00000101,1722.39
E00000102,1845.9
E00000103,2854.02
E00000104,1690.31
E00000106,1967.6
E00000107,1615.21
E00000108,1619.18
E00000109,1667.97
E00000110,1653.95
E00000111,1564.28
E00000112,1657.92
E00000113,1078.23
E00000114,1552.24
E00000115,1466.79
E00000116,1447.53
E00000117,1522.61
E00000118,1813.8
E00000119,1748.49
E00000120,1586.16
E00000121,2011.43
E00000122,1879.2
E00000123,1105.95
E00000124,1834.08
E00000125,1600.15
E00000128,1206.88
E00000129,1543.53
E00000130,1866.95
E00000131,1258.05
E00000132,1605.16
E00000133,1446.62
E00000134,1292.05
E00000135,2248.71
E00000136,1982.51
E00000137,1245.79
E00000138,1453.82
E00000139,1518.18
E00000140,1579.82
E00000141,1829.28
E00000142,1705.9
E00000143,1679.14
E00000144,2045.25
E00000145,1258.74
E00000146,2078.41
E00000147,2141.05
E00000148,1087.15
E00000149,1892.24
E00000150,2135.71
E00000151,2474.7
E00000152,2035.91
E00000153,2061.17
E00000154,2262.81
E00000155,2043.49
E00000156,1210.02
E00000157,1494.31
E00000158,1241.7
E00000159,1300.08
E00000160,1490.92
E00000161,1380.11
E00000162,1228.5
E00000163,1577.15
E00000164,1606.68
E00000165,1339.88
E00000166,1398.99
E00000167,1525.74
E00000168,1717.51
E00000169,1602.7
E00000170,1654.11
E00000171,1696.92
E00000172,1677.69
E00000173,2163.16
E00000174,2233.48
E00000175,1734.49
E00000176,1539.54
E00000177,1821.91
E00000178,1895.58
E00000179,2669.32
E00000180,2306.3
E00000181,1586.56
E00000182,1440.25
E00000183,1510.88
E00000184,1865.57
E00000185,1476.19
E00000186,1353.2
E00000187,1510.59
E00000188,1455.22
E00000189,1583.77
E00000190,1214.59
E00000191,1778.32
E00000192,1588.22
E00000193,1688.54
E00000194,1349.76
E00000195,1529.82
E00000196,1655.63
E00000197,1622.61
E00000198,2348.12
E00000199,1008.06
E00000200,956.96
E00000201,1936.5
E00000202,1213.13
E00000203,1105.89
E00000204,1040.45
