LSOA21CD,ThirdSector
E01000001,6159.2098
E01000002,10199.005
E01000003,273.8226
E01000005,3613.7072
E01000006,272.7769
E01000007,811.6334
E01000008,569.152
E01000009,1075.8472
E01000011,234.192
E01000012,385.439
E01000013,803.8585
E01000014,225.2252
E01000015,127.2265
E01000016,271.5915
E01000017,231.0803
E01000018,227.5313
E01000019,486.0267
E01000020,227.2727
E01000021,176.7826
E01000022,69.0131
E01000024,266.489
E01000025,313.8075
E01000027,286.3962
E01000028,165.9292
E01000029,309.2784
E01000030,314.8367
E01000031,220.3857
E01000032,578.0347
E01000033,196.3351
E01000034,243.6054
E01000035,1124.197
E01000036,278.3577
E01000037,346.6205
E01000038,241.6918
E01000039,542.8882
E01000040,54.5256
E01000041,111.9821
E01000042,420.8311
E01000043,319.2848
E01000044,202.2245
E01000045,118.4133
E01000046,468.2622
E01000049,411.0393
E01000050,320.6841
E01000051,1971.3262
E01000052,204.165
E01000053,240.2402
E01000054,163.3097
E01000055,313.6763
E01000056,240.6739
E01000057,187.0324
E01000058,231.5887
E01000059,411.5226
E01000060,228.833
E01000061,408.3716
E01000062,181.0774
E01000063,171.723
E01000064,349.1925
E01000065,254.1942
E01000066,233.1002
E01000067,358.2624
E01000068,113.9601
E01000069,46.0617
E01000070,192.7711
E01000071,306.8661
E01000072,234.192
E01000073,214.5923
E01000074,285.8776
E01000075,194.0805
E01000076,92.2509
E01000077,341.1029
E01000078,615.7004
E01000079,565.6109
E01000080,340.9091
E01000081,202.4291
E01000082,216.9197
E01000083,304.1054
E01000084,281.6901
E01000085,372.4395
E01000086,347.9471
E01000087,242.1308
E01000088,643.2459
E01000089,441.5011
E01000090,537.6344
E01000091,429.5943
E01000093,500
E01000094,652.8418
E01000095,378.1513
E01000096,739.3715
E01000097,363.8254
E01000098,414.7227
E01000099,400.1455
E01000100,414.2931
E01000101,295.5083
E01000102,276.5487
E01000103,568.1818
E01000104,419.7272
E01000105,310.8348
E01000106,528.4016
E01000107,547.3454
E01000108,155.3599
E01000110,1625.5268
E01000111,415.7044
E01000112,680.9339
E01000113,295.5665
E01000114,335.4298
E01000115,145.5604
E01000116,299.222
E01000117,225.7336
E01000118,198.3143
E01000119,56.6251
E01000120,410.1162
E01000121,141.6431
E01000122,200.5348
E01000123,1319.564
E01000124,318.9793
E01000126,183.1502
E01000127,128.866
E01000128,441.8262
E01000129,250.6266
E01000130,156.3314
E01000131,362.3188
E01000132,189.7533
E01000133,309.4059
E01000134,169.6833
E01000135,2748.538
E01000136,1089.9183
E01000137,653.5948
E01000138,309.2146
E01000139,987.3061
E01000140,303.0303
E01000141,390.1895
E01000142,694.7661
E01000143,656.7164
E01000144,3108.1889
E01000145,2231.8661
E01000146,1768.4887
E01000147,151.0574
E01000150,1322.9927
E01000151,607.1645
E01000152,256.7865
E01000153,108.5776
E01000154,438.8371
E01000156,304.1054
E01000157,256.5747
E01000158,608.931
E01000159,633.2758
E01000160,478.4689
E01000161,294.8403
E01000162,360.3604
E01000163,118.8354
E01000164,119.4743
E01000165,347.0214
E01000166,555.8987
E01000167,524.7376
E01000168,202.1563
E01000169,387.0968
E01000170,368.4211
E01000171,963.6443
E01000172,359.0664
E01000173,187.3829
E01000174,473.9336
E01000175,354.7897
E01000176,714.2857
E01000177,969.697
E01000178,552.1472
E01000179,451.9774
E01000180,412.9794
E01000181,412.9794
E01000182,1239.9256
E01000183,653.1679
E01000184,444.9388
E01000185,205.6203
E01000186,1281.337
E01000187,682.5939
E01000188,886.0759
E01000189,367.0473
E01000190,687.2852
E01000191,1734.104
E01000192,2276.1009
E01000193,903.6145
E01000194,1114.6497
E01000195,299.2519
E01000196,6115.7796
E01000197,437.6368
E01000198,279.7203
E01000199,677.3399
E01000200,983.7678
E01000201,1906.6404
E01000202,969.1096
E01000203,1229.2892
E01000204,1047.7299
E01000205,391.6449
E01000206,1468.6248
E01000207,1578.2828
E01000208,1157.8306
E01000209,923.4828
E01000210,853.0184
E01000211,7034.9386
E01000212,1397.0588
E01000213,1098.9011
E01000214,2639.4721
E01000215,2137.5465
E01000216,1419.8783
E01000217,3816.7939
E01000218,2302.6316
E01000219,1405.8957
E01000220,2527.6461
E01000221,475.8668
E01000222,247.5248
E01000223,530.1205
E01000224,416.1712
E01000225,3182.3085
E01000226,116.9591
E01000227,528.262
E01000228,777.9349
E01000229,181.1594
E01000230,1019.368
E01000231,403.6909
E01000232,439.0779
E01000233,315.6234
E01000234,346.2204
E01000235,1004.4643
E01000236,1584.7861
E01000237,2529.8988
E01000238,1380.9524
E01000239,430.622
E01000240,396.376
E01000241,602.7397
E01000242,1175.0155
E01000243,697.3501
E01000244,665.4567
E01000245,2811.4397
E01000246,384.8621
E01000247,666.2629
E01000248,1001.7678
E01000249,750.9387
E01000250,2264.0061
E01000251,539.3258
E01000252,295.683
E01000253,594.6482
E01000254,871.731
E01000255,529.4118
E01000256,410.4669
E01000257,250.5219
E01000258,1009.0281
E01000259,570.5591
E01000260,553.761
E01000261,999.4448
E01000263,456.9191
E01000264,819.2245
E01000265,263.1579
E01000266,345.0656
E01000267,530.504
E01000268,543.4783
E01000269,1174.743
E01000270,399.2016
E01000271,490.1961
E01000272,647.9482
E01000273,779.3765
E01000274,313.4796
