MSOA21CD,AwardsValue,AwardsCount,CharitiesCount,ThirdSector,CommunityOwned
E02000001,52637.2941,753.2037,175.7394,22808.1497,11385.6312
E02000002,150.1204,9.542,0.8367,274.3321,288.0686
E02000003,115.7516,26.2645,2.0711,610.0144,220.2154
E02000004,903.7751,24.7453,1.9211,349.345,0
E02000005,18.4945,4.5265,1.1743,325.9098,326.766
E02000007,6446.4653,67.8333,1.9641,275.2654,96.7419
E02000008,109.147,33.8932,1.3538,316.3365,170.5318
E02000009,5.6031,2.3346,1.1721,202.3346,181.4856
E02000010,198.4988,8.4602,2.5443,274.9577,334.4849
E02000011,158.8372,12.7425,2.4131,538.015,0
E02000012,12.4939,5.1458,1.6439,231.5609,0
E02000013,16.8606,12.7038,0.8461,190.5568,337.9387
E02000014,21.7321,12.2312,2.6436,417.8983,206.6425
E02000015,3.6537,4.8846,2.5554,451.8256,148.414
E02000016,2646.1362,49.7326,3.3518,684.9958,88.7917
E02000017,13.4357,6.5696,1.9914,383.2257,119.8873
E02000018,1.6485,2.1202,1.2685,275.6281,110.9828
E02000019,9.5107,2.0764,1.04,269.9336,322.3241
E02000020,228.8634,13.3897,1.7058,408.7385,100.2806
E02000021,3.7629,5.6664,2.7385,430.6437,129.3838
E02000022,141.1226,18.9084,3.125,844.5733,488.5249
E02000023,78.9356,11.081,4.2463,578.6752,153.5383
E02000024,231.7856,58.1127,5.1386,1134.5817,170.1733
E02000025,24.5762,9.4563,3.3697,484.6336,275.468
E02000026,11.4998,17.3941,1.8613,379.5066,0
E02000027,34.7487,13.7044,2.8893,337.3392,109.2873
E02000028,53.4273,12.5059,2.746,640.9254,239.2825
E02000029,7.7353,9.5289,2.5021,497.6178,0
E02000030,67.0681,16.9276,4.9292,624.2065,447.4895
E02000031,52.6494,10.6965,3.4902,606.1326,427.9782
E02000032,16.434,3.861,1.6433,218.7902,162.1113
E02000033,1213.204,37.3938,2.2411,441.9263,382.3455
E02000034,10.6647,8.8535,3.2931,509.0748,487.1506
E02000035,25.3882,17.4155,3.6097,638.5696,408.3361
E02000036,0,0,2.5891,451.2635,80.2674
E02000037,73.4932,22.0426,6.5185,890.8891,84.7663
E02000038,29.1233,16.9476,3.0038,489.5961,263.5127
E02000039,149.7719,26.4072,4.1696,681.0285,581.6912
E02000040,144.1799,10.3745,3.5153,456.4789,567.596
E02000041,29.4701,13.6842,6.1117,1021.0526,111.3307
E02000042,320.4341,74.7241,5.1881,1068.7288,225.5088
E02000043,1.6025,1.341,2.7959,442.5372,531.4486
E02000044,71.1104,12.73,2.1628,405.0457,392.5622
E02000045,137.0487,42.6853,1.0517,242.5301,276.5451
E02000046,0,0,5.9001,1404.2126,823.252
E02000047,44.897,12.3102,1.9441,311.8588,66.2
E02000048,46.2619,14.5872,3.9794,602.9369,662.0006
E02000049,143.0931,40.1096,1.534,303.2675,278.6599
E02000050,7.4899,5.9412,2.2276,455.4906,381.6524
E02000051,0,0,14.6405,2375.7865,236.8633
E02000052,0,0,2.4373,617.284,205.4911
E02000054,17013.8205,81.0394,3.1319,488.8089,842.8378
E02000055,2444.858,42.2761,10.2856,1488.1204,288.4513
E02000056,7.663,3.2812,10.0011,1137.4822,239.591
E02000057,83.4943,21.4972,13.8278,1631.2595,946.868
E02000058,1964.3336,11.6144,19.4515,2768.0991,189.2768
E02000059,71.134,22.6067,2.992,773.8458,373.9419
E02000060,5.1832,7.7942,20.4241,2268.9876,299.7148
E02000061,538.3155,34.5897,16.1446,2290.0763,428.7376
