LSOA21CD,VulnerableHH,CNI_ActiveScore,CNI_CivicAssetsScore,CNI_CommunityNeedsScore,CNI_ConnectednessScore
E01000001,0,1.3053,-2.95222,4.9687,19.50406
E01000002,1,1.47987,-3.01445,5.549,20.76221
E01000003,1,12.55755,-3.03717,27.24785,49.25967
E01000005,2,10.50474,-2.9143,36.72921,62.5382
E01000006,2,58.60609,-0.47035,37.06801,7.90141
E01000007,3,60.97064,-0.3848,52.12571,34.03083
E01000008,3,50.9874,-0.29342,42.52173,26.86892
E01000009,3,57.09272,-0.47596,45.21994,28.8168
E01000011,3,67.10105,-0.45465,46.87186,18.05545
E01000012,3,59.45728,-0.34197,42.55708,17.20931
E01000013,2,62.42002,-0.04149,51.5359,19.8944
E01000014,2,72.85262,-0.05172,60.94121,24.48065
E01000015,2,93.60162,-0.19711,73.43945,24.06025
E01000016,2,68.43151,-0.0723,56.03696,21.67035
E01000017,2,83.14065,-0.01655,67.72185,21.34816
E01000018,2,74.10197,-0.06695,61.17749,23.73442
E01000019,2,53.61614,-0.09689,42.55881,15.75234
E01000020,2,79.00154,-0.17889,63.84653,26.13224
E01000021,2,78.60731,0.50262,87.72889,36.12909
E01000022,2,92.74081,0.55345,94.92003,27.39515
E01000024,2,81.07867,0.57022,84.29634,23.06892
E01000025,2,84.61275,0.47273,96.1299,43.29259
E01000027,2,72.21658,0.03544,60.25196,20.04668
E01000028,2,82.46053,0.14811,80.30163,37.09349
E01000029,1,52.94948,0.09535,52.04933,27.19298
E01000030,2,65.97941,-0.01083,59.41516,28.47459
E01000031,1,46.82521,-0.07572,38.41598,15.36562
E01000032,2,43.83074,-0.13307,38.81415,23.0604
E01000033,2,55.384,0.22166,63.09143,37.15156
E01000034,1,37.09387,-0.59849,30.65141,27.68497
E01000035,2,51.12187,-0.35693,41.76052,27.16733
E01000036,2,68.36629,-0.33004,48.07375,14.60087
E01000037,1,39.34863,-0.59419,26.07632,15.93755
E01000038,1,60.42573,-0.57355,40.1409,16.63527
E01000039,1,47.401,-0.64458,38.63969,31.57524
E01000040,2,97.12094,0.13044,81.74855,21.69982
E01000041,2,118.8043,0.50616,108.00739,18.58565
