MSOA21CD,VulnerableHH,CNI_ActiveScore,CNI_CivicAssetsScore,CNI_CommunityNeedsScore,CNI_ConnectednessScore
E02000001,0.934915254,7.83697,-2.99488,22.12359,42.93172
E02000002,1.763542435,68.30199,0.05897,62.58891,27.96337
E02000003,1.83902439,45.5791,-0.09593,39.94072,20.55023
E02000004,1,46.07191,-0.60351,33.90251,23.02186
E02000005,2,73.07327,0.03073,58.87157,14.86482
E02000007,2.202024798,79.7804,0.22815,79.24595,34.35339
E02000008,1.866885643,81.8456,0.15653,72.93901,24.21156
E02000009,2.132459798,91.93165,0.4882,94.20277,30.78909
E02000010,2,78.5005,-0.09565,64.25939,24.05424
E02000011,2,62.4928,-0.36228,47.80151,23.52213
E02000012,2,52.16288,0.01579,42.95854,10.81902
E02000013,2,96.86412,0.26787,90.03567,29.42239
E02000014,1.831737928,73.22977,-0.01534,62.39397,24.84087
E02000015,2.260214201,70.74961,-0.04202,73.47616,44.72656
E02000016,2.630015633,57.22007,-0.33524,46.61781,27.48729
E02000017,2.400917863,62.354,-0.4803,42.82657,15.92789
E02000018,2,103.33298,0.47174,99.19331,25.91674
E02000019,2,82.71298,-0.02849,67.11298,20.79135
E02000020,2,66.29271,0.10626,59.48772,22.86022
E02000021,2,68.29531,0.36426,67.94528,21.40808
E02000022,2.815768486,55.00123,-0.71644,41.23423,27.92664
E02000023,2.503085467,70.17498,0.31951,75.09748,34.6161
E02000024,1,7.46032,0.4018,30.31661,12.34757
E02000025,1,16.76328,-0.18373,21.78833,18.46921
E02000026,1,21.47218,-0.38806,17.24005,9.94359
E02000027,1.35340696,36.62323,0.39668,49.29919,23.55959
E02000028,1,15.09897,-0.24726,17.69053,13.55875
E02000029,1.217095221,24.7537,-0.01096,29.32424,18.24366
E02000030,1.162212486,14.92846,-0.42775,17.92695,18.12367
E02000031,1.172744722,20.03679,-0.37036,18.73379,14.09373
E02000032,1.405243732,27.28603,-0.09093,25.42305,9.42263
E02000033,1.365233689,28.67701,-0.37771,24.33913,18.2187
E02000034,1,19.28862,-0.45075,17.6397,16.76399
E02000035,1.614940364,14.43592,-0.01236,22.93543,15.50776
E02000036,1.829004933,26.85486,0.53489,43.82024,11.80794
E02000037,1.348321528,11.7184,0.7386,43.72492,7.28395
E02000038,1.521304927,22.53109,-0.09956,22.77137,10.4921
E02000039,1.514756554,12.18801,-0.38808,12.02094,6.27773
E02000040,1.7775462,26.2248,-0.33885,22.49183,15.68109
E02000041,2,23.29965,0.05131,26.94339,9.87524
E02000042,1.522041545,12.7017,0.19729,26.06054,12.58027
E02000043,1,20.32854,-0.4077,16.91441,11.90941
E02000044,1.789245447,45.50475,-0.30446,33.7486,13.3478
E02000045,2,43.36897,-0.4138,34.4381,20.75558
E02000046,1.241682005,11.46757,-0.79931,8.48174,10.58351
E02000047,2,56.17325,-0.09333,44.62242,15.14024
E02000048,1.659264541,16.30518,-0.80361,10.30828,9.27579
E02000049,2.564506645,60.29712,0.15452,61.9283,31.84922
E02000050,1.282988871,23.01516,-0.67637,17.9204,16.07103
E02000051,1.822944374,8.3259,-0.38876,13.35979,13.87069
E02000052,1.149206022,17.01752,0.21059,28.1972,9.68537
E02000054,2.231751318,22.80558,-1.05281,12.97024,12.55717
E02000055,2.169272237,17.99458,-0.20107,21.06882,15.61381
E02000056,1,6.3185,-0.48016,9.66915,10.42438
E02000057,2.262292892,17.43533,-0.81663,10.51118,8.01141
E02000058,1.558414873,7.11025,-0.173,16.83542,15.24651
E02000059,2.318290468,33.9761,-0.31613,28.7496,18.83679
E02000060,2.166483517,13.30269,-0.00888,20.85214,11.42028
E02000061,1.597279421,9.8687,-0.40175,13.10044,13.65346
E02000062,2.202996845,39.73284,-1.37818,30.25882,30.25306
E02000063,2,31.5275,-0.70658,20.93366,15.81743
E02000064,1.771286812,26.54084,-0.91533,19.53492,20.62193
E02000065,2,64.9635,0.3502,70.97223,32.63514
E02000066,1.978425475,66.67124,0.19323,71.92173,38.33181
E02000067,1.420571429,57.93281,0.74636,83.65498,36.20588
E02000068,1.302382242,45.13277,-0.05466,46.51968,29.78676
E02000069,1.266225379,46.09128,-0.56527,34.77101,24.09946
E02000070,1,45.59982,-0.38851,39.92883,30.14825
E02000071,0.806438356,53.77054,-0.16248,44.27255,21.12452
E02000072,1.570564173,78.07502,0.93443,106.53423,35.55754
E02000073,0.744778068,41.69762,0.11772,42.87478,20.72094
E02000074,1,64.62398,-0.29718,59.13085,37.72065
E02000075,1,34.17294,-0.4878,28.76387,24.48174
E02000077,1,54.51435,-0.09162,48.2377,22.47093
E02000078,1,56.52276,-0.13145,46.5579,20.78267
E02000079,1,22.7532,-0.31272,25.56299,24.93559
E02000080,1,34.98523,0.07867,36.78124,18.36735
E02000081,0.824836949,36.11666,-0.67265,29.07784,25.69381
E02000082,1,46.75683,0.04921,41.72756,15.57389
E02000083,1,46.38718,0.26869,51.93172,24.00155
E02000084,0.860821351,30.84761,-0.43898,23.66423,16.01969
E02000085,1,49.59936,-0.33993,36.6325,14.57543
E02000086,0.815365721,34.61669,-0.35316,26.63852,15.40629
E02000087,1,23.04006,-0.44013,20.75284,19.22368
E02000088,0.785188057,43.09762,-0.67078,29.88748,18.93407
E02000089,0.838879609,48.83199,-0.21161,39.87498,20.19839
E02000090,1,20.6774,-0.2156,24.86603,22.76734
E02000091,1,32.14828,-0.33836,31.81621,27.99788
E02000092,1.29038282,50.30882,-0.73349,47.96003,43.24754
E02000093,1.67867316,40.00513,-0.19513,30.0189,7.62421
E02000094,1.748799451,44.09802,0.01075,37.29355,9.66526
E02000095,1.38070759,29.79305,-0.32986,22.28258,9.84187
E02000096,1,16.70474,-0.43591,14.14842,9.18798
E02000097,1.802187988,41.35428,-0.24359,30.38969,10.78019
E02000098,1.411002014,38.72286,-0.51281,27.96333,17.3829
E02000099,1.674285058,30.77187,-0.28524,24.13039,11.86877
E02000100,1,24.289,-0.88041,13.09673,7.70425
E02000101,1.690741535,50.90389,-0.03158,47.30663,24.24002
E02000102,1.419288558,58.61617,-0.05757,50.3626,22.65708
E02000103,1.600137567,49.56572,-0.31052,39.28517,21.57036
E02000104,1.233338259,33.01342,-0.84366,20.5895,14.93871
E02000105,1.598348185,37.65711,-0.32075,28.02273,13.42933
E02000106,2,55.49778,-0.26756,45.79933,25.08002
E02000107,1.511223345,32.90038,-0.37358,30.93109,26.54575
E02000108,1.259720535,61.12292,-0.15108,45.34912,11.31582
E02000110,1.205267714,44.69968,-0.89214,30.8712,21.19258
E02000111,1.23952157,38.89564,-0.2671,29.344,12.89554
E02000112,1.256043257,42.08563,-0.39027,31.36793,18.47524
E02000113,1.514655619,71.58025,-0.44752,61.84133,37.95765
E02000114,1,36.52882,-0.68403,30.42711,28.27221
E02000115,1.424820144,26.44771,-1.10551,21.72723,27.0952
E02000116,2,51.05427,-1.38109,39.29842,34.78582
E02000117,1.181386831,65.47161,-0.23267,64.74504,43.56676
E02000118,1.203289125,47.49413,0.02251,41.58884,14.7256
E02000119,1.304635762,75.00537,-0.32947,67.78205,40.45209
E02000120,1,26.30481,-0.85925,23.29169,27.82356
E02000121,1.233628121,32.30845,-0.01326,31.43631,14.41707
E02000122,1,23.27514,-1.61614,13.34707,16.23881
E02000123,1.399008085,54.78426,-0.29251,53.38104,39.56628
E02000124,1,20.09449,-1.53222,10.45177,13.57123
E02000125,1,33.81521,-1.07591,21.61167,17.59924
E02000126,1.747138264,56.57959,-1.48586,52.34533,48.62753
E02000127,1.162796181,73.13126,0.12814,79.35055,44.80506
E02000128,1,30.12481,-0.35011,31.02225,27.58488
E02000130,1,23.75208,-0.90397,15.04645,14.52016
E02000131,1,31.32278,-0.49587,26.08394,22.53393
E02000132,1,21.61691,-0.50081,22.19458,24.26787
E02000133,0.638246929,10.19877,0.09131,28.71322,26.38238
E02000134,1,22.49473,0.03598,32.43598,24.88438
E02000135,1.667762482,42.95902,-0.50242,40.7648,35.51343
E02000136,1,35.16221,-1.14911,34.80838,38.11432
E02000137,1,25.99665,-0.63229,29.17686,35.13253
E02000138,0.808971774,15.11903,-0.49603,21.71795,29.27805
E02000139,1,33.08578,-0.87343,20.59068,14.99915
E02000140,1.411142893,76.30113,0.4419,88.80229,41.48912
E02000141,1,37.14854,-0.7666,25.39027,20.03804
E02000142,1,23.06441,-0.34957,21.63009,17.62638
E02000144,1,15.39689,-0.1735,22.72899,21.03838
E02000145,1.436309671,54.15985,-0.2578,55.266,41.6434
E02000146,1,24.41629,-0.23624,23.45016,16.37518
E02000147,0.601581127,18.81472,-0.44044,27.01531,34.18294
E02000148,1,12.54002,-0.36118,18.4647,22.16666
E02000149,1,52.95916,0.20478,56.99053,30.12789
E02000150,0.830319722,27.92646,-0.56339,21.40988,17.69627
E02000151,0.386849749,22.52509,0.01309,29.50687,20.82851
E02000152,1,42.87539,-0.0545,44.09563,29.46498
E02000153,1,27.12293,-0.12441,31.25697,24.93064
E02000154,0.807639151,19.58388,0.01125,28.90022,21.70446
E02000155,1,39.06894,-0.12771,35.30813,20.5102
E02000156,0.627749297,18.04174,0.66996,52.72198,28.16961
E02000157,0.210321447,17.11043,-0.04576,26.76662,23.15894
E02000158,1.028652906,36.80813,0.19972,44.71868,26.22747
E02000159,1,15.96763,-0.12397,21.92701,17.27949
E02000160,1,17.09123,-0.57562,20.14957,26.27883
E02000161,0.370511296,36.51728,0.25517,43.99678,20.55529
E02000162,1,21.62398,0.04615,31.20424,21.32358
E02000163,0.821568628,12.3647,0.25087,31.57132,22.35777
E02000165,1,43.00808,0.86969,71.58085,21.38683
E02000166,1,8.35983,-1.47065,15.50273,30.35387
E02000167,1,2.53424,-1.15698,3.89645,10.38474
E02000168,1,5.94908,-1.23721,8.06054,20.07488
E02000169,1,6.22117,-0.95683,4.4518,5.85364
E02000170,1.228112257,10.47709,-0.82034,8.28607,9.46436
E02000171,1,14.36031,-1.19898,9.29492,15.26355
E02000172,1.511678329,24.02533,-0.96414,25.99698,33.83654
E02000173,0.80286645,5.85404,-1.1499,6.23322,12.81629
E02000174,1.179366537,16.55563,-1.18687,14.22263,22.7682
E02000175,0.8329566,12.64516,-0.94952,10.17523,13.93987
E02000176,0.773419112,3.87107,-1.38943,3.06539,10.35678
E02000177,1.465355387,31.37249,-1.09152,27.86365,32.27313
E02000178,1.21564864,21.77302,-1.00627,20.98683,29.16376
E02000179,1.503555064,16.40789,-1.53707,8.85538,14.03017
E02000180,1.62911485,24.7412,-1.4922,17.89844,23.15538
E02000181,0.803840166,11.61998,-1.01437,6.88141,8.26589
E02000182,1.524712558,13.07609,-1.43711,6.28181,9.85397
E02000183,1.235182611,10.38007,-1.45972,8.07491,14.99836
E02000184,1.82278766,31.1267,-1.70142,20.82901,24.51046
E02000185,1.568033776,32.28573,-1.09398,31.03907,36.41748
E02000186,1.740391805,21.97095,-2.59369,14.05024,21.73708
E02000187,2.203065604,36.21225,-1.87233,22.16465,22.14459
E02000188,2.203917328,47.94342,-2.20935,33.22553,29.82656
E02000191,1.767754319,29.40908,-3.05984,18.09694,22.29316
E02000192,1.728098365,20.23707,-2.74808,20.50063,33.76037
E02000193,1.537876802,21.5952,-3.24067,24.21752,38.67366
E02000194,1,22.56091,-0.47088,20.33805,19.59343
E02000195,1.186079546,25.26201,-0.45368,19.84557,15.33434
E02000196,1.546265028,34.00905,-0.60559,24.68851,18.37811
E02000197,1.461183198,43.12411,-0.10589,36.66173,17.43757
E02000198,1.606319703,50.77226,-0.48393,41.03371,28.33872
E02000199,1.233570581,49.32628,-0.35477,35.83886,17.38406
E02000200,1,35.59539,-0.75958,30.53503,29.5516
E02000201,1.651008332,45.7242,-0.02895,53.06374,39.97597
E02000202,1,51.71975,-0.45989,33.87329,11.3863
E02000203,1.418357872,49.52771,-0.87308,37.9768,28.92233
E02000204,1.167109599,45.89746,-0.41283,30.8951,12.35415
E02000206,1.6774295,56.03703,-0.75598,42.37556,29.28004
E02000207,1.2198022,43.23395,-0.23149,40.12779,28.33146
E02000208,2,55.54566,-0.23308,50.691,32.66655
E02000209,2,53.10426,0.10883,48.98913,19.72059
E02000210,1,53.87327,-0.29884,42.66676,23.08307
E02000211,1,45.32491,-0.02814,46.00795,28.30669
E02000212,1.435762056,55.59825,-0.55191,40.23404,22.28391
E02000213,1.796670506,52.58827,-0.27623,49.71523,35.08638
E02000214,0.770525978,27.13017,-0.49673,20.7874,16.35568
E02000215,1,32.43524,-0.29552,35.87623,32.0317
E02000216,0.789403384,20.65347,-1.24953,15.14189,19.47386
E02000217,1.462118084,46.15018,-0.40043,37.10253,24.74945
E02000218,1.777560241,29.45567,0.35669,56.01513,41.82819
E02000219,0.81069477,17.65719,-0.5217,19.20282,22.11166
E02000221,1.349083503,43.511,-0.63918,31.72603,22.6125
E02000222,0.813204917,21.72572,-0.30257,24.32457,23.62314
E02000223,1.437821049,83.11404,1.61393,146.27113,37.87072
E02000224,1,22.59538,-0.01447,29.0964,21.3089
E02000225,1.200796284,77.05254,1.08612,113.75118,34.60191
E02000226,0.386390768,14.95351,0.49197,42.4819,25.94973
E02000227,1.119971957,39.85076,0.92562,81.33271,36.82221
E02000228,0,20.8674,0.11866,35.73866,28.90678
E02000229,1,66.44061,1.43044,125.83013,36.95174
E02000230,0.70273768,18.51721,0.35723,39.01095,25.14931
E02000231,0.816395576,14.88208,-0.05727,23.39597,18.44202
E02000232,1,30.65833,0.2481,43.8419,28.11472
E02000233,1,33.49966,0.17731,45.09082,31.04748
E02000234,1,21.34886,0.16075,38.00975,31.0508
E02000235,1,29.10012,-0.44842,29.70446,28.96619
E02000236,0.813552683,30.39294,0.32202,42.68037,22.7353
E02000237,0.797859532,26.34306,0.47232,55.81854,37.71785
E02000238,1.409052632,40.69721,0.4448,52.9741,20.81177
E02000239,1.204333333,27.86047,-0.57905,18.01396,9.31979
E02000240,1.486410132,52.25338,0.2752,55.29224,23.22965
E02000241,1.254857659,37.13403,-0.06142,33.20383,14.38227
E02000242,1.746857903,32.35249,-0.2109,26.13646,9.18718
E02000243,1.165001763,26.17151,-0.61319,22.61913,22.09861
E02000244,1.21388734,26.18029,-0.43283,19.7952,13.0485
E02000245,1.81571849,73.31449,0.29889,74.25975,30.66333
E02000246,1.191358025,54.54997,0.48562,61.4482,20.36281
E02000247,1.681606519,58.08691,0.29772,59.26233,22.08068
E02000248,1.518952823,12.26538,-0.44881,12.56002,11.63937
E02000249,1.529206061,43.29352,-0.14953,37.86305,20.22703
E02000250,1,12.33775,-0.43461,12.86563,11.57469
E02000251,1.201158107,51.31312,-0.02505,41.18999,9.11819
E02000252,1.617556151,39.57714,-0.7701,35.36878,33.24675
E02000253,1.498961794,40.70073,-0.27418,47.57717,42.03942
E02000254,1,51.95397,-0.24702,37.13234,10.24147
E02000255,1.18108822,20.37975,-0.55251,21.32812,24.04089
E02000256,0.817627807,8.14509,-0.39597,15.90443,20.44713
E02000258,1,35.04513,-1.05067,18.85295,10.42932
E02000259,1,25.18812,-0.95463,13.94399,10.86153
E02000260,1.206888634,40.37456,-0.27177,33.53055,18.2577
E02000261,1.436373769,36.07444,-0.21657,32.35975,21.24267
E02000262,1.237535014,23.2021,-0.49801,24.83651,27.05642
E02000263,1.523674487,29.50592,0.05623,34.75354,22.01347
E02000264,1,12.27592,-1.05426,7.76771,11.72145
E02000265,1,25.83138,-0.26584,39.75869,39.93076
E02000266,1.573108426,35.20555,-0.56456,29.21144,25.80293
E02000267,1,24.33266,-0.07175,28.21164,19.42882
E02000268,1,18.61959,-0.70788,18.66497,23.1656
E02000269,0.806140134,13.24938,-0.85397,9.45126,9.82715
E02000270,1.585851051,31.6145,-0.61523,39.96906,45.85919
E02000271,1,8.9969,-1.40376,5.63752,11.28395
E02000272,1,10.70936,-0.81468,8.16785,9.63208
E02000275,1.267952689,30.08132,-0.70537,23.0442,21.05817
E02000276,1,11.95555,-0.67208,13.20918,17.3012
E02000277,1.506708092,61.46122,0.13044,51.62366,11.13138
E02000278,1.801063709,72.02119,0.40248,71.76833,21.14644
E02000279,2,55.44001,0.7139,69.93855,17.74377
E02000280,1.183558426,20.88941,-0.41823,22.34418,20.72939
E02000281,1.194793435,48.94096,0.01648,47.66673,22.65511
E02000282,2.166099835,76.84268,0.01858,66.21656,24.54571
E02000283,1.776115859,72.59815,0.19706,60.81438,9.85678
E02000284,1,18.86369,0.1972,30.10587,16.11133
E02000285,1,23.55166,-0.61375,14.79483,6.46991
E02000286,1,21.85064,0.04689,29.00146,18.62487
E02000287,1,9.78311,-0.1934,17.48404,16.19868
E02000288,1.683603432,40.91978,0.09575,40.03739,17.69846
E02000289,1,22.77047,-0.14283,21.7983,9.49302
