LSOA21CD,TotPopChange_2001_17
E01000001,-14.8607
E01000002,-11.8553
E01000003,-4.8315
E01000005,31.9266
E01000006,26.737
E01000007,61.759
E01000008,13.7812
E01000009,21.4606
E01000011,18.018
E01000012,59.957
E01000013,20.8005
E01000014,9.7529
E01000015,55.0288
E01000016,4.2709
E01000017,-1.0719
E01000018,16.0105
E01000019,4.2396
E01000020,21.118
E01000021,10.6012
E01000022,1.8258
E01000024,11.782
E01000025,2.8554
E01000027,16.9906
E01000028,19.0897
E01000029,6.1446
E01000030,49.0184
E01000031,20.2859
E01000032,14.1748
E01000033,29.943
E01000034,6.9174
E01000035,29.3276
E01000036,10.1632
E01000037,17.6581
E01000038,-5.1837
E01000039,9.0969
E01000040,25.1604
E01000041,14.2313
E01000042,57.2197
E01000043,24.361
E01000044,26.6709
E01000045,16.4792
E01000046,24.5259
E01000049,21.889
E01000050,26.8149
E01000051,-36.0332
E01000052,30.5621
E01000053,15.488
E01000054,21.6147
E01000055,12.6733
E01000056,17.6757
E01000057,12.7365
E01000058,30.8246
E01000059,6.3052
E01000060,27.4254
E01000061,17.2679
E01000062,38.5757
E01000063,19.0294
E01000064,35.7143
E01000065,10.2922
E01000066,56.8789
E01000067,47.3154
E01000068,3.6413
E01000069,40.762
E01000070,39.974
E01000071,71.3178
E01000072,42.0805
E01000073,19.8534
E01000074,4.5424
E01000075,12.6297
E01000076,26.0192
E01000077,-2.3447
E01000078,16.2761
E01000079,13.0604
E01000080,14.0884
E01000081,15.0558
E01000082,39.6728
E01000083,26.573
E01000084,5.2321
E01000085,24.9201
E01000086,6.2225
E01000087,16.7398
E01000088,34.5374
E01000089,14.1018
E01000090,18.3591
E01000091,37.7258
E01000093,27.0879
E01000094,64.1138
E01000095,30.083
E01000096,14.8692
E01000097,20.1191
E01000098,26.078
E01000099,59.974
E01000100,24.6377
E01000101,11.174
E01000102,0.4727
E01000103,4.2857
E01000104,7.3903
E01000105,30.3167
E01000106,27.7904
E01000107,17.7926
E01000108,24.684
E01000110,10.2582
E01000111,17.0592
E01000112,38.7607
E01000113,15.1216
E01000114,27.4322
E01000115,-2.2981
E01000116,10.0369
E01000117,19.1282
E01000118,31.4621
E01000119,19.2982
E01000120,4.1982
E01000121,15.6034
E01000122,8.6269
E01000123,11.6816
E01000124,25.4791
E01000126,44.5632
E01000127,4.5853
E01000128,14.8395
E01000129,17.495
E01000130,14.557
E01000131,20.5128
E01000132,5.9386
E01000133,4.7737
E01000134,14.1408
E01000135,15.3687
E01000136,9.1409
E01000137,8.0026
E01000138,8.6833
E01000139,11.3424
E01000140,40.2211
E01000141,47.7273
E01000142,63.2111
E01000143,4.9929
E01000144,23.9322
E01000145,10.6183
E01000146,29.5137
E01000147,26.288
E01000150,52.8981
E01000151,12.8519
E01000152,0
E01000153,20.2033
E01000154,-5.6382
E01000156,42.2869
E01000157,15.0607
E01000158,6.4315
E01000159,19.1683
E01000160,42.3995
E01000161,62.4838
E01000162,13.3242
E01000163,19.7115
E01000164,19.6104
E01000165,27.6467
E01000166,6.4748
E01000167,-7.3022
E01000168,0.2566
E01000169,8.1026
E01000170,10.0189
E01000171,45.0621
E01000172,8.0557
E01000173,8.5424
E01000174,18.3187
E01000175,2.2251
E01000176,6.0742
E01000177,22.0609
E01000178,18.9276
E01000179,20.7219
E01000180,16.4675
E01000181,18.6452
E01000182,26.6272
E01000183,13.9049
E01000184,22.9544
E01000185,9.7544
E01000186,14.2667
E01000187,6.9825
E01000188,5.3325
E01000189,20.9916
E01000190,10.7811
E01000191,12.1234
E01000192,39.6264
E01000193,44.5143
E01000194,37.234
E01000195,29.5017
E01000196,41.457
E01000197,23.9158
E01000198,27.6951
E01000199,7.8652
E01000200,24.7837
E01000201,9.354
E01000202,9.2581
E01000203,22.7273
E01000204,15.9136
E01000205,10.0134
E01000206,-4.7771
E01000207,2.0065
E01000208,11.2307
E01000209,-0.5309
E01000210,13.7589
E01000211,42.8208
E01000212,7.8431
E01000213,0.576
E01000214,15.0649
E01000215,34.2195
E01000216,23.3834
E01000217,25.2016
E01000218,34.1017
E01000219,39.7401
E01000220,44.5578
E01000221,0.0751
E01000222,31.0487
E01000223,9.8926
E01000224,12.5265
E01000225,22.7552
E01000226,13.3989
E01000227,7.1899
E01000228,13.9636
E01000229,13.5723
E01000230,13.6912
E01000231,22.8589
E01000232,26.402
E01000233,19.2794
E01000234,14.9491
E01000235,30.1511
E01000236,19.777
E01000237,35.3052
E01000238,28.2927
E01000239,36.2978
E01000240,16.7772
E01000241,16.6021
E01000242,10.0195
E01000243,22.3282
E01000244,15.9919
E01000245,39.1034
E01000246,1.932
E01000247,7.2127
E01000248,17.4834
E01000249,-1.7659
E01000250,69.6296
E01000251,38.7011
E01000252,15.298
E01000253,2.0446
E01000254,12.8276
E01000255,-8.7075
E01000256,20.3026
E01000257,23.1932
E01000258,16.9975
E01000259,70.152
E01000260,48.3231
E01000261,14.4295
E01000263,5.1351
E01000264,20.2756
E01000265,23.4583
E01000266,0.1313
E01000267,6.3333
E01000268,52.177
E01000269,4.6749
E01000270,10.5805
E01000271,4.4474
E01000272,-0.1436
E01000273,11.8737
E01000274,23.6274
E01000275,11.5016
E01000276,9.2133
E01000277,28.699
E01000278,16.8498
E01000279,0.3406
E01000280,-6.5826
E01000281,-24.1194
E01000282,15.9047
E01000283,6.383
E01000284,17.357
E01000285,-9.0132
E01000286,-0.7869
E01000287,3.1169
E01000288,6.3716
E01000289,4.5326
E01000290,4.9505
E01000291,0.4433
E01000292,10.2394
E01000293,5.5118
E01000294,16.4863
E01000295,11.1761
E01000296,24.0691
E01000297,13.8585
E01000298,31.3325
E01000299,52.0147
E01000300,12.6797
E01000301,11.9456
E01000302,39.6078
E01000303,22
E01000304,19.2445
E01000305,30.2106
E01000306,9.6606
E01000307,17.135
E01000308,14.6254
E01000309,28.3984
E01000310,33.3965
E01000311,34.323
E01000312,26.9886
E01000313,43.0546
E01000314,40.2796
E01000315,4.9043
E01000316,44.175
E01000317,20.0803
E01000318,11.4793
E01000319,10.1389
E01000320,13.8981
E01000321,19.8454
E01000322,23.6721
E01000323,48.5348
E01000324,16.4565
E01000325,-3.5864
E01000326,2.2659
E01000327,8.5809
E01000328,1.7579
E01000329,19.9095
E01000330,4.2497
E01000331,10.6658
E01000332,9.7185
E01000333,18.3312
E01000334,7.1429
E01000335,63.8312
E01000336,24.9847
E01000337,13.3974
E01000338,27.4795
E01000339,5.8
E01000340,-3.3854
E01000341,7.7663
E01000342,3.6919
E01000343,6.5276
E01000344,7.4983
E01000345,-3.7681
E01000346,8.8273
E01000347,1.2245
E01000348,7.4595
E01000349,2.5047
E01000350,2.3432
E01000351,9.5399
E01000352,15.3209
E01000353,4.5288
E01000354,-1.3405
E01000355,11.6424
E01000356,6.2418
E01000357,2.376
E01000358,4.9906
E01000359,-1.9939
E01000360,19.5154
E01000361,9.8563
E01000362,7.3976
E01000363,10.5644
E01000364,12.9032
E01000365,16.9424
E01000366,11.4323
E01000367,40.3248
E01000368,4.2412
E01000369,7.7559
E01000370,5.7015
E01000371,5.4698
E01000372,3.7959
E01000373,-41.7441
E01000374,12.2392
E01000375,39.4395
E01000376,9.492
E01000377,1.5131
E01000379,14.1176
E01000380,19.8061
E01000381,20.7574
E01000382,5.681
E01000383,-1.4379
E01000384,6.0241
E01000385,45.5187
E01000386,9.3571
E01000387,8.597
E01000388,7.3971
E01000389,19.0736
E01000390,-1.3138
E01000391,2.1084
E01000392,38.8889
E01000393,7.7118
E01000394,11.9031
E01000395,2.9965
E01000396,2.5111
E01000398,8.2291
E01000399,13.2505
E01000400,5.4164
E01000401,21.1864
E01000402,18.0424
