MSOA21CD,TotPopChange_2001_17
E02000001,4.0087
E02000002,22.6451
E02000003,19.3208
E02000004,7.2499
E02000005,26.5463
E02000007,29.7435
E02000008,17.3782
E02000009,30.0602
E02000010,17.2888
E02000011,20.6128
E02000012,51.4543
E02000013,15.3926
E02000014,12.4552
E02000015,17.9223
E02000016,68.4915
E02000017,19.5437
E02000018,29.937
E02000019,22.563
E02000020,71.0881
E02000021,20.0053
E02000022,35.3974
E02000023,35.2668
E02000024,19.3869
E02000025,11.1853
E02000026,5.7235
E02000027,3.7186
E02000028,18.3626
E02000029,16.6456
E02000030,2.1874
E02000031,2.3625
E02000032,8.0829
E02000033,20.8457
E02000034,17.156
E02000035,17.03
E02000036,20.7839
E02000037,11.7228
E02000038,26.8916
E02000039,15.8175
E02000040,25.028
E02000041,27.0253
E02000042,30.2693
E02000043,15.8378
E02000044,13.8954
E02000045,21.2292
E02000046,22.5885
E02000047,30.8163
E02000048,34.3387
E02000049,14.2396
E02000050,19.8777
E02000051,21.5048
E02000052,19.119
E02000054,24.4719
E02000055,27.304
E02000056,5.8937
E02000057,28.5941
E02000058,18.5795
E02000059,29.2494
E02000060,30.9183
E02000061,18.6473
E02000062,19.7906
E02000063,29.9027
E02000064,16.1447
E02000065,42.2187
E02000066,6.9918
E02000067,29.4378
E02000068,43.3238
E02000069,15.4937
E02000070,5.0696
E02000071,5.2971
E02000072,18.947
E02000073,4.9679
E02000074,15.2884
E02000075,5.2167
E02000077,8.7395
E02000078,3.4613
E02000079,13.4592
E02000080,11.9644
E02000081,8.7832
E02000082,3.506
E02000083,29.1662
E02000084,8.0451
E02000085,5.8824
E02000086,0.7115
E02000087,12.2142
E02000088,5.8114
E02000089,6.391
E02000090,18.6305
E02000091,8.3525
E02000092,18.1881
E02000093,27.6528
E02000094,29.7653
E02000095,16.5872
E02000096,12.8945
E02000097,16.4412
E02000098,24.5765
E02000099,51.5018
E02000100,21.5845
E02000101,27.6778
E02000102,10.1999
E02000103,19.8563
E02000104,23.5025
E02000105,43.0104
E02000106,16.7735
E02000107,13.9296
E02000108,17.6249
E02000110,11.7777
E02000111,37.8988
E02000112,27.6523
E02000113,10.0248
E02000114,20.5317
E02000115,13.9907
E02000116,34.2857
E02000117,18.3426
E02000118,30.153
E02000119,18.0539
E02000120,8.4474
E02000121,33.8085
E02000122,-5.4839
E02000123,33.4962
E02000124,10.7519
E02000125,12.1393
E02000126,16.5128
E02000127,9.574
E02000128,6.4132
E02000130,10.7492
E02000131,26.577
E02000132,27.0855
E02000133,16.3483
E02000134,19.2893
E02000135,14.6768
E02000136,2.1998
E02000137,13.5593
E02000138,11.8357
E02000139,6.9212
E02000140,13.3605
E02000141,-0.8108
