LSOA21CD,GreenspaceTotal,GreenspacePublic,TreeCover
E01000001,2.4957,1.9617,9.0814
E01000002,0.1541,0,5.5492
E01000003,9.373,0,9.9279
E01000005,1.1166,0.8154,4.4963
E01000006,0,0,8.9966
E01000007,0,0,6.595
E01000008,0.4358,0,11.8741
E01000009,0.0296,0.0296,7.4728
E01000011,11.6272,11.6272,8.9006
E01000012,1.6957,0,9.8065
E01000013,0.9381,0,7.8131
E01000014,53.0643,53.0255,4.97
E01000015,18.8055,0,8.8355
E01000016,0,0,6.7138
E01000017,0.6263,0,7.177
E01000018,0,0,7.4363
E01000019,1.9153,0.812,8.4637
E01000020,0,0,10.2224
E01000021,0,0,11.0006
E01000022,0,0,7.0291
E01000024,0.2743,0,5.9981
E01000025,1.5051,0,7.1582
E01000027,7.4397,0,8.7361
E01000028,0,0,7.4688
E01000029,0.2557,0.2557,8.0485
E01000030,5.3412,0,10.4153
E01000031,21.1607,0,7.8976
E01000032,37.3318,36.1122,13.8763
E01000033,0.2665,0.2665,9.7636
E01000034,38.8222,36.9262,12.368
E01000035,11.4838,0,3.5956
E01000036,0.836,0.072,5.2616
E01000037,4.1667,4.1667,6.5524
E01000038,0,0,4.7367
E01000039,83.3003,67.1082,17.6558
E01000040,0,0,8.2633
E01000041,0.003,0,5.7271
E01000042,19.4317,0,13.5711
E01000043,6.0134,0,8.4203
E01000044,0.0756,0,8.0462
E01000045,22.2613,0,11.713
E01000046,0.6555,0,8.0516
E01000049,21.0696,20.4423,13.3578
E01000050,1.1858,0,9.1613
E01000051,0.7035,0,11.2321
E01000052,7.1442,7.1442,9.3189
E01000053,4.8967,2.9532,8.6295
E01000054,5.5853,4.1268,6.1197
E01000055,0,0,8.1014
E01000056,20.9817,20.9817,7.4468
E01000057,12.6545,0,5.3231
E01000058,4.5703,0,7.0365
E01000059,25.4674,25.0043,7.5187
E01000060,40.4178,40.3655,9.0342
E01000061,54.9959,45.3997,9.0446
E01000062,1.5798,0,6.365
E01000063,0,0,6.9119
E01000064,0,0,7.0413
E01000065,0,0,10.7245
E01000066,2.7979,0.005,8.1451
E01000067,0,0,12.7813
E01000068,44.2161,44.2161,19.1962
E01000069,0,0,8.4894
E01000070,34.0046,28.4287,14.0368
E01000071,0.4281,0.0352,10.6091
E01000072,63.3378,57.2193,11.6239
E01000073,41.9441,0,10.7543
E01000074,0,0,7.6448
E01000075,49.2826,49.2826,14.4926
E01000076,0,0,8.8701
E01000077,3.3634,0,8.2879
E01000078,0,0,7.6785
E01000079,36.5834,35.9424,7.1707
E01000080,22.2034,21.6441,5.1714
E01000081,0,0,5.8718
E01000082,0,0,10.6728
E01000083,7.5327,0,10.38
E01000084,8.5421,4.9899,8.6483
E01000085,8.3608,0,5.1954
E01000086,10.9572,10.9572,6.9893
E01000087,2.4129,0,5.6522
E01000088,12.4268,11.4699,6.566
E01000089,7.0332,5.9422,6.2251
E01000090,0.6074,0.6074,4.068
E01000091,0.3275,0,8.4642
E01000093,0.6705,0,6.9644
E01000094,0.039,0,7.8148
E01000095,3.1278,0,3.4661
E01000096,20.0805,18.5723,5.2855
