MSOA21CD,GreenspaceTotal,GreenspacePublic,TreeCover,OutdoorAddresses
E02000001,1.3061,0.3168,6.6033,7.1883
E02000002,5.8202,0.0299,8.8271,77.3356
E02000003,17.4974,6.3894,8.9835,85.974
E02000004,59.4531,49.1421,10.4225,92.5105
E02000005,5.3164,3.1991,7.6424,94.918
E02000007,32.2636,28.69,8.1135,78.7258
E02000008,8.8554,7.8122,8.7755,95.821
E02000009,1.8124,0,7.9465,86.8961
E02000010,14.9096,9.9424,7.5568,92.2089
E02000011,12.9495,8.9821,9.8052,92.0808
E02000012,10.9736,8.6655,10.7259,86.0183
E02000013,30.1195,19.5661,9.6744,96.1006
E02000014,23.1213,21.3996,6.8232,95.8942
E02000015,40.1509,37.8063,7.9814,69.9939
E02000016,7.8188,4.5354,9.0085,40.1245
E02000017,18.3963,18.3813,10.4752,85.4027
E02000018,32.5184,21.8888,10.1531,93.242
E02000019,4.6597,1.9461,6.2875,94.4623
E02000020,0.9763,0.4183,8.8395,91.4472
E02000021,2.3703,1.8025,6.2203,92.929
E02000022,6.7547,5.8481,10.0196,42.8485
E02000023,7.086,6.3939,7.2695,82.7495
E02000024,20.6475,4.4764,21.4399,87.2787
E02000025,8.5739,1.6165,29.0151,84.648
E02000026,7.2527,2.9239,24.9698,88.5958
E02000027,12.6943,0.6073,13.5555,89.7514
E02000028,2.3995,1.5508,20.4319,76.3499
E02000029,22.031,16.9939,18.6308,79.314
E02000030,16.3667,2.0918,27.2801,91.1105
E02000031,13.1315,6.8499,23.4584,74.821
E02000032,5.5326,5.2272,17.5357,96.2654
E02000033,10.9571,6.5673,19.2947,90.2721
E02000034,20.8073,0.0155,20.4346,78.5791
E02000035,7.7601,3.2626,23.0066,71.936
E02000036,3.4634,1.6935,15.6124,86.122
E02000037,5.5733,3.875,12.1423,84.8691
E02000038,17.0271,12.3829,17.5316,85.8518
E02000039,14.8614,6.7,21.7869,83.8251
E02000040,13.7151,2.4978,27.8325,82.1321
E02000041,3.5246,1.5412,13.6186,80.8708
E02000042,2.806,0,15.5457,69.2823
E02000043,4.0429,2.4429,23.5976,96.6255
E02000044,10.5756,7.9093,11.8817,92.018
