OA21CD,GreenspaceTotal,GreenspacePublic
E00000001,0,0
E00000003,0,0
E00000005,0,0
E00000007,4.3417,3.4127
E00000010,21.1201,0
E00000013,0,0
E00000018,0,0
E00000019,0,0
E00000020,0,0
E00000021,0.2528,0
E00000022,23.4994,0
E00000023,1.4871,0
E00000024,1.2009,0.7936
E00000025,0,0
E00000028,0,0
E00000029,1.3265,1.0222
E00000030,0.2313,0
E00000031,0.8987,0
E00000032,0.409,0
E00000037,0,0
E00000038,5.7635,5.7635
E00000039,0,0
E00000040,0,0
E00000041,0.111,0.111
E00000042,0,0
E00000043,5.2555,0
E00000045,0,0
E00000046,0,0
E00000048,0,0
E00000049,0,0
E00000050,0,0
E00000051,0,0
E00000052,0,0
E00000053,0,0
E00000054,0,0
E00000055,0,0
E00000056,0,0
E00000057,0,0
E00000059,0,0
E00000060,0,0
E00000061,0,0
E00000063,0,0
E00000064,33.4554,33.4554
E00000066,0,0
E00000067,0,0
E00000068,0,0
E00000069,0,0
E00000070,0,0
E00000071,0,0
E00000072,0,0
E00000073,0,0
E00000074,0,0
E00000075,0.0163,0
E00000076,0,0
E00000077,0,0
E00000078,3.3789,0
E00000079,0,0
E00000080,44.2076,0
E00000081,0,0
E00000082,0,0
E00000083,0,0
E00000084,0,0
E00000085,0,0
E00000086,0,0
E00000087,0,0
E00000088,0,0
E00000089,0,0
E00000090,0,0
E00000091,0,0
E00000092,80.2701,80.2113
E00000093,0,0
E00000094,4.8656,0
E00000095,0,0
E00000096,0,0
E00000097,0,0
E00000098,0.4155,0.4155
E00000099,0,0
E00000100,0,0
E00000101,0,0
E00000102,0,0
E00000103,0,0
E00000104,0.1914,0.1914
E00000106,0.3959,0.3959
E00000107,0,0
E00000108,5.177,0
E00000109,3.5365,3.5365
E00000110,0,0
E00000111,0,0
E00000112,0,0
E00000113,0,0
E00000114,0,0
E00000115,0,0
E00000116,0,0
E00000117,0,0
E00000118,0,0
E00000119,0,0
E00000120,0,0
E00000121,0,0
E00000122,0,0
E00000123,0,0
E00000124,0,0
E00000125,0,0
E00000128,0,0
E00000129,4.9278,0
E00000130,1.1958,0
E00000131,0,0
E00000132,2.4815,0
E00000133,0,0
E00000134,0,0
E00000135,0,0
E00000136,0,0
E00000137,0,0
E00000138,0,0
E00000139,0,0
E00000140,0,0
E00000141,0,0
E00000142,0,0
E00000143,0,0
E00000144,0,0
E00000145,0,0
E00000146,0,0
E00000147,0,0
E00000148,3.4158,3.4158
E00000149,3.5415,0
E00000150,52.1054,52.1054
E00000151,25.3279,0
E00000152,0,0
E00000153,40.0188,40.0188
E00000154,49.3708,44.8808
E00000155,0,0
E00000156,5.6388,0
E00000157,0,0
E00000158,2.082,0
E00000159,1.2527,0
E00000160,45.111,0
E00000161,0,0
E00000162,0,0
E00000163,27.4752,0
E00000164,0,0
E00000165,0,0
E00000166,0,0
E00000167,1.7847,0
E00000168,0.5957,0.5957
E00000169,0,0
E00000170,0,0
E00000171,17.4174,1.0704
E00000172,0,0
E00000173,19.4462,0
E00000174,0.3954,0
E00000175,4.0568,0
E00000176,1.9356,0
E00000177,0,0
E00000178,0,0
E00000179,0,0
E00000180,1.0957,0.1005
E00000181,15.4489,15.4489
E00000182,0,0
E00000183,0,0
E00000184,0,0
E00000185,0,0
E00000186,0,0
E00000187,3.0797,3.0797
E00000188,0,0
E00000189,0,0
E00000190,0,0
E00000191,0,0
