MSOA21CD,AE_Under5,AllCancer,BreastCancer,ColorectalCancer,LungCancer,ProstateCancer
E02000001,469.5,79.1,95,75.1,54,87.7
E02000002,678.7,101.6,83,127,147,75.2
E02000003,660.4,102.4,84.4,100.5,117.3,128.2
E02000004,639.1,104,88.6,120.1,131,145.1
E02000005,636,105.2,80.6,100.7,162.1,110
E02000007,669.1,104,91.2,79.3,166.3,127.9
E02000008,700.3,108,78.6,134.4,155.6,74.9
E02000009,695.4,107.7,120.5,75.1,95.1,105
E02000010,682.6,100.1,85,77,153.3,138.5
E02000011,606.7,103.8,84.8,86,113.6,130.4
E02000012,738.8,93.6,90,128.7,134.7,102.7
E02000013,655.9,133.2,93.4,146.2,203.8,146
E02000014,631.5,106.9,87.2,61.7,181.1,132.9
E02000015,652.2,102.6,96.5,89,122.2,79.3
E02000016,739.5,87.6,93.1,118.7,71.4,155.1
E02000017,854.1,86.9,85,67.6,77.4,107.9
E02000018,773.4,88.3,92.9,89.5,102.3,92.8
E02000019,728,102.9,85.9,74.6,154.2,74.4
E02000020,748.4,98.8,87.6,88.6,119.5,126
E02000021,666.4,95.7,140.6,91.3,104.3,132.2
E02000022,654.8,110.6,100.4,99.5,163.3,166.1
E02000023,682,105.6,82.6,152.9,155.9,136
E02000024,726.4,95.8,125.9,66.2,74,116.7
E02000025,657,91.7,92.3,84.2,89.7,62.2
E02000026,616.3,87.6,96.8,90.9,65.7,85.8
E02000027,729.2,97.8,90.8,73.5,96.9,81.7
E02000028,705.5,90.9,116.5,96.7,85.4,102.9
E02000029,790.7,92.7,125.4,63.7,76.7,111.9
E02000030,725.2,80.9,61.6,78.1,58.2,82.5
E02000031,694.7,86.8,96.5,112.2,79.8,72.4
E02000032,686.7,90.9,86.9,58.6,78.4,127.4
E02000033,809.2,92.7,90.7,128.3,86.6,85.1
E02000034,795.8,85.3,100.1,91.9,49.8,102.1
E02000035,835.2,84.1,116.2,90.3,84.4,68.8
E02000036,699.3,84.3,104.7,67.1,75.2,72.3
E02000037,750.6,90.4,108.7,85.3,68.7,66.5
E02000038,827.6,81.9,73.3,89,98.3,81.6
E02000039,616.7,90.3,90,72.3,52.5,83.5
E02000040,584.4,101.4,139.4,71.8,97.8,86.8
E02000041,871,87.8,101.1,96.5,65.2,67.6
E02000042,850,95.6,81.3,81.6,71.3,113.9
E02000043,525,90.9,87.9,93.4,70.5,110.9
E02000044,928.3,107.9,97.4,69.2,109.6,133.5
E02000045,856.3,79.6,85,49.9,91.2,82.3
E02000046,826.4,86.6,98.5,74.6,71.4,113
E02000047,1022.9,91.2,93.6,83,75.2,96.1
E02000048,688.8,90.6,113.2,83.7,61.3,73
E02000049,934.1,97.2,87.8,101.3,105.3,120
E02000050,863.6,95.9,104.5,93.1,86.9,99.7
E02000051,663.3,92.4,129.2,64,124.6,65.9
E02000052,763.8,94,59.7,55,131.5,113
E02000054,834.5,93.8,131.2,70.3,72.3,50.2
E02000055,715.5,92.8,121.3,61.8,97.9,58.9
E02000056,547.9,76.2,95.8,56.4,46.3,102.3
E02000057,517,79.6,109.9,46.8,,79.9
E02000058,633.6,89.3,98.2,60.2,55.6,63.5
E02000059,836.5,88.3,89.1,77.2,93,77.2
E02000060,515.8,81.2,105.6,94.1,63.3,53.7
E02000061,520.2,75.4,72.1,92.5,55.7,79.3
E02000062,819.9,86.8,95.3,102.7,98.6,73.2
E02000063,726.8,105.4,132.1,105.1,139.7,68.8
E02000064,694,86.6,81.1,91,91.3,80.2
E02000065,566.6,98.6,83,102.8,128.9,178
E02000066,648.3,98.1,87.1,70.5,98.1,143.8
E02000067,580.2,107.2,101.4,97,124.7,156.3
E02000068,591.5,101.5,48.6,66.7,148.8,135.1
E02000069,555.6,97.2,90.3,103.1,112.7,107.2
E02000070,612.5,102.3,116.1,109.6,90.4,119.4
E02000071,554.5,117.3,130.7,93.4,119.1,151.2
E02000072,611.1,110.3,78.5,85.7,168.8,134.7
E02000073,524.7,91.2,96.9,62.7,77.1,124.3
E02000074,603.2,109.5,113.8,106.6,169.8,118.2
E02000075,471.7,103.2,106.2,100.3,110.3,152.2
E02000077,617.9,95.4,86.2,104.1,92.4,81.4
E02000078,509,105.1,120.8,106.8,104.4,121.8
E02000079,530.2,93.8,97.4,112.9,111.3,81.3
E02000080,549.1,106.3,90.6,127.6,97,130.4
E02000081,630.4,101,75.3,112.4,122.7,129.3
E02000082,530.6,94.3,96.1,86.8,102.8,134.9
E02000083,678.8,117,130.5,118.6,91,116.5
E02000084,491.6,99.2,72.1,111.4,79.8,128.8
E02000085,512.6,114.5,135.1,98.1,124.1,174.7
E02000086,500.9,103.2,120.6,57.8,68.1,153.7
E02000087,499.6,94,81.3,98.7,101.9,91.2
E02000088,546.4,96.1,67.7,62,86.4,168.8
E02000089,516.9,101.8,119.4,84.3,97.2,134.8
