LSOA21CD,MortgageDebt
E01000001,135023
E01000002,101664
E01000003,59975
E01000005,81457
E01000006,76532
E01000007,22468
E01000008,40139
E01000009,54328
E01000011,40658
E01000012,38370
E01000013,55771
E01000014,52304
E01000015,52481
E01000016,51888
E01000017,52918
E01000018,49855
E01000019,59734
E01000020,55932
E01000021,59597
E01000022,58948
E01000024,59086
E01000025,53797
E01000027,62603
E01000028,63253
E01000029,66933
E01000030,54029
E01000031,69606
E01000032,60719
E01000033,45738
E01000034,56341
E01000035,47302
E01000036,51835
E01000037,80306
E01000038,80906
E01000039,82219
E01000040,74454
E01000041,48918
E01000042,77988
E01000043,75338
E01000044,40573
E01000045,52283
E01000046,47978
E01000049,48841
E01000050,41712
E01000051,67711
E01000052,39059
E01000053,44705
E01000054,45543
E01000055,48221
E01000056,46231
E01000057,48928
E01000058,44186
E01000059,45585
E01000060,45432
E01000061,42383
E01000062,46825
E01000063,50610
E01000064,44004
E01000065,46917
E01000066,74269
E01000067,77508
E01000068,70100
E01000069,74141
E01000070,69518
E01000071,74758
E01000072,57149
E01000073,56231
E01000074,59003
E01000075,47820
E01000076,43948
E01000077,56525
E01000078,53163
E01000079,51158
E01000080,50725
E01000081,51485
E01000082,47908
E01000083,49301
E01000084,48647
E01000085,50931
E01000086,47323
E01000087,43598
E01000088,48493
E01000089,47986
E01000090,47350
E01000091,70137
E01000093,71752
E01000094,44832
E01000095,49244
E01000096,81092
E01000097,65327
E01000098,54723
E01000099,44100
E01000100,48240
E01000101,50329
E01000102,49458
E01000103,51529
E01000104,52539
E01000105,48151
E01000106,51476
E01000107,52386
E01000108,49841
E01000110,67635
E01000111,64385
E01000112,70410
E01000113,69043
E01000114,65132
E01000115,95106
E01000116,93658
E01000117,105956
E01000118,88930
E01000119,94060
E01000120,94939
E01000121,67937
E01000122,103919
E01000123,64422
E01000124,58277
E01000126,65229
E01000127,47394
E01000128,49828
E01000129,53656
E01000130,49523
E01000131,61538
E01000132,53419
E01000133,49620
E01000134,58317
E01000135,96430
E01000136,137068
E01000137,98237
E01000138,67863
E01000139,99544
E01000140,83867
E01000141,74230
E01000142,68500
E01000143,73658
E01000144,87986
E01000145,87616
E01000146,90725
E01000147,55951
E01000150,55008
E01000151,64437
E01000152,38840
E01000153,66685
E01000154,41560
E01000156,104963
E01000157,115231
E01000158,79179
E01000159,86014
E01000160,89965
E01000161,66579
E01000162,71440
E01000163,95613
E01000164,94433
E01000165,75559
E01000166,85073
E01000167,86267
E01000168,88990
E01000169,83200
E01000170,83511
E01000171,76962
E01000172,87274
E01000173,93340
E01000174,91926
E01000175,89182
E01000176,96115
E01000177,83396
E01000178,107739
E01000179,94762
E01000180,119981
E01000181,95746
E01000182,105387
E01000183,140739
E01000184,70441
E01000185,60250
E01000186,87072
E01000187,90867
E01000188,92411
E01000189,66952
E01000190,81176
E01000191,87428
E01000192,81575
E01000193,55042
E01000194,65681
E01000195,90582
E01000196,84472
E01000197,77349
E01000198,91012
E01000199,107766
E01000200,106732
E01000201,111263
E01000202,116178
E01000203,98047
E01000204,104451
E01000205,163393
E01000206,156609
E01000207,144119
E01000208,144241
E01000209,141461
E01000210,151473
E01000211,120596
E01000212,110573
E01000213,154198
E01000214,109985
E01000215,83414
E01000216,110224
E01000217,110377
E01000218,80056
E01000219,68074
E01000220,66946
E01000221,60051
E01000222,45814
E01000223,41833
E01000224,61115
E01000225,99707
E01000226,77844
E01000227,75883
E01000228,167656
E01000229,90505
E01000230,84715
E01000231,115507
E01000232,84003
E01000233,96630
E01000234,110728
E01000235,77369
E01000236,90145
E01000237,84554
E01000238,91088
E01000239,62594
E01000240,76932
E01000241,85223
E01000242,103783
E01000243,85851
E01000244,68039
E01000245,80930
E01000246,82808
E01000247,80677
E01000248,100584
E01000249,102734
E01000250,72374
E01000251,76372
E01000252,76433
E01000253,101784
E01000254,109296
E01000255,105542
E01000256,114485
E01000257,124661
E01000258,125240
E01000259,153351
E01000260,105490
E01000261,184962
E01000263,182800
E01000264,130656
E01000265,110708
E01000266,110404
E01000267,86841
E01000268,75497
E01000269,92964
E01000270,93625
E01000271,114437
E01000272,119012
E01000273,110140
E01000274,109536
E01000275,113658
E01000276,126601
E01000277,80301
E01000278,124312
E01000279,201905
E01000280,187307
E01000281,71446
E01000282,125937
E01000283,170573
E01000284,94647
E01000285,76648
E01000286,108264
E01000287,79163
E01000288,77797
E01000289,89195
E01000290,112565
E01000291,73985
E01000292,79837
E01000293,72604
E01000294,76814
E01000295,86820
E01000296,92362
E01000297,85159
E01000298,89164
E01000299,64516
E01000300,86051
E01000301,100934
E01000302,80532
E01000303,97228
E01000304,99873
E01000305,77270
E01000306,60584
E01000307,64938
E01000308,48515
E01000309,63309
E01000310,57238
E01000311,88613
E01000312,74689
E01000313,65122
E01000314,57868
E01000315,63762
E01000316,66523
E01000317,72963
E01000318,65316
E01000319,86244
E01000320,59156
E01000321,66899
E01000322,75041
E01000323,62310
E01000324,75556
E01000325,74547
E01000326,74431
E01000327,72386
E01000328,70450
E01000329,58920
E01000330,75912
E01000331,79672
E01000332,63866
E01000333,54386
E01000334,54622
E01000335,41396
E01000336,54832
E01000337,54667
E01000338,53038
E01000339,81623
E01000340,84325
E01000341,83125
E01000342,85760
E01000343,83392
E01000344,86011
E01000345,84702
E01000346,83945
E01000347,84085
E01000348,90729
E01000349,88056
E01000350,83759
E01000351,87897
E01000352,89192
E01000353,69042
E01000354,74366
E01000355,68475
E01000356,75884
E01000357,75329
E01000358,75353
E01000359,69535
E01000360,67086
E01000361,78867
E01000362,55804
E01000363,79714
E01000364,78253
E01000365,74896
E01000366,68759
E01000367,37838
E01000368,65359
E01000369,56081
E01000370,69699
E01000371,76513
E01000372,49560
E01000373,73372
E01000374,62909
E01000375,47436
E01000376,60515
E01000377,60745
E01000379,75575
E01000380,50895
E01000381,72564
E01000382,71411
E01000383,52402
E01000384,55544
E01000385,50312
E01000386,52168
E01000387,71571
E01000388,85005
E01000389,79255
E01000390,84086
E01000391,82957
E01000392,72940
E01000393,80569
E01000394,71677
E01000395,68465
E01000396,82295
E01000398,59056
E01000399,61966
E01000400,60265
E01000401,55238
E01000402,63853
E01000403,50685
E01000404,57296
E01000405,53466
E01000406,45385
E01000407,42653
E01000408,63931
E01000409,82129
E01000410,82775
E01000411,82302
E01000412,78522
E01000413,85681
E01000414,65215
E01000415,81641
E01000416,32667
E01000417,55418
E01000418,50175
E01000419,66430
E01000420,59917
E01000421,68892
E01000422,41143
E01000423,75419
E01000424,81832
E01000425,77645
E01000426,66560
E01000427,52314
E01000428,53522
E01000429,58698
E01000430,48301
E01000431,89506
E01000433,55598
E01000434,61583
E01000435,55886
E01000436,67636
E01000437,56728
E01000438,55802
E01000439,49771
E01000440,61092
E01000441,54032
E01000442,67531
E01000443,87747
E01000444,87869
E01000445,93174
E01000446,92524
E01000447,70228
E01000448,89720
E01000449,90026
E01000450,76473
E01000451,77637
E01000452,79168
E01000453,79879
E01000454,76559
E01000455,75780
E01000456,79649
E01000457,60202
E01000458,67897
E01000459,60574
E01000460,86248
E01000461,78425
E01000462,67365
E01000463,83943
E01000464,14446
E01000465,14414
E01000466,18223
E01000467,42897
E01000468,42122
E01000469,42552
E01000470,44956
E01000471,70713
E01000472,40777
E01000473,48994
E01000474,48734
E01000475,71072
E01000476,49766
E01000477,68524
E01000478,44355
E01000479,64327
E01000480,65688
E01000481,62333
E01000483,60508
E01000484,43336
E01000485,56125
E01000486,64568
E01000487,67290
E01000488,56979
E01000489,53186
E01000490,84554
E01000491,88123
E01000492,102802
E01000493,103146
E01000494,71492
E01000495,92232
E01000497,57314
E01000498,50109
E01000499,48311
E01000501,59680
E01000502,40627
E01000503,63980
E01000504,78281
E01000505,59191
E01000506,55030
E01000507,60323
E01000508,32274
E01000509,52819
E01000510,53710
E01000511,59938
E01000512,58444
E01000513,85908
E01000514,89724
E01000515,75034
E01000516,55954
E01000517,70734
E01000518,60397
E01000519,65689
E01000520,85099
E01000521,28959
E01000522,56601
E01000523,46861
E01000524,34360
E01000525,36087
E01000526,33249
E01000527,37377
E01000528,25443
E01000530,100608
E01000531,97889
E01000532,105200
E01000533,65087
E01000534,93692
E01000535,76428
E01000536,83293
E01000538,79662
E01000539,79264
E01000540,78341
E01000541,80397
E01000543,69905
E01000544,45929
E01000545,87750
E01000546,93714
E01000547,104610
E01000548,121247
E01000549,112994
E01000550,68881
E01000551,37213
E01000552,62019
E01000553,63706
E01000554,62143
E01000555,71133
E01000556,60394
E01000557,60987
E01000558,73283
E01000559,78633
E01000560,86322
E01000561,71111
E01000562,81027
E01000563,79784
E01000564,68352
E01000565,71299
E01000566,79411
E01000567,65040
E01000568,75404
E01000569,77717
E01000570,54758
E01000571,54025
E01000572,75379
E01000573,75999
E01000574,71491
E01000575,69439
E01000576,69829
E01000577,54308
E01000578,62901
E01000579,101654
E01000580,115668
E01000581,106804
E01000582,138076
E01000583,130966
E01000584,108557
E01000585,114903
E01000586,85760
E01000587,86340
E01000589,51123
E01000590,75083
E01000591,70064
E01000592,59052
E01000593,71441
E01000594,68763
E01000595,24982
E01000596,27893
E01000599,19647
E01000601,25611
E01000602,25418
E01000603,29189
E01000604,26463
E01000605,24993
E01000606,60598
E01000607,75268
E01000608,63955
E01000609,62926
E01000610,60447
E01000611,46235
E01000612,51399
E01000613,74070
E01000615,51004
E01000616,72198
E01000617,43868
E01000618,56279
E01000619,53424
E01000620,50094
E01000621,53273
E01000622,32874
E01000623,62038
E01000624,76362
E01000625,63894
E01000626,24646
E01000627,27097
E01000628,49141
E01000629,67002
E01000630,43171
E01000631,46812
E01000632,48561
E01000633,47036
E01000634,56079
E01000636,38557
E01000637,58823
E01000638,48000
E01000639,53602
E01000640,46225
E01000641,56008
E01000642,52272
E01000643,74996
E01000644,45170
E01000645,145100
E01000646,102502
E01000647,117323
E01000648,116939
E01000649,127758
E01000650,132597
E01000651,131169
E01000652,110075
E01000653,135102
E01000654,74323
E01000655,73393
E01000656,67188
E01000657,68188
E01000658,71878
E01000659,72179
E01000661,59864
E01000662,86546
E01000663,82774
E01000664,85768
E01000665,84823
E01000666,132828
E01000667,115965
E01000668,81518
E01000669,111282
E01000670,105538
E01000671,92629
E01000672,74055
E01000673,82638
E01000674,73104
E01000676,70111
E01000677,82069
E01000678,99579
E01000679,116172
E01000680,88169
E01000681,91876
E01000682,91912
E01000683,91947
E01000684,97642
E01000685,95783
E01000686,101490
E01000687,103025
E01000688,102025
E01000689,115749
E01000690,113394
E01000691,111933
E01000692,124635
E01000693,111262
E01000694,116439
E01000695,157430
E01000696,147613
E01000697,168693
E01000698,113072
E01000699,72121
E01000700,94101
E01000701,94231
E01000702,84569
E01000703,93822
E01000704,79626
E01000705,70435
E01000706,93506
E01000707,95129
E01000708,86471
E01000709,94924
E01000710,63803
E01000711,84517
E01000712,81986
E01000713,81121
E01000714,83919
E01000715,87316
E01000716,95264
E01000717,91535
E01000718,88155
E01000719,50235
E01000720,49963
E01000721,42607
E01000722,55376
E01000723,52331
E01000724,52832
E01000725,59326
E01000726,51552
E01000727,76964
E01000728,48157
E01000729,55962
