MSOA21CD,DetachedHousesPrice,FlatsPrice,SemiDetachedHousesPrice,TerracedHousesPrice,DetachedHousesTransactions,FlatsTransactions,SemiDetachedHousesTransactions,TerracedHousesTransactions,DetachedHousesPercentSold,FlatsPercentSold,SemiDetachedHousesPercentSold,TerracedHousesPercentSold,MortgageDebt
E02000001,-9,995295,-9,2125068,0,119,0,2,0,2.78,0,2.56,90244
E02000002,310000,249000,407950,377000,1,6,10,11,0.78,0.55,1.28,1.36,61065
E02000003,527750,211719,455808,435143,2,16,13,35,1.14,1.6,1.21,2.49,66767
E02000004,503750,244800,442789,433211,2,10,16,19,2,3.72,1.78,1.93,75715
E02000005,-9,287375,373550,374346,0,8,4,47,0,2.17,0.49,2.25,49777
E02000007,-9,233250,426143,368958,0,4,7,24,0,0.28,0.77,2.13,44836
E02000008,1250000,217000,369750,365030,1,3,4,50,0.36,0.54,0.37,1.96,49700
E02000009,-9,271167,386455,371661,0,6,11,31,0,0.5,1.17,1.82,45561
E02000010,-9,223750,378800,381105,0,6,5,38,0,1.68,0.63,2,51692
E02000011,987500,233250,441000,418160,2,12,11,25,1.16,2.29,1.82,2.62,50272
E02000012,-9,238793,623125,519498,0,14,4,38,0,2.03,0.48,2.42,74183
E02000013,-9,219084,518667,379297,0,4,6,32,0,1.2,0.67,1.88,50922
E02000014,-9,249000,364000,377295,0,3,4,38,0,1.27,0.59,1.79,50315
E02000015,355000,219867,403333,350033,1,9,6,15,0.82,0.6,0.95,2.24,50703
E02000016,-9,199800,342000,417500,0,15,1,6,0,0.5,0.6,1.43,33447
E02000017,-9,267429,585200,418539,0,7,5,33,0,1.33,0.99,2.49,55876
E02000018,-9,229200,411875,368547,0,10,8,30,0,1.61,1.19,1.78,57095
E02000019,-9,193250,367500,379905,0,8,2,37,0,2.52,0.25,2,46692
E02000020,492000,253583,435000,395818,1,12,3,33,0.38,0.69,0.33,2,45814
E02000021,-9,213222,391500,357732,0,9,2,41,0,2.05,0.27,2.92,46481
E02000022,-9,245209,292500,335167,0,21,2,6,0,0.86,2.13,3.3,48668
E02000023,-9,239429,485000,434250,0,7,1,4,0,0.52,0.25,0.52,64520
E02000024,773333,370394,844737,646268,9,33,19,28,1.35,3.13,1.32,3.3,87444
E02000025,854750,350737,820923,505125,4,39,13,8,1.01,2.5,1.15,2.56,79709
E02000026,847857,336455,685600,544167,7,11,15,6,1.73,2.31,1.29,1.87,85957
E02000027,600250,365000,659557,520005,4,15,10,22,1.47,1.48,0.76,2.34,78671
E02000028,1393750,354725,750667,692469,4,20,18,4,1.88,1.96,1.79,1.83,85756
E02000029,653500,279361,683375,608917,4,25,12,12,1.63,2.02,1.18,1.55,86219
E02000030,1813105,686000,829559,558429,17,5,17,7,1.2,1.45,1.48,1.67,140393
E02000031,1785000,389286,1116824,738192,8,28,17,13,1.24,2.43,1.97,2.76,106451
E02000032,1222000,370000,806348,665200,1,1,23,10,0.4,0.9,1.3,1.8,96038
E02000033,831620,329808,602562,571239,2,13,16,23,2.13,1.43,1.38,1.99,77073
E02000034,1193333,355909,818143,761250,3,34,21,8,0.93,2.43,1.91,2.16,90831
E02000035,1995000,440558,928909,739643,4,44,11,14,1.13,2.6,1.74,2.79,98980
E02000036,747600,365060,658850,575210,5,24,31,10,1.39,2.2,1.64,2.57,93335
E02000037,1214167,339303,731800,714622,6,19,25,9,0.65,1.67,1.87,3.64,82249
E02000038,690000,386827,812298,727375,1,26,18,8,0.48,2.26,1.59,1.04,78253
E02000039,2212059,622059,928750,-9,17,17,8,0,2.09,2.71,1.28,0,134749
E02000040,1813750,455843,679553,815568,12,40,19,13,2.59,2.89,1.89,2.84,118672
E02000041,1121667,384389,729386,463056,3,9,22,9,0.91,1.1,1.56,2.26,70836
E02000042,1060417,324087,881300,694773,6,52,15,11,5.31,2.6,1.71,1.49,71247
E02000043,1385000,483889,1011542,797500,3,9,24,4,1.18,2.89,1.51,1.98,109220
E02000044,1027500,350000,781681,468371,4,2,8,12,1.33,0.32,1.11,1.02,69560
E02000045,826500,357367,890500,680297,2,24,13,15,1.08,1.32,1.51,1.59,92066
E02000046,-9,405537,908929,914567,0,27,14,15,0,3.38,2.03,3.65,86488
E02000047,-9,259071,499286,438727,0,14,7,22,0,0.87,0.71,1.69,52794
E02000048,1456000,464147,872927,599857,5,29,28,10,1.4,2.22,1.73,2.98,114718
E02000049,-9,346400,482500,478692,0,10,2,13,0,0.41,0.54,1.61,54524
E02000050,1097500,364361,1136100,752882,2,29,10,17,2.04,1.87,1.44,1.43,84340
E02000051,2205000,543065,1204643,740000,6,36,14,3,1.07,1.95,2.21,1.79,100919
E02000052,850000,406174,1224667,944180,1,39,6,25,1.45,2.15,1.33,2.28,93630
E02000054,1266250,347318,715045,580833,4,11,11,3,0.95,0.94,1.36,4.17,71132
E02000055,1324273,384080,871847,695000,11,30,9,4,1.81,1.39,1.5,1.37,79731
E02000056,4160125,3535903,1911389,910475,12,18,27,4,1.33,1.64,2.43,2.7,148021
E02000057,1384500,487417,1079995,661611,6,24,10,9,1.3,2.58,1.49,3.01,79800
E02000058,2222629,507088,1258820,990608,14,20,25,15,2.99,1.87,1.99,2.12,126169
E02000059,880000,382952,626100,484804,1,38,10,8,0.55,1.84,1.25,0.89,62515
E02000060,1488000,481214,1265750,734125,5,14,18,8,1.21,1.37,1.5,2.68,80239
E02000061,5073333,598538,1850159,1603000,6,26,11,3,1.4,1.85,1.36,2.65,102632
E02000062,-9,364200,634722,547895,0,5,9,12,0,0.55,1.72,1.95,60160
E02000063,-9,389059,670938,608125,0,16,24,8,0,2.17,1.92,3.23,61055
E02000064,-9,428427,803750,899000,0,26,4,5,0,1.56,1.28,1.49,87833
E02000065,-9,225375,387000,349360,0,8,5,25,0,0.95,0.98,2.02,37206
E02000066,509375,208313,447400,323354,4,8,5,24,1.9,0.49,1.2,1.9,32695
E02000067,603000,235103,411875,361450,4,36,4,40,1.92,2.16,0.52,3.63,50878
E02000068,463750,206712,392500,352197,4,26,8,23,3.05,1.77,1.49,2.43,55636
E02000069,591750,228273,421667,378962,8,29,15,13,2.49,3.49,1.88,1.82,52974
E02000070,550000,241923,460759,389054,2,13,27,23,0.89,2.82,1.53,3.87,60561
E02000071,390000,169200,461977,385696,2,5,22,23,1.18,1.78,1.77,2.22,55412
E02000072,419000,202393,410333,321922,2,14,6,32,1.32,0.99,0.46,1.83,55399
E02000073,487500,343333,500124,494136,2,3,61,11,1.68,2.04,1.74,10.09,74725
E02000074,587500,215364,385696,315250,2,11,23,12,2.63,0.93,1.42,2.21,51122
E02000075,428750,306286,510591,459250,2,7,32,12,0.85,2.76,1.48,2.89,71015
E02000077,-9,211125,477059,411867,0,16,38,15,0,5.9,1.77,3.95,72465
E02000078,615000,239938,495310,367823,1,8,20,31,0.61,3.09,1.14,4.13,70070
E02000079,644500,261914,536844,463040,8,29,34,24,2.95,3.19,2.29,3.64,67349
E02000080,512333,202091,469973,452234,3,16,34,22,1.6,3.08,1.42,4.33,77472
E02000081,571250,246452,480870,414731,4,21,30,13,1.5,3.31,1.72,2.51,71497
E02000082,670667,233999,502768,438045,3,5,28,44,2.36,2.87,1.69,3.1,80365
E02000083,718750,235407,412403,373808,2,27,31,30,0.74,2.78,1.76,2.31,58871
E02000084,708214,262100,612014,503825,14,15,35,23,1.89,3.69,1.53,3.42,82859
E02000085,718000,226071,579556,404838,1,7,18,40,1.2,2.71,1.46,2.9,84875
E02000086,812500,250111,534643,445462,6,9,23,26,1.89,4.86,1.78,2.85,84566
E02000087,728750,279452,590631,480300,16,21,18,10,1.65,3.95,1.44,2.49,82011
E02000088,777500,325000,589625,479897,2,1,28,29,0.93,1.08,1.86,2.56,88176
E02000089,633000,250000,568875,503653,5,1,33,18,2.59,0.94,1.65,3.21,80850
E02000090,851278,250561,603909,458950,4,63,22,24,1.01,3.66,2.26,2.97,64837
E02000091,929750,291259,589634,465750,8,58,41,10,1.57,3.35,2.59,2.3,62384
E02000092,470000,250375,461405,386224,1,12,25,17,0.55,1.33,2.61,2.96,56622
E02000093,662000,361667,633889,551743,1,3,9,13,0.5,0.32,0.55,1.69,67105
