OA21CD,MortgageDebt
E00000001,171077.09
E00000003,160363.45
E00000005,409958.07
E00000007,113612.8
E00000010,15365.01
E00000013,108963.84
E00000018,138171.35
E00000019,56709.06
E00000020,183149.25
E00000021,57368.82
E00000022,34560.06
E00000023,25914.63
E00000024,94386.61
E00000025,38534.46
E00000028,37730.61
E00000029,75887.14
E00000030,64484.54
E00000031,81689.3
E00000032,105288.91
E00000037,48653.96
E00000038,41986.7
E00000039,44806.32
E00000040,16993.11
E00000041,56636.18
E00000042,46030.79
E00000043,42622.06
E00000045,42470.99
E00000046,40736.48
E00000048,41268.98
E00000049,81982.21
E00000050,39082.55
E00000051,54316.48
E00000052,43169.53
E00000053,74757.97
E00000054,65366
E00000055,74159.91
E00000056,37338.6
E00000057,39319.27
E00000059,79345.62
E00000060,72036.32
E00000061,44101.17
E00000063,39774.39
E00000064,42102.7
E00000066,35978.09
E00000067,45493.37
E00000068,44875.01
E00000069,34860.75
E00000070,54107.24
E00000071,54841.42
E00000072,52270.1
E00000073,50787.56
E00000074,49457.55
E00000075,56079.42
E00000076,51137.54
E00000077,53025.22
E00000078,52307.99
E00000079,50476.88
E00000080,50398.11
E00000081,51573.59
E00000082,52028.38
E00000083,53879.29
E00000084,52520.99
E00000085,53742.77
E00000086,52242
E00000087,43068.5
E00000088,41579.12
E00000089,54577
E00000090,53680.74
E00000091,52637.54
E00000092,53255.27
E00000093,63194.3
E00000094,53499.23
E00000095,52663.49
E00000096,56589.94
E00000097,52209.35
E00000098,54833.21
E00000099,56079.42
E00000100,52239.48
E00000101,59750.9
E00000102,62089.33
E00000103,59828.46
E00000104,58702.64
E00000106,61145.74
E00000107,56864.97
E00000108,61765.39
E00000109,58702.64
E00000110,60795.3
E00000111,60275.66
E00000112,59204.37
E00000113,50664.66
E00000114,58702.64
E00000115,60033.41
E00000116,58205.16
E00000117,66411.07
E00000118,57184.47
E00000119,56839.07
E00000120,58702.64
E00000121,59585.39
E00000122,59208.7
E00000123,50845.22
E00000124,58702.64
E00000125,59960.56
E00000128,54471.82
E00000129,59565.92
E00000130,60036.79
E00000131,47671.27
E00000132,59612.76
E00000133,59697.6
E00000134,45657.61
E00000135,68178.96
E00000136,69248.13
E00000137,63337.94
E00000138,60114.88
E00000139,59869.06
E00000140,63412.91
E00000141,64791.75
E00000142,64361.87
E00000143,63621.97
E00000144,71278.01
E00000145,68568.38
E00000146,70546.59
E00000147,66991.43
E00000148,66312.68
E00000149,67559.15
E00000150,66478.21
E00000151,68497.47
E00000152,72139.43
E00000153,68074.87
E00000154,69487.62
E00000155,44438.91
E00000156,69089.71
E00000157,62566.91
E00000158,60452.67
E00000159,43014.75
E00000160,59667.37
