MSOA21CD,PersonalDebt,HHInc_afterCosts,HHInc_afterCosts_equivalised,HHInc_beforeCosts,HHInc_beforeCosts_equivalised
E02000001,247.8034,101800,59300,62700,65000
E02000002,719.0909,43600,22500,32500,28600
E02000003,685.3784,50900,27700,39200,33000
E02000004,735.6636,52000,29300,38900,34300
E02000005,685.264,48100,25800,35200,30000
E02000007,666.5978,39000,22700,28400,27000
E02000008,718.995,42100,22100,30800,27000
E02000009,681.6103,45800,22200,34600,28900
E02000010,730.2708,40900,21700,29300,26900
E02000011,682.3749,46500,25300,33500,30800
E02000012,633.6453,56100,28600,41500,34700
E02000013,685.841,44100,24200,32100,29800
E02000014,732.5785,42900,21600,29300,27000
E02000015,713.3509,41200,20700,30200,27600
E02000016,547.2598,46600,22200,35200,29400
E02000017,597.1733,51300,24900,40200,32300
E02000018,740.9857,41600,21600,31000,27000
E02000019,692.4323,46100,23600,34500,28400
E02000020,693.2369,47800,23100,35200,28800
E02000021,721.1065,43300,23400,30100,28000
E02000022,696.0464,41300,21200,29000,25700
E02000023,856.3438,46100,22300,34700,29800
E02000024,491.871,64300,38600,46600,42500
E02000025,480.0891,60900,36100,44400,40800
E02000026,540.6939,62300,36100,45300,38600
E02000027,518.0534,54700,32300,40800,34900
E02000028,576.5102,61100,37400,45400,42000
E02000029,572.1524,58000,34700,45500,38500
E02000030,555.3021,59400,37900,46700,41400
E02000031,642.1488,62500,39700,45300,40100
E02000032,607.1631,68800,40600,52000,38300
E02000033,554.843,58600,32300,47100,37300
E02000034,581.0143,58900,35000,45000,37800
E02000035,509.114,61700,35200,46000,40700
E02000036,621.4378,56400,32400,46400,36300
E02000037,567.6009,59300,36000,47200,38400
E02000038,539.37,58500,33300,46100,38200
E02000039,640.9474,65200,38700,47800,42800
E02000040,635.9994,59500,37200,43500,40800
E02000041,590.9737,53500,28900,43100,34100
E02000042,472.8281,58000,30800,46500,38100
E02000043,607.9178,76300,44200,51900,44000
E02000044,617.0251,53900,28400,42400,35400
E02000045,614.4062,56300,30000,44700,36400
E02000046,609.6258,68400,35100,51200,44000
E02000047,612.7268,51000,24600,41000,31700
E02000048,634.3344,60800,35100,45600,40300
E02000049,596.51,47500,23900,37500,32200
E02000050,516.0411,57100,32300,43500,37700
E02000051,524.7293,57900,34900,46000,41200
E02000052,517.574,66300,36600,47000,40700
E02000054,493.2825,54400,31900,44700,39000
E02000055,484.2039,51700,27500,44300,37800
E02000056,621.4223,76600,45100,55700,49900
E02000057,509.2509,56000,30300,44900,37400
E02000058,612.3029,60100,37700,45500,40600
E02000059,567.5141,51600,26000,40900,33400
E02000060,485.2762,49200,28400,39200,31500
E02000061,563.1318,63400,35400,45300,46300
E02000062,537.9462,48500,23600,40600,32800
E02000063,524.6869,52000,27600,43900,35700
E02000064,507.1575,52900,30300,41900,37800
E02000065,766.5942,49000,27300,36400,32900
E02000066,637.8919,42400,24300,29600,29700
E02000067,718.8929,48900,28300,35100,32300
E02000068,738.0274,46300,26500,33400,30900
E02000069,659.988,49400,28800,35200,33700
E02000070,653.494,53800,33300,39000,35900
E02000071,681.0612,49500,29000,35200,33700
E02000072,885.3114,44700,25900,33000,30300
E02000073,701.4137,59100,37100,40900,38000
E02000074,708.7103,44900,25900,31700,29600
E02000075,694.8929,57800,38600,39900,38900
E02000077,696.8334,56100,33600,39200,34400
E02000078,649.738,57500,35300,38600,37900
E02000079,617.9755,57100,35000,39400,38800
E02000080,746.0762,56600,35300,39600,36900
E02000081,642.9716,52900,32500,38400,35800
E02000082,706.2129,62800,33700,41300,38700
E02000083,716.6444,51000,30700,35900,32900
E02000084,692.1839,60200,38600,41400,39800
E02000085,710.5686,55100,34400,37500,35600
E02000086,676.427,59200,36300,39700,40600
E02000087,651.8484,61900,40600,41900,40300
E02000088,680.8742,62600,38400,42500,40400
E02000089,631.8634,66000,38400,44200,40300
E02000090,526.5803,53500,34000,36400,37300
E02000091,554.4953,52200,34800,36800,37300
E02000092,638.3683,46500,30900,34300,32300
E02000093,588.6842,57700,29800,47000,36100
E02000094,678.7539,57800,32000,46000,35400
E02000095,546.9439,58400,30100,47500,37000
E02000096,474.8311,61500,37200,45600,38600
E02000097,574.3681,53900,27500,47300,33700
E02000098,519.4016,54100,27200,41800,34500
E02000099,568.22,59000,29200,49100,37500
E02000100,545.6592,66400,34500,47100,39900
E02000101,562.1849,49200,25000,37500,33300
E02000102,448.7437,46200,20300,39200,32000
E02000103,458.6572,49600,25500,41100,35000
E02000104,541.1623,53000,26500,41400,36200
E02000105,615.7537,54500,25600,42100,33900
E02000106,458.0287,45800,22600,36900,31900
E02000107,503.0074,55000,29100,43500,39200
E02000108,571.3726,56200,26400,41900,34300
E02000110,423.3217,56700,29100,45100,36100
E02000111,590.1815,51900,23000,37000,32100
E02000112,549.4078,54200,25000,40200,34300
E02000113,492.5009,42000,18900,33500,29900
E02000114,445.4039,52800,26000,39400,35400
E02000115,402.0417,57100,30000,44300,39800
E02000116,500.243,47100,21300,35400,31700
E02000117,481.6502,41900,20600,31800,30100
E02000118,557.5459,52000,21600,36200,31400
E02000119,460.8132,45200,23100,34700,32200
E02000120,398.4906,57400,29100,43100,39300
E02000121,555.6068,51700,24200,36600,33200
