LSOA21CD,JobAccess
E01000001,2295121.362
E01000002,2188051.997
E01000003,2205393.349
E01000005,1745257.471
E01000006,1231927.397
E01000007,1280101.463
E01000008,1201494.087
E01000009,1273562.316
E01000011,1264018.456
E01000012,1097665.403
E01000013,1098477.677
E01000014,961078.1392
E01000015,915556.4748
E01000016,769972.7114
E01000017,972403.6881
E01000018,811727.4772
E01000019,760406.5104
E01000020,730919.555
E01000021,829022.8281
E01000022,809071.6304
E01000024,850632.4495
E01000025,751684.1507
E01000027,813759.2406
E01000028,755997.1263
E01000029,786219.5797
E01000030,779003.7679
E01000031,786277.7577
E01000032,735102
E01000033,762836.1692
E01000034,737215.0297
E01000035,905015.3634
E01000036,888893.1226
E01000037,565971.6523
E01000038,674969.0882
E01000039,437629.6377
E01000040,1176327.5
E01000041,951032.6232
E01000042,1167871.131
E01000043,1188340.579
E01000044,1134861.077
E01000045,1053571.049
E01000046,868037.5046
E01000049,1112936.091
E01000050,1314179.848
E01000051,1290323.259
E01000052,1121476.999
E01000053,850816.2724
E01000054,1026382.726
E01000055,1083374.9
E01000056,871207.5929
E01000057,1121997.388
E01000058,980940.2497
E01000059,988846.1642
E01000060,699252.8344
E01000061,719658.5551
E01000062,763411.6862
E01000063,829263.0726
E01000064,722519.9298
E01000065,818242.7323
E01000066,831332.4979
E01000067,1016807.091
E01000068,1119004.372
E01000069,828642.3489
E01000070,1109762.965
E01000071,1097534.686
E01000072,899369.8308
E01000073,814629.0137
E01000074,1011503.097
E01000075,1111778.627
E01000076,1006541.797
E01000077,730926.3086
E01000078,846211.9909
E01000079,703694.0245
E01000080,949286.0351
E01000081,737410.793
E01000082,740888.3291
E01000083,755900.0472
E01000084,1109776.311
E01000085,1064674.794
E01000086,833930.9599
E01000087,795237.8895
E01000088,916808.6814
E01000089,864943.4952
E01000090,843886.9178
E01000091,973147.6698
E01000093,978551.5485
E01000094,811462.7144
E01000095,993231.0349
E01000096,978818.0676
E01000097,959862.1355
E01000098,869123.6329
E01000099,896702.7403
E01000100,685825.8263
E01000101,691916.8722
E01000102,761225.7703
E01000103,797713.5745
E01000104,958152.2437
E01000105,983805.8578
E01000106,804793.314
E01000107,625795.5
E01000108,1023224.446
E01000110,777341.357
E01000111,706097.4585
E01000112,886411.5816
E01000113,974056.0225
E01000114,685758.6386
E01000115,1193414.206
E01000116,1155520.098
E01000117,1168059.171
E01000118,1127977.966
E01000119,964853.2336
E01000120,1149757.072
E01000121,934185.084
E01000122,1153084.245
E01000123,1166266.815
E01000124,1268309.124
E01000126,1116813.919
E01000127,1193746.193
E01000128,1164939.913
E01000129,1312146.196
E01000130,930663.4992
E01000131,1206839.453
E01000132,1117561.42
E01000133,1165774.882
E01000134,1276906.41
E01000135,1469232.484
E01000136,1564150.109
E01000137,1385972.778
E01000138,1415910.914
E01000139,1510748.442
E01000140,1546988.316
E01000141,1553381.104
E01000142,1463360.08
E01000143,1454713.295
E01000144,1485921.642
E01000145,1464948.325
E01000146,1552164.384
E01000147,1330722.078
E01000150,1269111.675
E01000151,764363.8665
E01000152,1035844.269
E01000153,1066960.734
E01000154,1209216.838
E01000156,1194569.629
E01000157,1194504.226
E01000158,1088782.731
E01000159,1058099.031
E01000160,1239449.338
E01000161,1093939.972
E01000162,1100818.493
E01000163,1138906.969
E01000164,1240685.606
E01000165,1125419.721
E01000166,1071928.174
E01000167,1166485.755
E01000168,1258445.612
E01000169,1179981.964
E01000170,1188142.666
E01000171,1146193.595
E01000172,1152139.059
E01000173,1082080.604
E01000174,1120654.104
E01000175,1134125.053
E01000176,1090325.892
E01000177,1098459.049
E01000178,1312025.832
E01000179,1109833.929
E01000180,1336601.952
E01000181,1418895.751
E01000182,1399902.14
E01000183,1272377.771
E01000184,918271.7869
E01000185,1101913.227
E01000186,1439440.139
E01000187,1360472.136
E01000188,1413909.649
E01000189,1222760.393
E01000190,1314011.868
E01000191,1400837.095
E01000192,1375383.226
E01000193,1318364.558
E01000194,1185739.78
E01000195,1029844.976
E01000196,1355249.964
E01000197,1304102.2
E01000198,1467075.738
E01000199,1280693.451
E01000200,1356043.964
E01000201,1500776.221
E01000202,1288072.908
E01000203,1211980.727
E01000204,1369213.319
E01000205,1394655.584
E01000206,1216379.379
E01000207,1298033.637
E01000208,1451235.859
E01000209,1378925.087
E01000210,1352087.161
E01000211,1341902.048
E01000212,1419925.501
E01000213,1291020.099
E01000214,1284022.331
E01000215,1562963.629
E01000216,1378324.06
E01000217,1444871.454
E01000218,1476263.129
E01000219,1565822.395
E01000220,1546684.978
E01000221,1325770.465
E01000222,1530052.051
E01000223,1284961.139
E01000224,1473985.857
E01000225,1479233.439
E01000226,1338292.12
E01000227,1200970.995
E01000228,1260150.655
E01000229,1302406.225
E01000230,1400869.133
E01000231,1460487.023
E01000232,1411604.648
E01000233,1278657.627
E01000234,1415400.809
E01000235,1234658.864
E01000236,1508640.834
E01000237,1445179.315
E01000238,1415338.186
E01000239,1289528.635
E01000240,1320785.233
E01000241,1578713.14
E01000242,1428133.83
E01000243,1384740.336
E01000244,1524356.732
E01000245,1462629.939
E01000246,1268913.773
E01000247,1257165.961
E01000248,1360037.118
E01000249,1341378.44
E01000250,1317079.075
E01000251,1202276.209
E01000252,1216893.501
E01000253,1333282.455
E01000254,1483003.168
E01000255,1055064.526
E01000256,1169447.183
E01000257,1222191.009
E01000258,1446252.91
E01000259,1046763.208
E01000260,1010041.172
E01000261,1294288.164
E01000263,1344998.955
E01000264,1423064.251
E01000265,1092607.605
E01000266,1012995.665
E01000267,1141019.213
E01000268,1169199.96
E01000269,1316405.818
E01000270,1145759.678
E01000271,1173052.238
E01000272,1046627.881
E01000273,1167097.502
E01000274,1162203.5
E01000275,1144479.16
E01000276,997635.3176
E01000277,1190947.198
E01000278,979146.4593
E01000279,1125830.706
E01000280,1141444.685
E01000281,1059970.146
E01000282,1182749.493
E01000283,801465.5789
E01000284,1101499.383
E01000285,1026171.642
E01000286,1126533.069
E01000287,1034938.802
E01000288,1206955.825
E01000289,1185240.871
E01000290,1077450.918
E01000291,964347.5491
E01000292,1279015.58
E01000293,1273607.153
E01000294,1339196.21
E01000295,1252464.455
E01000296,1309455.363
E01000297,1113079.624
E01000298,1254201.07
E01000299,1112337.365
E01000300,1169727.762
E01000301,1086624.895
E01000302,1237725.317
E01000303,1096000.05
E01000304,1084190.939
E01000305,1531394.464
E01000306,1410453.291
E01000307,1433410.639
E01000308,1501263.504
E01000309,1304529.182
E01000310,1431961.362
E01000311,1544980.334
E01000312,1259334.357
E01000313,1490983.35
E01000314,1463267.733
E01000315,1105041.327
E01000316,1034803.829
E01000317,1204525.987
E01000318,1135551.718
E01000319,1123047.052
E01000320,854465.1696
E01000321,1145315.298
E01000322,816935.0714
E01000323,1151179.286
E01000324,1056457.109
E01000325,813216.66
E01000326,872662.2172
E01000327,891248.6126
E01000328,778325.9422
E01000329,855550.2636
E01000330,826131.1648
E01000331,883927.641
E01000332,617642.5149
E01000333,600845.2399
E01000334,598625.7711
E01000335,774783.8736
E01000336,596889.8176
E01000337,500790.2471
E01000338,604356.8506
E01000339,688038.3103
E01000340,776628.8974
E01000341,783727.0766
E01000342,735141.5714
E01000343,834804.2722
E01000344,767884.2642
E01000345,745937.6073
E01000346,884554.0472
E01000347,875657
E01000348,794489.5535
E01000349,888696.0702
E01000350,819479.8391
E01000351,768712.9562
E01000352,929491.1737
E01000353,627429.2973
E01000354,667592.5968
E01000355,660154.625
E01000356,778719.1
E01000357,698327.6616
E01000358,805181.0355
E01000359,635623.8684
E01000360,889329.6908
E01000361,782527.9412
E01000362,883212.9407
E01000363,861518.6055
E01000364,956266.8358
E01000365,725999.2636
E01000366,878476.9274
E01000367,754927.4528
E01000368,796793.4065
E01000369,695568.5305
E01000370,805999.8444
E01000371,796291.7036
E01000372,674772.4354
E01000373,716327.2331
E01000374,1043924.077
E01000375,991145.2772
E01000376,994752.9585
E01000377,844894.5776
E01000379,908733.2354
E01000380,917903.1805
E01000381,613937.8549
E01000382,684942.6688
E01000383,858537.3699
E01000384,913268.5
E01000385,854161.5699
E01000386,950487.2563
E01000387,781331.3022
E01000388,852381.4281
E01000389,839602.6464
E01000390,940198.1661
E01000391,678440.2558
E01000392,753207.8157
E01000393,733920.6154
E01000394,748197.5048
E01000395,797641.7994
E01000396,703769.9148
E01000398,745478.8068
E01000399,736139.0667
E01000400,759049.08
E01000401,723201.7542
E01000402,571782.5484
E01000403,775221.6606
E01000404,672282.0718
E01000405,596289.2159
E01000406,609858.9271
E01000407,656705.5693
E01000408,657145.9705
E01000409,692917.3911
E01000410,793328.1438
E01000411,703297.5763
E01000412,763397.4155
E01000413,817817.6538
E01000414,830931.4873
E01000415,705799.9503
E01000416,828108.0309
E01000417,655360.8704
E01000418,593463.6222
E01000419,648503.125
E01000420,606919.3804
E01000421,598698.5624
E01000422,613412.9879
E01000423,923136.4149
E01000424,860254.0761
E01000425,747989.335
E01000426,883301.0422
E01000427,889322.8474
E01000428,890699.3368
E01000429,607853.9203
E01000430,530518.332
E01000431,736083.5097
E01000433,813268.6333
E01000434,690031.6827
E01000435,819415.076
E01000436,632865.1933
E01000437,610871.0348
E01000438,671163.1125
E01000439,698006.1483
E01000440,616477.6141
E01000441,664679.9097
E01000442,615187.5689
E01000443,921893.3049
E01000444,999288.0102
E01000445,978439.8214
E01000446,838714.8399
E01000447,912338.4944
E01000448,899094.4982
E01000449,900041.8684
E01000450,672526.8306
E01000451,678168.561
E01000452,704917.4059
E01000453,651037.6849
E01000454,698853.1096
E01000455,738743.1255
E01000456,687825.5583
E01000457,837753.8095
E01000458,720488.1177
E01000459,846861.1267
E01000460,821424.9854
E01000461,866616.2705
E01000462,1100632.683
E01000463,726483.1261
E01000464,593600.0794
E01000465,445676.8645
E01000466,619708.9523
E01000467,606667.8376
E01000468,438528.5874
E01000469,632731.8856
E01000470,604626.9627
E01000471,1179785.673
E01000472,1195391.897
E01000473,1231576.439
E01000474,1179561.364
E01000475,1110934.179
E01000476,1172221.814
E01000477,1219329.645
E01000478,1234453.704
E01000479,1184314.577
E01000480,1066226.074
E01000481,1280366.59
E01000483,1075610.339
E01000484,1027255.483
E01000485,1032416.865
E01000486,819119.327
E01000487,1182524.929
E01000488,1370095
E01000489,1432164.942
E01000490,1555159.063
E01000491,1545509.205
E01000492,1418274.927
E01000493,1420118.91
E01000494,1495751.56
E01000495,1558174.242
E01000497,1432796.799
E01000498,1425580.446
E01000499,1360141.81
E01000501,1322080.576
E01000502,1327688.28
E01000503,1429953.592
E01000504,1452527.14
E01000505,1444885.164
E01000506,1421466.411
E01000507,1414061.252
E01000508,1342992.441
E01000509,1261863.327
E01000510,1255974.116
E01000511,1498003.202
E01000512,1388822.704
E01000513,1246518.233
E01000514,1142167.119
E01000515,1290534.979
E01000516,1249064.735
E01000517,1218314.517
E01000518,1262669.469
E01000519,1010081.127
E01000520,1168599.375
E01000521,1433407.556
E01000522,1262612.807
E01000523,1365087.16
E01000524,1518709.49
E01000525,1400834.574
E01000526,1378281.159
E01000527,1239572.032
E01000528,1245836.191
E01000530,1310591.297
E01000531,1513565.764
E01000532,1484010.646
E01000533,1407253.548
E01000534,1391311.335
E01000535,1508551.595
E01000536,1068380.987
E01000538,979426.9742
E01000539,965959.1563
