MSOA21CD,JobAccess
E02000001,2157957.119
E02000002,784216.9849
E02000003,812125.478
E02000004,598204.3403
E02000005,713766.545
E02000007,732475.4677
E02000008,800097.6639
E02000009,825224.7083
E02000010,841144.3541
E02000011,856070.1664
E02000012,984054.0233
E02000013,1012737.859
E02000014,1011017.483
E02000015,889722.654
E02000016,1225258.491
E02000017,1205119.048
E02000018,985496.821
E02000019,990927.6557
E02000020,1136872.621
E02000021,858238.2572
E02000022,1173260.425
E02000023,943019.77
E02000024,1340191.37
E02000025,1223608.025
E02000026,1164946.877
E02000027,1129293.493
E02000028,1190639.323
E02000029,1133883.811
E02000030,1180274.051
E02000031,1131318.011
E02000032,1120349.396
E02000033,1136644.854
E02000034,996630.9115
E02000035,1083327.387
E02000036,1315266.178
E02000037,1355208.304
E02000038,1110363.661
E02000039,1342398.82
E02000040,1195000.627
E02000041,1284925.095
E02000042,1167146.974
E02000043,1049322.026
E02000044,1177266.249
E02000045,1166107.204
E02000046,1280062.827
E02000047,1236162.706
E02000048,1215687.272
E02000049,1035172.81
E02000050,1100970.136
E02000051,1339117.439
E02000052,1249424.234
E02000054,1370553.793
E02000055,1450680.229
E02000056,1314459.552
E02000057,1471303.891
E02000058,1390715.759
E02000059,1405085.48
E02000060,1519005.117
E02000061,1469904.939
E02000062,1421119.94
E02000063,1471008.688
E02000064,1472594.606
E02000065,555382.9174
E02000066,612746.454
E02000067,617455.9724
E02000068,683798.5938
E02000069,613531.6456
E02000070,624713.0358
E02000071,653270.5617
E02000072,688906.3152
E02000073,681940.7448
E02000074,788574.8147
E02000075,678176.6457
E02000077,701664.5725
E02000078,793510.5949
E02000079,824980.5697
E02000080,757913.6932
E02000081,847780.0777
E02000082,775011.6454
E02000083,937670.8303
E02000084,832178.9343
E02000085,834842.9242
E02000086,783823.9863
E02000087,935500.8062
E02000088,873712.0748
E02000089,773713.0924
E02000090,911776.9514
E02000091,811646.1599
E02000092,817288.6486
E02000093,1160712.519
E02000094,1205153.75
E02000095,1174344.207
E02000096,962809.0355
E02000097,1134337.112
E02000098,1029076.729
E02000099,1116839.479
E02000100,1148913.034
E02000101,1225645.654
E02000102,1312246.603
E02000103,1377158.573
E02000104,1192813.895
E02000105,1064113.957
E02000106,1375904.886
E02000107,1440595.963
E02000108,1026699.454
E02000110,1446007.292
E02000111,1149879.324
E02000112,1271297.694
E02000113,1278930.103
E02000114,1465797.213
E02000115,1541764.133
E02000116,1460469.566
E02000117,1322395.051
E02000118,1187139.766
E02000119,1365823.029
E02000120,1523412.315
E02000121,1190155.486
E02000122,1471684.234
E02000123,1474039.689
E02000124,1507053.944
E02000125,1455481.604
E02000126,1561707.438
E02000127,783912.1712
E02000128,768754.9342
E02000130,1090617.77
E02000131,1079177.263
E02000132,854035.0047
E02000133,778101.5551
E02000134,787314.0607
E02000135,1025267.609
E02000136,708022.2661
E02000137,683379.4794
E02000138,689624.0063
E02000139,855906.803
E02000140,736562.214
E02000141,785048.8229
E02000142,674688.9381
E02000144,805130.0588
E02000145,748888.3343
E02000146,705062.5909
E02000147,625034.9349
E02000148,612747.1635
E02000149,681041.4887
E02000150,695292.9885
E02000151,613050.7907
E02000152,509876.5635
E02000153,675374.2283
