MSOA21CD,Loneliness
E02000001,0.610642008
E02000002,-0.155306
E02000003,0.326727859
E02000004,0.324373756
E02000005,0.334800539
E02000007,0.341537505
E02000008,-0.22641219
E02000009,-0.355937082
E02000010,-0.136448435
E02000011,0.30375886
E02000012,0.049484238
E02000013,1.190274148
E02000014,0.652389543
E02000015,1.052367418
E02000016,-2.138503729
E02000017,-1.27113546
E02000018,2.023087813
E02000019,1.277612072
E02000020,0.148894891
E02000021,1.347176077
E02000022,-0.54395555
E02000023,0.79114787
E02000024,1.121010114
E02000025,-0.812777201
E02000026,0.767841809
E02000027,0.65355374
E02000028,-0.262627549
E02000029,0.780542196
E02000030,0.837376692
E02000031,1.599568223
E02000032,0.611069705
E02000033,0.700686288
E02000034,1.462975291
E02000035,1.813662064
E02000036,0.395928261
E02000037,1.149074068
E02000038,0.736204271
E02000039,0.710193079
E02000040,1.079336378
E02000041,-0.275885835
E02000042,1.501008188
E02000043,1.448690982
E02000044,0.120313977
E02000045,0.794908114
E02000046,0.396183161
E02000047,-0.514084208
E02000048,1.370821568
E02000049,0.461827261
E02000050,1.050792514
E02000051,1.424012915
E02000052,1.858005911
E02000054,2.196676021
E02000055,1.870703799
E02000056,4.147436091
E02000057,2.698801565
E02000058,4.629949333
E02000059,0.503927671
E02000060,4.253514275
E02000061,3.436403786
E02000062,0.685952304
E02000063,0.531245479
E02000064,1.374120991
E02000065,-0.059758886
E02000066,0.151590962
E02000067,-0.323646114
E02000068,-0.421203354
E02000069,-0.667376109
E02000070,-0.102464713
E02000071,-0.38445898
E02000072,0.708343557
E02000073,-0.21274625
E02000074,0.336514769
E02000075,0.0252834
E02000077,-0.52844034
E02000078,0.459353075
E02000079,0.067795292
E02000080,-1.703836423
E02000081,0.565322776
E02000082,-1.478935668
E02000083,1.433530042
E02000084,0.023045044
E02000085,-1.062804188
E02000086,-0.40767705
E02000087,1.114988661
E02000088,0.229637611
E02000089,0.470978332
E02000090,0.395487776
E02000091,0.605855652
E02000092,1.52357007
E02000093,-1.876079542
E02000094,-0.17365589
E02000095,-2.06454281
E02000096,-1.257407902
E02000097,-1.400765645
E02000098,-1.695301701
E02000099,-1.627404223
E02000100,-1.604712456
E02000101,-1.765445612
E02000102,-1.461095285
E02000103,-0.482345035
E02000104,-2.225022376
E02000105,-2.026445306
E02000106,-1.824268198
E02000107,-1.380048826
E02000108,-1.220853283
E02000110,-1.321311875
E02000111,-1.67454249
E02000112,-1.720649871
E02000113,-1.155943482
E02000114,-0.785849098
E02000115,-0.64714866
E02000116,-1.315819775
E02000117,-0.751842443
E02000118,-1.683355389
E02000119,-0.370761262
E02000120,-1.426165322
E02000121,-1.726371443
E02000122,-0.674836217
E02000123,-0.248006708
E02000124,-1.332142569
E02000125,-1.169822859
E02000126,-1.079098974
E02000127,0.28767072
E02000128,0.135911309
E02000130,0.169546151
E02000131,0.189276714
E02000132,0.184547365
E02000133,0.168474242
E02000134,0.420281886
E02000135,-0.183932586
E02000136,0.184130646
E02000137,0.879268947
E02000138,0.606516672
E02000139,0.688059222
E02000140,-0.15660876
E02000141,-0.156154595
E02000142,-0.04069685
E02000144,0.339279403
E02000145,-0.194268992
E02000146,1.153694024
E02000147,0.709491478
E02000148,0.818068634
E02000149,-0.560858916
E02000150,0.503547678
E02000151,0.18544481
E02000152,1.123791561
E02000153,1.550790185
E02000154,-0.054683504
E02000155,-0.823239593
E02000156,1.058796146
E02000157,0.717436134
E02000158,-0.158095924
E02000159,1.105203508
E02000160,0.978172462
E02000161,0.469898559
E02000162,1.044629194
E02000163,0.10647343
E02000165,1.23559332
E02000166,1.955832357
E02000167,2.515927942
E02000168,0.417162124
E02000169,2.09207933
E02000170,1.551952638
E02000171,0.724053974
E02000172,-0.0091994
E02000173,1.384874011
E02000174,-0.197484231
E02000175,1.168698975
E02000176,0.847131796
E02000177,1.736744446
E02000178,0.368090517
E02000179,1.47228921
E02000180,-0.213812598
E02000181,0.50433002
E02000182,0.742073467
E02000183,1.088703097
E02000184,0.234998047
E02000185,0.528383993
E02000186,-0.329191898
E02000187,-0.689292525
E02000188,0.205490841
E02000191,0.378950634
E02000192,0.82661974
E02000193,1.647753184
E02000194,0.554003213
E02000195,0.337517024
E02000196,-0.487768452
E02000197,-1.009034075
E02000198,0.450944835
E02000199,-0.269816921
E02000200,-0.345593823
E02000201,-0.426698358
E02000202,-0.855028683
E02000203,-0.738697421
