LSOA21CD,EntirehomesPer,BedspacePer
E01000001,1.112140871,5.40383498
E01000002,0.25466893,1.368159204
E01000003,0.703674746,3.888280394
E01000005,8.252427184,24.29906542
E01000006,0,0.654664484
E01000007,0.23400936,1.555630707
E01000008,0,0
E01000009,0.305810398,1.936525013
E01000011,0.196078431,0.526932084
E01000012,0,0.256959315
E01000013,0.303490137,0.750267953
E01000014,0,0.225225225
E01000015,0.701754386,1.696352841
E01000016,0.31201248,0.488864747
E01000017,0,0.2310803
E01000018,0,0.113765643
E01000019,0.388349515,1.215066829
E01000020,0,0.090909091
E01000021,0.334448161,0.412492634
E01000022,0.610997963,1.1042098
E01000024,0,0
E01000025,0.14084507,0.366108787
E01000027,0.146627566,0.429594272
E01000028,0,0.331858407
E01000029,0.143061516,1.030927835
E01000030,0,0.314836678
E01000031,0.162074554,0.330578512
E01000032,0.131752306,0.481695568
E01000033,0,0
E01000034,0,0.365408039
E01000035,0,0.321199143
E01000036,0,0.695894224
E01000037,0,0.11554015
E01000038,0,0
E01000039,0.446428571,0.705754615
E01000040,0,0
E01000041,0.16286645,0.39193729
E01000042,0.447761194,0.946870068
E01000043,0,0.446998723
E01000044,0.436681223,1.213346815
E01000045,0.165562914,1.480165779
E01000046,0,0
E01000049,0.158227848,0.469759248
E01000050,0.152207002,0.801710315
E01000051,0.225733634,1.433691756
E01000052,0.244200244,0.734993875
E01000053,0.135869565,0.48048048
E01000054,0,0.326619488
E01000055,0,0
E01000056,0,0.481347774
E01000057,0,0.06234414
E01000058,0,0.138953219
E01000059,0.168067227,0.411522634
E01000060,0.119617225,0.732265446
E01000061,0,0.816743236
E01000062,0,0
E01000063,0.462249615,1.25930166
E01000064,0.361445783,1.047577477
E01000065,0,0.254194204
E01000066,0.273224044,0.971250971
E01000067,0,0.044782803
E01000068,0,0.56980057
E01000069,0,0.046061723
E01000070,0,0.289156627
E01000071,0.117096019,0.345224396
E01000072,0.261780105,0.74941452
E01000073,0,0.160944206
E01000074,0.156494523,0.743281875
E01000075,0,0.339640951
E01000076,0.123762376,0.73800738
E01000077,0,0
E01000078,0,0.256541816
E01000079,0,0.452488688
E01000080,0,0
E01000081,0,0.151821862
E01000082,0.138312586,0.21691974
E01000083,0,0
E01000084,0,0.845070423
E01000085,0,0.124146493
E01000086,0.193423598,0.556715379
E01000087,0.373831776,1.02905569
E01000088,0.158478605,0.593765463
E01000089,0,0.110375276
E01000090,0.173913043,0.119474313
E01000091,0,1.145584726
E01000093,0.289435601,0.333333333
E01000094,0.220994475,0.422427035
E01000095,0.128865979,0.588235294
E01000096,0,0.616142945
E01000097,0.142450142,0.25987526
E01000098,0.155279503,0.57024365
E01000099,0.313479624,0.836667879
E01000100,0,0.310719834
E01000101,0,0.354609929
E01000102,0,0.276548673
E01000103,0,0
E01000104,0,0.104931794
E01000105,0.502512563,1.198934281
E01000106,0.214132762,0.748568912
E01000107,0.158982512,0.821018062
E01000108,0,0.414293112
E01000110,0,0.30102348
E01000111,0,0.184757506
E01000112,0.268817204,0.63229572
E01000113,0.149031297,0.197044335
E01000114,0,0.293501048
E01000115,0.202839757,0.218340611
E01000116,0,0.299222023
E01000117,0.138888889,0.507900677
E01000118,0,0.049578582
E01000119,0,0.226500566
E01000120,0.391389432,0.820232399
E01000121,0.187617261,0.637393768
E01000122,0,0.534759358
E01000123,0.133868809,1.147446931
E01000124,0.248756219,0.691121744
E01000126,0,1.19047619
E01000127,0,0.128865979
E01000128,0,0.392734413
E01000129,0,0.563909774
E01000130,0,1.198540907
E01000131,0.27027027,1.708074534
E01000132,0.19379845,0.253004428
E01000133,0.167785235,0.618811881
E01000134,0,0.452488688
E01000135,0.58910162,1.871345029
E01000136,0.493421053,2.247956403
E01000137,0.572246066,2.436125966
E01000138,2.008608321,6.431663575
E01000139,0.662251656,2.679830748
E01000140,1.271186441,3.282828283
E01000141,1.864801865,10.42363434
E01000142,0.520291363,2.732746642
E01000143,0.995732575,3.104477612
E01000144,1.417525773,7.770472206
E01000145,1.679104478,2.603843769
E01000146,0.63559322,3.804930332
E01000147,1.030927835,1.963746224
E01000150,0.251572327,0.729927007
E01000151,0,0
E01000152,0,0.403521643
E01000153,0,0.488599349
E01000154,0.552486188,1.481075151
E01000156,0.130208333,1.520527116
E01000157,0.290275762,1.539448364
E01000158,0,0.744248985
E01000159,0.299401198,1.32412205
E01000160,0.468384075,2.073365231
E01000161,0.354191263,1.867321867
E01000162,0.176056338,0.660660661
E01000163,0.122399021,1.01010101
E01000164,0,1.254480287
E01000165,0.138312586,0.636205899
E01000166,0.149476831,0.24706609
E01000167,0,0.224887556
E01000168,0,0.269541779
E01000169,0,0
E01000170,0.139275766,0.210526316
E01000171,0,0.525624179
E01000172,0,0.239377618
E01000173,0,0.249843848
E01000174,0.387096774,2.428909953
E01000175,0.153139357,0.253421186
E01000176,0.134228188,1.25
E01000177,0,0.848484848
E01000178,0.140056022,2.576687117
E01000179,0.123915737,1.299435028
E01000180,0.290275762,1.297935103
E01000181,0.139082058,2.064896755
E01000182,0.392670157,3.471791692
