LSOA21CD,ViolenceSex_1kPersons,Robbery_1kPersons,BikeTheft_1kPersons,Burglary_1kPersons,Shoplifting_1kPersons,TheftPerson_1kPersons,VehicleCrime_1kPersons,TheftOffences_1kPersons,CrimDamageArson_1kPersons,Drugs_1kPersons,PossessionWeapons_1kPersons,PublicOrder_1kPersons,TotExclASB_1kPersons,ASB_1kPersons
E01000001,14.71,2.26,6.79,4.75,4.75,21.72,18.33,56.35,7.02,9.05,0.68,7.69,122.43,12.9
E01000002,33.24,4.58,21.68,7.71,34.92,62.62,3.85,130.78,12.28,7.23,0.48,10.12,249.04,26.01
E01000003,14.05,1.45,3.51,6.61,0.62,7.03,4.55,22.32,5.58,0.83,0.62,3.72,54.97,13.43
E01000005,139.57,9.99,18.47,36.63,50.56,54.8,28.16,188.62,25.13,48.14,4.24,48.14,619.13,75.99
E01000006,18.56,3.75,0,1.58,0,0.79,8.29,10.66,2.37,5.73,0.39,2.76,46.19,9.67
E01000007,53.59,11.14,1.63,5.01,0.25,18.41,8.26,33.56,8.39,26.92,1.5,12.02,153.64,45.33
E01000008,46.47,3.25,0.41,7.1,11.77,3.45,29.02,51.75,11.36,13.39,1.62,8.12,149.96,37.74
E01000009,53.24,7.26,1.41,8.07,2.82,7.06,15.93,35.29,12.5,21.98,2.22,12.71,154.89,45.58
E01000011,31.19,2.99,0.21,1.71,2.56,1.28,5.34,11.11,4.27,4.06,0.43,2.99,64.95,9.61
E01000012,26.17,1.24,0.77,3.72,0,0.77,8.52,13.78,4.03,2.01,0,2.79,52.81,24.62
E01000013,66.05,6.8,0.78,8.55,13.99,6.8,11.85,41.96,11.07,16.71,1.55,12.24,168.22,15.73
E01000014,19.96,2.29,0.62,5.2,0,2.08,9.36,17.26,3.53,4.99,0.42,2.49,53.85,28.07
E01000015,20.6,0.75,0.15,2.71,0,0.75,5.41,9.02,3.46,4.06,0.6,3.46,45.42,13.69
E01000016,19.45,1.38,0.2,3.14,0.39,0.2,10.61,14.54,6.09,4.32,0.2,1.96,54.02,8.05
E01000017,12.21,1.05,0,2.74,0.21,0.21,6.94,10.1,2.1,1.26,0,1.26,30.93,4.84
E01000018,24.58,0.82,0.2,4.1,0,0.2,6.56,11.06,6.15,1.02,0.61,2.25,51.22,6.56
E01000019,18.84,1.31,0.22,1.53,0,0.88,5.7,8.32,3.07,2.19,0,1.31,40.09,8.98
E01000020,18.93,1.16,0,4.98,0.17,0.17,5.48,10.79,3.32,2.99,0.33,2.49,45.99,7.64
E01000021,36.94,1.5,0.21,4.3,0.21,0.86,13.32,18.9,6.87,5.58,0.21,4.08,80.33,21.05
E01000022,30.28,0.74,0,4.19,0,1.23,7.39,12.8,6.15,1.97,0.25,4.19,62.78,10.09
E01000024,25.01,2.21,0,3.19,0,0.74,8.58,12.51,6.62,2.94,0.25,2.94,55.17,12.75
E01000025,30.3,1.52,0,3.6,0,1.14,10.8,15.53,6.44,2.65,0.57,4.92,66.48,14.77
E01000027,48.53,2.27,0.35,3.32,0.52,1.05,17.63,22.87,7.86,9.43,1.05,6.46,105.44,29.15
E01000028,24.03,1.2,0,2.6,0,0.4,6.81,9.81,4.21,6.01,0.8,4.21,54.67,23.43
E01000029,23.8,1.2,0,3,0,1,11.6,15.6,5.4,3.6,0.8,5.6,58.41,30.8
E01000030,22.27,1.7,0.43,2.84,1.56,0.71,12.2,17.73,6.95,2.98,0.43,4.68,61.13,16.45
E01000031,31.38,0.62,0,5.33,0.21,0.21,14.56,20.3,5.33,3.28,0.82,4.31,71.37,17.43
E01000032,35.51,8.22,1.4,7,9.27,2.62,11.02,31.31,4.02,2.8,0,10.67,98.82,19.07
E01000033,20.27,0.47,0.24,3.54,0.47,0.47,6.83,11.55,4.95,3.3,0.24,1.18,47.61,12.49
E01000034,35.14,0.92,0,2.31,0,1.16,6.47,9.94,3.93,3.47,1.39,8.55,68.43,16.88
E01000035,38.77,1.96,0.98,4.31,3.72,1.37,12.92,23.3,8.22,7.44,0.39,9.01,99.67,19.19
E01000036,45.49,6.18,0.49,2.72,8.16,1.24,14.83,27.44,10.14,6.67,2.22,9.89,114.21,35.1
E01000037,4.92,0.21,0.21,2.78,0,0,5.78,8.78,1.93,0.43,0,0.21,18.83,3
E01000038,16.42,1.35,0.67,6.07,9.67,1.12,8.32,25.86,2.47,3.6,0,2.92,55.55,8.1
E01000039,21.52,0.41,0.41,1.66,0.41,0.21,8.28,10.97,5.17,4.76,0,3.1,49.67,18.21
E01000040,26.5,1.55,0.39,3.09,0.19,1.55,10.25,15.47,6.38,5.03,0.39,5.61,70.79,13.73
E01000041,20.93,0.59,0,4.15,0,0.39,7.11,11.65,3.95,2.57,0.59,0.79,44.62,4.54
E01000042,44.29,3.48,0.77,4.64,0,3.48,11.41,20.31,7.54,4.84,0.58,6.96,93.81,24.56
E01000043,21.31,0.24,0,2.13,0,0.47,10.42,13.02,5.68,1.66,0.71,4.5,53.5,27.94
E01000044,29.27,1.28,0.18,4.57,0,1.65,5.85,12.26,3.84,4.76,0.18,4.02,60,33.66
E01000045,49.41,4.86,0.21,7.81,8.24,4.65,15.2,36.11,6.34,7.18,0.63,11.61,175.06,42.02
E01000046,24.85,1.85,0.37,4.45,0,1.3,6.68,12.79,4.26,3.34,0.37,4.64,54.33,8.53
E01000049,22.46,2.76,0,2.95,2.21,1.47,14.73,21.36,4.97,6.44,0.55,3.68,96.29,11.05
E01000050,27.88,1.38,0.79,5.93,0.4,1.58,8.5,17.2,5.54,6.33,0.4,4.15,70.2,28.47
E01000051,27.57,2.63,0,6.24,0,3.61,7.55,17.39,4.27,6.24,0,4.59,72.86,23.63
E01000052,23.5,1.54,0.31,3.07,0,0.92,8.45,12.75,4.61,3.69,0.31,3.22,55.28,7.06
E01000053,25.38,2.92,0.9,4.72,9.21,3.14,8.98,26.95,6.06,1.8,0.22,3.37,69.63,11.9
E01000054,26.84,1.36,0.19,3.31,0,0.39,6.22,10.11,6.81,2.72,0.78,3.89,58.53,20.03
E01000055,15.37,1.92,0,2.35,0,0.85,8.33,11.53,3.84,2.78,0.21,1.92,41.21,3.63
E01000056,31.21,2.57,1.71,3.63,0,0.64,12.61,18.6,5.13,2.57,0,4.28,69.48,19.03
E01000057,48.66,13.4,1.65,7.52,17.63,6.11,14.81,47.72,11.28,7.99,1.88,10.34,141.98,16.45
E01000058,37.83,5.28,0,3.07,0,3.41,8.86,15.34,5.11,5.79,1.02,6.13,78.73,17.04
E01000059,26.78,4.25,0.21,3.83,0,0.21,9.35,13.6,3.61,1.91,0.21,4.25,55.04,7.23
E01000060,37.08,4.68,3.34,6.51,4.84,2.84,12.86,30.4,11.02,4.84,0.84,13.03,116.92,25.56
E01000061,69.1,3.02,0.57,4.15,0.38,1.32,13.59,20.01,10.76,6.23,0.94,14.35,135.18,47.58
E01000062,29.48,2.29,0.16,5.57,1.31,0.98,10.16,18.18,6.22,3.93,0.98,7.21,74.04,19.82
