LSOA21CD,ViolenceSex_1kPersons_15plus,Robbery_1kPersons_15plus,BikeTheft_1kPersons_15plus,Burglary_1kPersons_15plus,Shoplifting_1kPersons_15plus,TheftPerson_1kPersons_15plus,VehicleCrime_1kPersons_15plus,TheftOffences_1kPersons_15plus,CrimDamageArson_1kPersons_15plus,Drugs_1kPersons_15plus,PossessionWeapons_1kPersons_15plus,PublicOrder_1kPersons_15plus,TotExclASB_1kPersons_15plus,ASB_1kPersons_15plus
E01000001,15.99,2.46,7.38,5.17,5.17,23.62,19.93,61.25,7.63,9.84,0.74,8.36,133.09,14.02
E01000002,35.25,4.85,22.99,8.17,37.04,66.41,4.09,138.7,13.03,7.66,0.51,10.73,264.11,27.59
E01000003,15.02,1.55,3.76,7.07,0.66,7.51,4.86,23.86,5.96,0.88,0.66,3.98,58.76,14.36
E01000005,158.58,11.35,20.98,41.62,57.45,62.26,31.99,214.31,28.55,54.7,4.82,54.7,703.47,86.34
E01000006,23.54,4.76,0,2,0,1,10.52,13.52,3.01,7.26,0.5,3.51,58.6,12.27
E01000007,70.84,14.73,2.15,6.62,0.33,24.33,10.92,44.36,11.09,35.59,1.99,15.89,203.09,59.92
E01000008,64.7,4.52,0.57,9.89,16.39,4.8,40.4,72.05,15.82,18.65,2.26,11.3,208.8,52.55
E01000009,67.23,9.17,1.78,10.19,3.57,8.91,20.12,44.56,15.79,27.76,2.8,16.04,195.57,57.55
E01000011,39.65,3.8,0.27,2.17,3.26,1.63,6.79,14.12,5.43,5.16,0.54,3.8,82.56,12.22
E01000012,37.96,1.8,1.12,5.39,0,1.12,12.35,19.99,5.84,2.92,0,4.04,76.59,35.71
E01000013,86.34,8.89,1.02,11.17,18.28,8.89,15.49,54.85,14.47,21.84,2.03,16,219.91,20.57
E01000014,26.01,2.98,0.81,6.77,0,2.71,12.19,22.49,4.61,6.5,0.54,3.25,70.18,36.58
E01000015,27.96,1.02,0.2,3.67,0,1.02,7.35,12.24,4.69,5.51,0.82,4.69,61.63,18.57
