LSOA21CD,DwellingPre1945,Dwellings1945_72,Dwellings1973_99,Dwellings2000_09,Dwellings2010_15,Dwellings2016_20,Dwellings2021_24
E01000001,5.660377358,80.18867925,6.603773585,7.547169811,0,0,0
E01000002,0,75,0.862068966,0,24.13793103,0,0
E01000003,6.976744186,77.51937984,4.651162791,3.100775194,0,6.976744186,0.775193798
E01000005,12.22222222,27.77777778,28.88888889,1.111111111,7.777777778,0,22.22222222
E01000006,70.37037037,5.555555556,24.07407407,0,0,0,0
E01000007,7.299270073,12.40875912,10.94890511,17.51824818,23.35766423,27.00729927,1.459854015
E01000008,0,98.14814815,1.851851852,0,0,0,0
E01000009,60.60606061,1.515151515,24.24242424,13.63636364,0,0,0
E01000011,95.91836735,0,2.040816327,0,0,0,2.040816327
E01000012,19.51219512,4.87804878,42.68292683,18.29268293,13.41463415,0,1.219512195
E01000013,98.46153846,0,0,0,1.538461538,0,0
E01000014,90.76923077,0,9.230769231,0,0,0,0
E01000015,69.76744186,0,0,30.23255814,0,0,0
E01000016,100,0,0,0,0,0,0
E01000017,96.82539683,0,3.174603175,0,0,0,0
E01000018,96.82539683,0,0,3.174603175,0,0,0
E01000019,96.15384615,0,3.846153846,0,0,0,0
E01000020,68.65671642,14.92537313,11.94029851,4.47761194,0,0,0
E01000021,72.13114754,4.918032787,19.67213115,0,0,0,3.278688525
E01000022,82.35294118,5.882352941,5.882352941,3.921568627,0,1.960784314,0
E01000024,97.72727273,0,0,2.272727273,0,0,0
E01000025,77.41935484,1.612903226,17.74193548,3.225806452,0,0,0
E01000027,1.470588235,72.05882353,20.58823529,1.470588235,0,0,4.411764706
E01000028,4.545454545,63.63636364,25.75757576,4.545454545,1.515151515,0,0
E01000029,44.7761194,34.32835821,20.89552239,0,0,0,0
E01000030,3.225806452,79.56989247,0,2.150537634,9.677419355,5.376344086,0
E01000031,60.9375,25,10.9375,1.5625,0,0,1.5625
E01000032,65.78947368,15.78947368,15.78947368,1.315789474,0,0,1.315789474
E01000033,40.35087719,56.14035088,0,0,3.50877193,0,0
E01000034,18.86792453,54.71698113,24.52830189,0,0,0,1.886792453
E01000035,48.38709677,35.48387097,4.838709677,6.451612903,0,3.225806452,1.612903226
E01000036,91.83673469,6.12244898,2.040816327,0,0,0,0
E01000037,74.57627119,1.694915254,16.94915254,0,0,0,6.779661017
E01000038,65.57377049,34.42622951,0,0,0,0,0
E01000039,5.970149254,56.71641791,29.85074627,7.462686567,0,0,0
E01000040,38.23529412,60.29411765,0,0,1.470588235,0,0
E01000041,100,0,0,0,0,0,0
E01000042,22.66666667,49.33333333,0,12,1.333333333,2.666666667,12
E01000043,88,2,2,4,0,2,2
E01000044,95.23809524,1.587301587,3.174603175,0,0,0,0
E01000045,88.33333333,5,0,6.666666667,0,0,0
E01000046,79.71014493,2.898550725,0,17.39130435,0,0,0
E01000049,22.58064516,37.09677419,35.48387097,0,0,4.838709677,0
E01000050,61.40350877,10.52631579,28.07017544,0,0,0,0
E01000051,0,20.65217391,0,0,0,41.30434783,38.04347826
E01000052,66.26506024,26.5060241,2.409638554,2.409638554,0,1.204819277,1.204819277
E01000053,44.61538462,0,49.23076923,6.153846154,0,0,0
E01000054,100,0,0,0,0,0,0
E01000055,100,0,0,0,0,0,0
E01000056,64.51612903,0,20.96774194,11.29032258,0,0,3.225806452
E01000057,82.69230769,5.769230769,0,11.53846154,0,0,0
E01000058,72.85714286,8.571428571,0,18.57142857,0,0,0
E01000059,95.08196721,0,1.639344262,3.278688525,0,0,0
E01000060,23.68421053,73.68421053,0,0,0,2.631578947,0
E01000061,0,69.76744186,5.813953488,0,3.488372093,19.76744186,1.162790698
E01000062,60.52631579,38.15789474,0,0,0,1.315789474,0
E01000063,91.80327869,6.557377049,1.639344262,0,0,0,0
E01000064,48.14814815,18.51851852,18.51851852,8.641975309,6.172839506,0,0
E01000065,69.87951807,2.409638554,15.6626506,12.04819277,0,0,0
E01000066,51.42857143,48.57142857,0,0,0,0,0
E01000067,67.64705882,32.35294118,0,0,0,0,0
E01000068,100,0,0,0,0,0,0
E01000069,96.22641509,1.886792453,0,1.886792453,0,0,0
E01000070,93.33333333,6.666666667,0,0,0,0,0
E01000071,51.1627907,12.79069767,1.162790698,26.74418605,8.139534884,0,0
E01000072,73.07692308,7.692307692,1.282051282,17.94871795,0,0,0
E01000073,98.46153846,0,0,0,0,1.538461538,0
E01000074,98.46153846,0,0,0,0,1.538461538,0
E01000075,98.4375,1.5625,0,0,0,0,0
E01000076,98.64864865,0,0,1.351351351,0,0,0
E01000077,93.5483871,1.612903226,4.838709677,0,0,0,0
E01000078,90.76923077,3.076923077,1.538461538,4.615384615,0,0,0
E01000079,89.23076923,0,10.76923077,0,0,0,0
E01000080,96.61016949,0,3.389830508,0,0,0,0
E01000081,100,0,0,0,0,0,0
E01000082,80,0,9.230769231,10.76923077,0,0,0
E01000083,95.3125,4.6875,0,0,0,0,0
E01000084,100,0,0,0,0,0,0
E01000085,91.80327869,0,6.557377049,1.639344262,0,0,0
E01000086,92.45283019,0,0,7.547169811,0,0,0
E01000087,68.85245902,6.557377049,0,8.196721311,0,0,16.39344262
E01000088,79.03225806,9.677419355,11.29032258,0,0,0,0
E01000089,100,0,0,0,0,0,0
E01000090,74.28571429,5.714285714,0,0,0,0,20
E01000091,0,86.66666667,0,0,6.666666667,0,6.666666667
E01000093,0,89.04109589,0,0,0,4.109589041,6.849315068
E01000094,0,8.196721311,18.85245902,11.47540984,18.03278689,8.196721311,35.24590164
E01000095,2.23880597,22.3880597,20.89552239,0,2.985074627,16.41791045,35.07462687
E01000096,0,67.34693878,0,0,32.65306122,0,0
E01000097,73.61111111,0,22.22222222,4.166666667,0,0,0
E01000098,94.20289855,0,0,4.347826087,0,1.449275362,0
E01000099,64,0,10,0,24,2,0
E01000100,96.72131148,3.278688525,0,0,0,0,0
E01000101,95.38461538,0,4.615384615,0,0,0,0
E01000102,92.95774648,5.633802817,0,1.408450704,0,0,0
E01000103,0,60.71428571,25,1.785714286,0,12.5,0
E01000104,13.15789474,64.47368421,0,9.210526316,1.315789474,11.84210526,0
E01000105,31.73076923,25.96153846,24.03846154,17.30769231,0.961538462,0,0
E01000106,17.17171717,46.46464646,30.3030303,3.03030303,0,2.02020202,1.01010101
E01000107,53.96825397,39.68253968,4.761904762,0,1.587301587,0,0
E01000108,52.63157895,10.52631579,26.31578947,3.947368421,6.578947368,0,0
E01000110,78.43137255,19.60784314,1.960784314,0,0,0,0
E01000111,38.15789474,53.94736842,3.947368421,2.631578947,0,0,1.315789474
E01000112,53.94736842,11.84210526,18.42105263,15.78947368,0,0,0
E01000113,82.85714286,11.42857143,1.428571429,1.428571429,0,0,2.857142857
E01000114,77.92207792,18.18181818,3.896103896,0,0,0,0
E01000115,82,12,0,0,0,2,4
E01000116,91.93548387,8.064516129,0,0,0,0,0
E01000117,97.14285714,0,0,2.857142857,0,0,0
E01000118,72.83950617,4.938271605,0,22.22222222,0,0,0
E01000119,79.36507937,4.761904762,1.587301587,14.28571429,0,0,0
E01000120,98,2,0,0,0,0,0
E01000121,7.692307692,30.76923077,50,7.692307692,0,1.923076923,1.923076923
E01000122,87.03703704,3.703703704,9.259259259,0,0,0,0
E01000123,65.27777778,5.555555556,26.38888889,1.388888889,0,1.388888889,0
E01000124,42.66666667,30.66666667,5.333333333,9.333333333,9.333333333,2.666666667,0
E01000126,2.564102564,3.846153846,47.43589744,42.30769231,3.846153846,0,0
E01000127,100,0,0,0,0,0,0
E01000128,100,0,0,0,0,0,0
E01000129,63.38028169,16.90140845,9.85915493,0,0,0,9.85915493
E01000130,48.4375,0,43.75,0,7.8125,0,0
E01000131,56.57894737,0,31.57894737,0,0,11.84210526,0
E01000132,98.07692308,0,1.923076923,0,0,0,0
E01000133,96.61016949,1.694915254,1.694915254,0,0,0,0
E01000134,62.29508197,0,37.70491803,0,0,0,0
E01000135,63.29113924,3.797468354,1.265822785,2.53164557,21.51898734,5.063291139,2.53164557
E01000136,63.49206349,14.28571429,9.523809524,3.174603175,6.349206349,1.587301587,1.587301587
E01000137,30.88235294,55.88235294,0,5.882352941,7.352941176,0,0
E01000138,88.88888889,0,0,11.11111111,0,0,0
E01000139,85,11.66666667,1.666666667,0,0,0,1.666666667
E01000140,52.12765957,14.89361702,5.319148936,2.127659574,10.63829787,8.510638298,6.382978723
E01000141,82.35294118,1.176470588,5.882352941,9.411764706,0,0,1.176470588
E01000142,36.95652174,0,34.7826087,28.26086957,0,0,0
E01000143,52.94117647,11.76470588,14.70588235,0,2.941176471,17.64705882,0
E01000144,77.33333333,5.333333333,4,2.666666667,1.333333333,5.333333333,4
E01000145,92.30769231,1.923076923,0,0,0,3.846153846,1.923076923
E01000146,76.92307692,8.791208791,4.395604396,0,1.098901099,8.791208791,0
E01000147,100,0,0,0,0,0,0
E01000150,47.31182796,9.677419355,10.75268817,13.97849462,0,1.075268817,17.20430108
E01000151,0,25.3968254,66.66666667,4.761904762,3.174603175,0,0
E01000152,0,2.150537634,54.83870968,0,0,43.01075269,0
E01000153,0,3.947368421,64.47368421,0,31.57894737,0,0
E01000154,0,30.55555556,23.61111111,0,25,20.83333333,0
E01000156,82.66666667,8,4,2.666666667,0,1.333333333,1.333333333
E01000157,57.14285714,15.71428571,25.71428571,1.428571429,0,0,0
E01000158,75.86206897,22.4137931,1.724137931,0,0,0,0
E01000159,64.17910448,26.86567164,5.970149254,2.985074627,0,0,0
E01000160,46.91358025,1.234567901,38.27160494,13.58024691,0,0,0
E01000161,47.12643678,5.747126437,35.63218391,11.49425287,0,0,0
E01000162,77.19298246,8.771929825,10.52631579,1.754385965,0,0,1.754385965
E01000163,24.69135802,23.45679012,48.14814815,1.234567901,1.234567901,1.234567901,0
E01000164,25.37313433,43.28358209,29.85074627,0,0,1.492537313,0
E01000165,0,0,92.85714286,7.142857143,0,0,0
E01000166,8.823529412,54.41176471,29.41176471,4.411764706,0,1.470588235,1.470588235
E01000167,11.11111111,83.33333333,3.703703704,0,0,0,1.851851852
E01000168,55.93220339,35.59322034,8.474576271,0,0,0,0
E01000169,51.38888889,16.66666667,27.77777778,1.388888889,1.388888889,1.388888889,0
E01000170,61.64383562,20.54794521,8.219178082,1.369863014,1.369863014,4.109589041,2.739726027
E01000171,40.36697248,8.256880734,26.60550459,9.174311927,1.834862385,9.174311927,4.587155963
E01000172,60,33.33333333,5,0,1.666666667,0,0
E01000173,77.41935484,14.51612903,8.064516129,0,0,0,0
E01000174,65.82278481,7.594936709,13.92405063,8.860759494,1.265822785,1.265822785,1.265822785
E01000175,67.69230769,9.230769231,20,0,0,3.076923077,0
E01000176,25,7.894736842,53.94736842,6.578947368,0,3.947368421,2.631578947
E01000177,78.87323944,7.042253521,8.450704225,4.225352113,1.408450704,0,0
E01000178,67.14285714,10,10,8.571428571,0,2.857142857,1.428571429
E01000179,56.25,2.5,32.5,6.25,1.25,1.25,0
E01000180,28.57142857,38.96103896,22.07792208,2.597402597,0,1.298701299,6.493506494
E01000181,92.53731343,2.985074627,0,2.985074627,0,0,1.492537313
E01000182,73.07692308,0,23.07692308,0,0,1.282051282,2.564102564
E01000183,60.31746032,31.74603175,6.349206349,0,0,1.587301587,0
E01000184,18.46153846,10.76923077,46.15384615,3.076923077,20,1.538461538,0
E01000185,20.96774194,46.77419355,30.64516129,0,1.612903226,0,0
E01000186,94.11764706,3.921568627,0,0,0,1.960784314,0
E01000187,54.09836066,4.918032787,39.3442623,0,0,1.639344262,0
E01000188,47.76119403,20.89552239,4.47761194,4.47761194,1.492537313,0,20.89552239
E01000189,0,3.846153846,0,6.730769231,54.80769231,34.61538462,0
E01000190,62.06896552,27.5862069,1.724137931,3.448275862,5.172413793,0,0
E01000191,69.64285714,10.71428571,10.71428571,5.357142857,1.785714286,1.785714286,0
E01000192,71.05263158,9.210526316,11.84210526,5.263157895,2.631578947,0,0
E01000193,62.66666667,6.666666667,1.333333333,9.333333333,1.333333333,16,2.666666667
E01000194,76.62337662,9.090909091,0,1.298701299,3.896103896,6.493506494,2.597402597
E01000195,4.109589041,43.83561644,38.35616438,12.32876712,1.369863014,0,0
E01000196,55.26315789,11.40350877,18.42105263,2.631578947,3.50877193,8.771929825,0
E01000197,93.15068493,2.739726027,2.739726027,1.369863014,0,0,0
E01000198,57.5,7.5,11.25,12.5,5,6.25,0
E01000199,43.66197183,28.16901408,21.12676056,1.408450704,4.225352113,1.408450704,0
E01000200,34.06593407,37.36263736,14.28571429,10.98901099,1.098901099,1.098901099,1.098901099
E01000201,50,30.35714286,7.142857143,5.357142857,1.785714286,3.571428571,1.785714286
E01000202,77.94117647,13.23529412,4.411764706,1.470588235,0,0,2.941176471
E01000203,37.20930233,33.72093023,4.651162791,0,8.139534884,1.162790698,15.11627907
E01000204,68.83116883,10.38961039,5.194805195,7.792207792,2.597402597,5.194805195,0
E01000205,90.32258065,9.677419355,0,0,0,0,0
E01000206,58.06451613,14.51612903,1.612903226,16.12903226,4.838709677,4.838709677,0
E01000207,92.30769231,3.076923077,1.538461538,1.538461538,0,1.538461538,0
E01000208,79.6875,10.9375,1.5625,4.6875,0,1.5625,1.5625
E01000209,92.10526316,7.894736842,0,0,0,0,0
E01000210,98.36065574,1.639344262,0,0,0,0,0
E01000211,70.70707071,18.18181818,5.050505051,2.02020202,1.01010101,0,3.03030303
E01000212,92.85714286,3.571428571,3.571428571,0,0,0,0
E01000213,93.61702128,2.127659574,0,4.255319149,0,0,0
E01000214,60.97560976,0,32.92682927,0,0,6.097560976,0
E01000215,63.29113924,17.72151899,7.594936709,1.265822785,5.063291139,1.265822785,3.797468354
E01000216,84.93150685,6.849315068,2.739726027,4.109589041,0,0,1.369863014
E01000217,96.07843137,1.960784314,0,1.960784314,0,0,0
E01000218,90.47619048,3.174603175,0,0,4.761904762,1.587301587,0
E01000219,92.06349206,1.587301587,0,0,6.349206349,0,0
E01000220,71.42857143,0,5.714285714,0,11.42857143,10,1.428571429
E01000221,15.68627451,41.17647059,43.1372549,0,0,0,0
E01000222,66.66666667,16,0,0,0,17.33333333,0
E01000223,44.30379747,12.65822785,7.594936709,0,0,29.11392405,6.329113924
E01000224,100,0,0,0,0,0,0
E01000225,58.33333333,8.333333333,23.33333333,1.666666667,8.333333333,0,0
E01000226,89.0625,0,10.9375,0,0,0,0
E01000227,95.08196721,4.918032787,0,0,0,0,0
E01000228,55.10204082,36.73469388,2.040816327,6.12244898,0,0,0
E01000229,27.86885246,60.6557377,9.836065574,1.639344262,0,0,0
E01000230,66.66666667,7.246376812,20.28985507,5.797101449,0,0,0
E01000231,92.42424242,7.575757576,0,0,0,0,0
E01000232,61.97183099,4.225352113,21.12676056,11.26760563,1.408450704,0,0
E01000233,89.55223881,5.970149254,1.492537313,0,0,1.492537313,1.492537313
E01000234,70.66666667,2.666666667,17.33333333,2.666666667,1.333333333,5.333333333,0
E01000235,84.12698413,1.587301587,0,6.349206349,6.349206349,1.587301587,0
E01000236,63.01369863,16.43835616,16.43835616,0,1.369863014,1.369863014,1.369863014
E01000237,75.94936709,16.4556962,5.063291139,1.265822785,1.265822785,0,0
E01000238,84.50704225,4.225352113,0,5.633802817,0,0,5.633802817
E01000239,30.52631579,3.157894737,53.68421053,12.63157895,0,0,0
E01000240,91.04477612,0,0,5.970149254,0,2.985074627,0
E01000241,65.75342466,15.06849315,13.69863014,2.739726027,2.739726027,0,0
E01000242,39.3442623,29.50819672,11.47540984,4.918032787,3.278688525,3.278688525,8.196721311
E01000243,72.44897959,5.102040816,11.2244898,2.040816327,2.040816327,3.06122449,4.081632653
E01000244,74.62686567,8.955223881,10.44776119,1.492537313,0,4.47761194,0
E01000245,29.03225806,60.21505376,1.075268817,1.075268817,7.52688172,0,1.075268817
E01000246,60.60606061,30.3030303,6.060606061,1.515151515,0,1.515151515,0
E01000247,36.36363636,20.77922078,41.55844156,1.298701299,0,0,0
E01000248,80,10.66666667,0,1.333333333,0,6.666666667,1.333333333
E01000249,73.33333333,20,6.666666667,0,0,0,0
E01000250,44.8,16,10.4,9.6,10.4,2.4,6.4
E01000251,31.77570093,20.56074766,23.36448598,12.14953271,7.476635514,4.672897196,0
E01000252,41.55844156,16.88311688,38.96103896,1.298701299,0,1.298701299,0
E01000253,33.78378378,20.27027027,21.62162162,2.702702703,2.702702703,17.56756757,1.351351351
E01000254,72.85714286,10,12.85714286,1.428571429,1.428571429,0,1.428571429
E01000255,18.18181818,37.66233766,2.597402597,5.194805195,0,33.76623377,2.597402597
E01000256,48.52941176,19.11764706,25,4.411764706,0,2.941176471,0
E01000257,11.62790698,19.18604651,2.906976744,3.488372093,2.906976744,19.18604651,40.69767442
E01000258,61.53846154,17.94871795,5.128205128,3.846153846,8.974358974,1.282051282,1.282051282
E01000259,58.82352941,1.960784314,0,37.25490196,1.960784314,0,0
E01000260,50.60240964,0,34.93975904,9.638554217,2.409638554,2.409638554,0
E01000261,59.45945946,27.02702703,2.702702703,4.054054054,5.405405405,0,1.351351351
E01000263,84,10,2,2,0,0,2
E01000264,70.27027027,12.16216216,8.108108108,1.351351351,6.756756757,1.351351351,0
E01000265,76.19047619,8.333333333,8.333333333,3.571428571,0,0,3.571428571
E01000266,84.90566038,9.433962264,1.886792453,1.886792453,1.886792453,0,0
E01000267,63.15789474,24.56140351,12.28070175,0,0,0,0
E01000268,31.57894737,15.78947368,26.31578947,8.771929825,0.877192982,5.263157895,11.40350877
E01000269,89.47368421,3.50877193,0,5.263157895,1.754385965,0,0
E01000270,37.09677419,33.87096774,24.19354839,4.838709677,0,0,0
E01000271,45.16129032,40.32258065,14.51612903,0,0,0,0
E01000272,44.82758621,29.31034483,8.620689655,0,1.724137931,13.79310345,1.724137931
E01000273,34.56790123,33.33333333,19.75308642,3.703703704,1.234567901,6.172839506,1.234567901
E01000274,69.44444444,18.05555556,1.388888889,11.11111111,0,0,0
E01000275,26.02739726,26.02739726,34.24657534,2.739726027,4.109589041,5.479452055,1.369863014
E01000276,78,22,0,0,0,0,0
E01000277,11.34020619,41.2371134,29.89690722,3.092783505,4.12371134,6.18556701,4.12371134
E01000278,98.07692308,1.923076923,0,0,0,0,0
E01000279,43.39622642,37.73584906,9.433962264,5.660377358,0,1.886792453,1.886792453
E01000280,81.48148148,9.259259259,3.703703704,1.851851852,1.851851852,1.851851852,0
E01000281,8.771929825,11.40350877,15.78947368,0,0,38.59649123,25.43859649
E01000282,75.67567568,4.054054054,12.16216216,1.351351351,0,6.756756757,0
E01000283,66.66666667,33.33333333,0,0,0,0,0
E01000284,27.5862069,41.37931034,20.68965517,1.149425287,0,6.896551724,2.298850575
E01000285,24.61538462,24.61538462,49.23076923,0,1.538461538,0,0
E01000286,35.82089552,50.74626866,13.43283582,0,0,0,0
E01000287,36.92307692,47.69230769,12.30769231,3.076923077,0,0,0
E01000288,81.66666667,13.33333333,1.666666667,0,0,3.333333333,0
E01000289,20.28985507,43.47826087,8.695652174,2.898550725,0,8.695652174,15.94202899
E01000290,14.28571429,55.71428571,28.57142857,1.428571429,0,0,0
E01000291,11.94029851,34.32835821,20.89552239,4.47761194,8.955223881,13.43283582,5.970149254
E01000292,51.42857143,11.42857143,28.57142857,1.428571429,5.714285714,0,1.428571429
E01000293,95.71428571,0,1.428571429,1.428571429,1.428571429,0,0
E01000294,47.88732394,14.08450704,30.98591549,1.408450704,5.633802817,0,0
E01000295,81.15942029,8.695652174,10.14492754,0,0,0,0
E01000296,67.41573034,16.85393258,2.247191011,2.247191011,1.123595506,4.494382022,5.617977528
E01000297,91.37931034,1.724137931,3.448275862,1.724137931,0,1.724137931,0
E01000298,71.76470588,8.235294118,8.235294118,2.352941176,0,2.352941176,7.058823529
E01000299,58.06451613,2.150537634,10.75268817,19.35483871,1.075268817,8.602150538,0
E01000300,67.12328767,17.80821918,6.849315068,1.369863014,1.369863014,4.109589041,1.369863014
E01000301,83.92857143,3.571428571,7.142857143,1.785714286,3.571428571,0,0
E01000302,41.30434783,21.73913043,25,10.86956522,1.086956522,0,0
E01000303,67.85714286,23.21428571,5.357142857,1.785714286,0,1.785714286,0
E01000304,86.8852459,13.1147541,0,0,0,0,0
E01000305,34.73684211,1.052631579,11.57894737,1.052631579,9.473684211,15.78947368,26.31578947
E01000306,94.82758621,0,5.172413793,0,0,0,0
E01000307,83.63636364,16.36363636,0,0,0,0,0
E01000308,18.55670103,0,7.216494845,0,36.08247423,32.98969072,5.154639175
E01000309,73.84615385,13.84615385,6.153846154,6.153846154,0,0,0
E01000310,66.30434783,11.95652174,3.260869565,4.347826087,1.086956522,8.695652174,4.347826087
E01000311,90.90909091,1.818181818,3.636363636,3.636363636,0,0,0
E01000312,25.67567568,8.108108108,58.10810811,8.108108108,0,0,0
E01000313,61.33333333,25.33333333,2.666666667,8,0,2.666666667,0
E01000314,81.01265823,5.063291139,6.329113924,2.53164557,2.53164557,1.265822785,1.265822785
E01000315,58.73015873,9.523809524,26.98412698,3.174603175,0,0,1.587301587
E01000316,61.79775281,5.617977528,4.494382022,28.08988764,0,0,0
E01000317,71.01449275,17.39130435,5.797101449,2.898550725,1.449275362,1.449275362,0
E01000318,95.16129032,0,4.838709677,0,0,0,0
E01000319,98.03921569,1.960784314,0,0,0,0,0
E01000320,54.76190476,13.0952381,16.66666667,0,0,15.47619048,0
E01000321,64.36781609,9.195402299,11.49425287,1.149425287,3.448275862,9.195402299,1.149425287
E01000322,59.03614458,32.53012048,3.614457831,1.204819277,0,2.409638554,1.204819277
E01000323,56.25,13.54166667,20.83333333,4.166666667,1.041666667,4.166666667,0
