LSOA21CD,Higher_manager_administrative_professional,Lower_supervisory&technical_occupations,Semi-routine_occupations,Routine_occupations,NeverWorked&Long-term_unemployed,Full-time_students,Lower_manager_administrative_professional,Intermediate_occupations,Small_employers&ownaccount_workers
E01000001,45.6425,0.8124,2.4372,1.1817,2.7326,6.2038,27.2526,5.2437,8.4934
E01000002,48.5758,0.5389,1.1547,0.7698,3.0793,6.7744,27.5597,4.234,7.3133
E01000003,33.5989,2.1248,4.6481,4.6481,4.7809,4.5153,28.3533,8.8313,8.4993
E01000005,14.9688,4.3659,10.6029,10.7069,15.6965,16.9439,14.553,6.237,5.9252
E01000006,8.246,4.8917,11.3208,11.3906,12.928,10.9015,14.8148,8.9448,16.5618
E01000007,11.3373,3.4243,11.4299,10.0416,14.4378,13.5123,17.168,8.7922,9.8565
E01000008,5.0079,4.69,12.4801,14.3084,16.1367,17.1701,10.4928,8.4261,11.2878
E01000009,8.8778,4.9006,10.2273,13.4233,17.7557,10.0852,10.5114,8.5938,15.625
E01000011,5.6103,3.1084,10.6141,13.95,16.3002,13.2676,12.6611,7.1266,17.3616
E01000012,5.8228,4.4304,11.2658,14.3038,16.3291,12.5316,12.6582,8.6709,13.9873
E01000013,4.9215,6.5621,14.194,15.9058,12.3395,8.6305,14.8359,8.9158,13.6947
E01000014,5.3071,5.3071,12.5853,14.4807,13.0402,8.9462,14.9356,11.5997,13.7983
E01000015,6.2284,5.3633,13.5525,15.2249,12.0531,10.9573,13.3218,9.9769,13.3218
E01000016,5.5,5.0714,13.1429,13,12.2857,10.5,15.2143,11.5714,13.7143
E01000017,5.6025,4.7583,12.2026,12.8933,13.891,9.7467,16.7306,11.6654,12.5096
E01000018,5.1661,5.7565,13.5793,14.4649,11.3653,9.5203,15.941,10.7011,13.5055
E01000019,5.6973,4.6769,12.0748,12.9252,14.3707,10.3741,14.2857,10.2041,15.3912
E01000020,5.8567,5.296,10.2181,15.0156,15.6386,10.2804,12.9595,9.4704,15.2648
E01000021,5.2632,6.3158,14.17,13.4413,16.5992,10.1215,13.1984,9.1498,11.7409
E01000022,6.947,4.479,13.1627,13.6197,12.0658,10.9689,14.8995,10.8775,12.9799
E01000024,5.625,5,10.3571,15.9821,14.7321,9.7321,15.8036,8.5714,14.1964
E01000025,6.4872,4.4859,12.8364,14.6308,13.1125,9.6618,14.9068,11.3182,12.5604
E01000027,5.0539,5.9973,12.6685,11.9272,14.5553,10.7143,14.69,9.9057,14.4879
E01000028,5.0408,5.1149,12.4537,12.8243,15.1964,14.0104,13.5656,9.5626,12.2313
E01000029,9.9861,5.0624,10.8183,10.1942,11.3037,9.2233,18.2386,11.7892,13.3842
E01000030,6.6472,4.9563,13.3528,13.3528,13.8776,11.2536,14.8688,9.6793,12.0117
E01000031,10.952,4.0802,10.2362,9.4488,11.0236,9.4488,18.9692,13.7437,12.0974
E01000032,7.6293,4.2875,13.7453,10.5296,13.1148,8.4489,17.087,11.2232,13.9344
E01000033,4.9327,5.4709,14.4395,17.2197,13.9013,8.8789,13.9013,10.4036,10.852
E01000034,5.5292,5.8452,12.4013,13.981,13.5071,10.1106,14.6919,11.9273,12.0063
E01000035,6.8729,5.7045,11.2715,12.7835,13.1959,11.9588,15.4639,9.3471,13.4021
E01000036,5.1724,5.2586,11.3793,13.7069,10.2586,10.2586,18.1897,10.1724,15.6034
E01000037,9.9073,6.7712,11.4754,9.9073,9.551,7.4127,19.6721,13.0435,12.2594
E01000038,9.4017,6.7599,10.4118,12.3543,8.9355,6.9153,19.425,13.6752,12.1212
E01000039,9.5729,5.1546,11.4875,10.3093,10.6038,7.1429,21.3549,12.813,11.5611
E01000040,6.752,5.828,12.2957,12.5089,16.9865,13.1485,12.4378,7.4627,12.58
E01000041,5.3207,5.6122,13.1195,13.7026,11.1516,11.2974,13.5569,10.6414,15.5977
E01000042,6.4297,4.0847,11.5734,12.0272,16.2632,11.1952,13.6914,10.6657,14.0696
E01000043,5.0987,4.852,9.6217,12.2533,15.1316,13.2401,15.4605,11.1842,13.1579
E01000044,7.3187,6.4538,11.9095,13.7725,11.2442,12.3752,11.9095,9.5808,15.4358
E01000045,5.4432,6.2208,13.297,12.5194,12.5194,11.2753,14.3079,10.0311,14.3857
E01000046,5.1511,5.4945,13.4615,15.3846,11.8819,10.5082,14.7665,10.4396,12.9121
E01000049,3.9794,3.9794,14.591,11.2012,14.8121,19.5284,10.3169,8.4746,13.1172
E01000050,9.8829,4.4656,12.1523,12.5183,12.7379,12.2255,15.2269,8.0527,12.7379
E01000051,11.4796,3.8265,8.6735,10.7143,7.9082,13.2653,24.1071,11.7347,8.2908
E01000052,6.933,4.4066,11.9859,11.8684,14.2186,9.9295,13.7485,10.5758,16.3337
E01000053,4.4702,5.2152,13.7417,15.0662,13.4934,7.4503,13.6589,12.3344,14.5695
E01000054,5.0439,5.9942,13.3041,16.0819,10.2339,10.1608,15.8626,11.9883,11.3304
E01000055,4.9104,4.4427,12.0811,16.1341,12.9384,10.2884,15.1988,11.2237,12.7825
E01000056,5.5994,5.836,12.224,15.3785,18.5331,8.4385,14.1167,8.5174,11.3565
E01000057,5.4926,5.4926,15.17,13.6007,12.9904,11.2467,12.4673,10.0262,13.5135
E01000058,4.8397,4.3369,10.8737,12.6964,14.0163,14.3935,15.7134,9.6166,13.5135
E01000059,4.8536,6.3945,13.2512,14.6379,11.7103,9.9384,14.7149,10.7858,13.7134
E01000060,5.0323,5.4194,13.1613,14.9032,12,11.4839,14.4516,11.6774,11.871
E01000061,6.6618,4.9964,14.4823,14.9891,15.9305,11.2962,14.0478,9.4859,8.1101
