LSOA21CD,Childcare_accessibilityper100_children,Childcareaccessibility_drivingonly_per100_children,Childcare_accessibility_publictransportonly_per100_children,Childcareaccessibility_goodORoutstandingplaces_overall_per100_children
E01000001,0.355190402,0.185915782,0.449846745,0.245402966
E01000002,0.331578215,0.174649269,0.402809276,0.234743181
E01000003,0.406416426,0.229928601,0.449081149,0.277245998
E01000005,0.360026312,0.16661201,0.411133728,0.250218474
E01000006,0.126413062,0.11576563,0.151772529,0.096969874
E01000007,0.213334758,0.136163723,0.260879798,0.162296637
E01000008,0.148768532,0.124582611,0.17090875,0.11568596
E01000009,0.222014683,0.113963502,0.339322868,0.1650808
E01000011,0.149866411,0.086864998,0.222665661,0.115682835
E01000012,0.135527973,0.122739166,0.148957277,0.107052268
E01000013,0.181950753,0.196874158,0.152668968,0.109463271
E01000014,0.164855952,0.175134146,0.141746318,0.100417219
E01000015,0.191972276,0.232068736,0.123750239,0.115313675
E01000016,0.179651747,0.201076263,0.132338863,0.110034412
E01000017,0.201178008,0.212872663,0.175065507,0.125646474
E01000018,0.185158003,0.212281374,0.119274047,0.11222048
E01000019,0.191494515,0.21252786,0.13409213,0.137862302
E01000020,0.205626419,0.223237928,0.154553836,0.1470337
E01000021,0.197490563,0.216832213,0.150801986,0.142299095
E01000022,0.199277561,0.218044147,0.143498978,0.142069539
E01000024,0.206588242,0.213895878,0.19106541,0.147196592
E01000025,0.193624819,0.215262594,0.152718525,0.137450276
E01000027,0.165741178,0.201208686,0.085985968,0.120942855
E01000028,0.138006875,0.190837899,0.055890771,0.10126592
E01000029,0.208635612,0.233013694,0.105023313,0.15309443
E01000030,0.186220352,0.221414669,0.116725317,0.136369876
E01000031,0.234519126,0.263479734,0.141134714,0.171515024
E01000032,0.19951902,0.215479725,0.1523608,0.147526149
E01000033,0.116734033,0.136336649,0.082448375,0.06858977
E01000034,0.155372813,0.173257217,0.112914191,0.095998074
E01000035,0.187448128,0.196961692,0.164257893,0.111874243
E01000036,0.201251564,0.222575105,0.144193324,0.120607187
E01000037,0.164205571,0.168777166,0.153018137,0.103999715
E01000038,0.199554827,0.212935775,0.155609874,0.130387231
E01000039,0.109838572,0.128096505,0.051726645,0.067642833
E01000040,0.176726625,0.145421224,0.217453163,0.120487108
E01000041,0.145525157,0.150501505,0.133585639,0.096268854
E01000042,0.129815965,0.115404839,0.153493045,0.086267077
E01000043,0.134810526,0.11725696,0.166950079,0.094598735
E01000044,0.138099083,0.112426007,0.172181392,0.09954853
E01000045,0.17807952,0.169764069,0.187765357,0.114618265
E01000046,0.133213792,0.142133588,0.116056964,0.083258075
E01000049,0.194265617,0.169531713,0.226066837,0.128883664
E01000050,0.187270993,0.145238689,0.243959572,0.12676869
E01000051,0.237362071,0.177401575,0.292749575,0.160685469
E01000052,0.203709756,0.187446205,0.227880946,0.127875002
E01000053,0.165086896,0.178718212,0.144428901,0.081086705
E01000054,0.147397416,0.15971488,0.121172258,0.082720913
E01000055,0.138949816,0.151239706,0.111929492,0.079783217
E01000056,0.140403889,0.162479009,0.093893914,0.072439826
E01000057,0.150293851,0.161837507,0.129603845,0.090815691
E01000058,0.157836534,0.165978505,0.139556465,0.091417365
E01000059,0.166782733,0.183478953,0.123659948,0.086731807
E01000060,0.145644562,0.156401058,0.132962383,0.097215084
E01000061,0.170388729,0.110209955,0.236180503,0.114577021
E01000062,0.155898436,0.171199915,0.123847624,0.099645358
E01000063,0.189350986,0.189433342,0.188268294,0.129153596
E01000064,0.139094303,0.147875853,0.115721174,0.085608685
E01000065,0.190031778,0.196303617,0.182130126,0.127858523
E01000066,0.135837479,0.143281576,0.115928348,0.098008765
E01000067,0.171078791,0.161044973,0.182396846,0.126559051
E01000068,0.122249238,0.097504628,0.173179856,0.090607396
E01000069,0.137615644,0.137228918,0.142729533,0.09962014
E01000070,0.151622153,0.125810773,0.217893505,0.1114639
E01000071,0.13566151,0.135064811,0.126010768,0.0967559
E01000072,0.135818028,0.161195881,0.088852273,0.091153291
E01000073,0.148491981,0.170964627,0.0942422,0.101814894
E01000074,0.150560619,0.173839247,0.108029852,0.103467999
E01000075,0.162549309,0.173933812,0.136346171,0.106702222
E01000076,0.132809886,0.16596622,0.08230917,0.088094763
E01000077,0.200733444,0.202216435,0.190181496,0.142076108
E01000078,0.176430664,0.184321565,0.160384772,0.125601567
E01000079,0.16856028,0.197311889,0.109479608,0.107896167
E01000080,0.164879169,0.177788688,0.134348586,0.114475645
E01000081,0.182150158,0.203515878,0.12549958,0.122420781
E01000082,0.18261957,0.18964694,0.166979163,0.128182214
E01000083,0.202251387,0.209244305,0.186434552,0.144622741
E01000084,0.199312966,0.205724365,0.186207141,0.106792325
E01000085,0.21251196,0.23450848,0.182168726,0.112959087
E01000086,0.208077796,0.213452329,0.19498078,0.107185403
E01000087,0.19954341,0.220251163,0.163237182,0.098475819
E01000088,0.1947178,0.213940986,0.161871304,0.09712532
E01000089,0.153926797,0.151876033,0.161650887,0.067727822
E01000090,0.194152136,0.167698054,0.243532245,0.089536083
E01000091,0.190637101,0.182823368,0.203126227,0.085751851
E01000093,0.198674279,0.190084143,0.209080602,0.102958278
E01000094,0.179605224,0.175368967,0.189287439,0.070821614
